epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_aupr,ordinal_monotonicity
1,0.7199814476593375,0.4838493518823676,0.1340665873959572,0.09069231918329843,0.44343559953913586,True
2,0.5076740412325702,0.5093956030506583,0.13287752675386444,0.08847696991003806,0.4028564737319799,True
3,0.48040037754425646,0.4596111902016947,0.13287752675386444,0.09282390105919518,0.47196112339420476,True
4,0.4648426878272802,0.4706771710575265,0.13079667063020214,0.10492929585627356,0.4516866439698507,True
5,0.4541482423290585,0.4370166284434152,0.13793103448275862,0.08715218584480997,0.5087815922841183,True
6,0.44598168701921487,0.46971911351405765,0.13258026159334127,0.09837713717576183,0.46274604861307606,True
7,0.4395870577350599,0.43578495386451943,0.13525564803804993,0.09371877371877371,0.4983102275834531,True
8,0.4331960496200531,0.4360350940939079,0.13466111771700356,0.10318161946859669,0.4896533097357453,True
9,0.4268821384007385,0.4170748941538308,0.13882282996432818,0.08836308147663652,0.520854717628803,True
10,0.4200140622904146,0.4121240915710662,0.13822829964328182,0.0914190760214244,0.5263970923526742,True
11,0.41613240354427367,0.41246000641024494,0.13971462544589774,0.08870743034055728,0.5434330868211544,True
