source_drug_index,target_drug_index,original_similarity,task_similarity,kg_similarity,combined_score,task_overlap_count,edge_origin
0,141,0.0,1.0000000000000002,0.9005372427410698,,3,TASK_ONLY_ADDED
0,194,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_ADDED
0,305,0.0,1.0000000000000002,0.9616716957450109,,3,TASK_ONLY_ADDED
1,35,0.0,1.0000000000000002,0.9420432252655582,,6,TASK_ONLY_ADDED
1,119,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_ADDED
1,127,0.0,1.0000000000000002,0.9317824697544982,,3,TASK_ONLY_ADDED
2,20,0.0,1.0000000000000002,0.9633150259944552,,6,TASK_ONLY_ADDED
2,38,0.0,1.0000000000000002,0.9390073894927917,,3,TASK_ONLY_ADDED
2,68,0.0,1.0000000000000002,0.946452462077083,,3,TASK_ONLY_ADDED
3,38,0.0,1.0000000000000002,0.9530605263464157,,6,TASK_ONLY_ADDED
3,52,0.0,1.0000000000000002,0.9051753836650187,,14,TASK_ONLY_ADDED
3,120,0.0,1.0000000000000002,0.9082083042804908,,3,TASK_ONLY_ADDED
4,46,0.0,1.0000000000000002,0.9557478104089453,,3,TASK_ONLY_ADDED
4,86,0.0,1.0000000000000002,0.9472315702303523,,3,TASK_ONLY_ADDED
4,239,0.0,1.0000000000000002,0.9246351728232438,,6,TASK_ONLY_ADDED
5,32,0.0,1.0000000000000002,0.961120586841919,,3,TASK_ONLY_ADDED
5,37,0.0,1.0000000000000002,0.9787128258238049,,3,TASK_ONLY_ADDED
5,41,0.0,1.0000000000000002,0.9787128262576937,,6,TASK_ONLY_ADDED
6,135,0.0,1.0000000000000002,0.976814604128465,,3,TASK_ONLY_ADDED
6,259,0.0,1.0000000000000002,0.9311485159614413,,6,TASK_ONLY_ADDED
6,651,0.0,1.0000000000000002,0.9287918814548854,,3,TASK_ONLY_ADDED
7,53,0.0,1.0000000000000002,0.9557478088171908,,3,TASK_ONLY_ADDED
7,68,0.0,1.0000000000000002,0.9865432291009868,,3,TASK_ONLY_ADDED
7,123,0.0,1.0000000000000002,0.9246351727109446,,3,TASK_ONLY_ADDED
8,107,0.0,1.0000000000000002,0.968115055201854,,3,TASK_ONLY_ADDED
8,110,0.0,1.0000000000000002,0.9547904356008247,,3,TASK_ONLY_ADDED
8,143,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_ADDED
9,12,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_ADDED
9,86,0.0,1.0000000000000002,0.9472315702303523,,4,TASK_ONLY_ADDED
9,93,0.0,1.0000000000000002,0.9828880247457558,,3,TASK_ONLY_ADDED
10,349,0.0,0.8728715609439696,,,4,TASK_ONLY_ADDED
10,323,0.0,0.8660254037844387,,,4,TASK_ONLY_ADDED
10,423,0.0,0.8660254037844387,,,3,TASK_ONLY_ADDED
11,131,0.0,1.0000000000000002,0.9865432291009868,,3,TASK_ONLY_ADDED
11,674,0.0,1.0000000000000002,0.951640056752823,,3,TASK_ONLY_ADDED
11,747,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_ADDED
12,134,0.0,1.0000000000000002,0.9129282570602943,,3,TASK_ONLY_ADDED
12,152,0.0,1.0000000000000002,0.9794193485015635,,3,TASK_ONLY_ADDED
12,345,0.0,1.0000000000000002,0.9042739755922512,,3,TASK_ONLY_ADDED
13,51,0.0,1.0000000000000002,,,3,TASK_ONLY_ADDED
13,63,0.0,1.0000000000000002,,,3,TASK_ONLY_ADDED
13,106,0.0,1.0000000000000002,,,3,TASK_ONLY_ADDED
14,32,0.0,1.0000000000000002,0.9638048065172014,,6,TASK_ONLY_ADDED
14,38,0.0,1.0000000000000002,0.958335527407859,,3,TASK_ONLY_ADDED
14,46,0.0,1.0000000000000002,0.9266142221120939,,6,TASK_ONLY_ADDED
15,23,0.0,1.0000000000000002,0.9738458758990994,,13,TASK_ONLY_ADDED
15,29,0.0,1.0000000000000002,0.9547094717688748,,6,TASK_ONLY_ADDED
15,46,0.0,1.0000000000000002,0.9557478104089453,,3,TASK_ONLY_ADDED
16,37,0.0,1.0000000000000002,0.9356332982515058,,3,TASK_ONLY_ADDED
16,40,0.0,1.0000000000000002,0.8974879288803758,,3,TASK_ONLY_ADDED
16,52,0.0,1.0000000000000002,0.9746063300661775,,6,TASK_ONLY_ADDED
17,261,0.0,1.0000000000000002,,,3,TASK_ONLY_ADDED
17,298,0.0,1.0000000000000002,,,6,TASK_ONLY_ADDED
17,354,0.0,1.0000000000000002,0.9265269144557784,,3,TASK_ONLY_ADDED
18,59,0.0,1.0000000000000002,0.8713084758804209,,3,TASK_ONLY_ADDED
18,110,0.0,1.0000000000000002,0.9694797616408455,,3,TASK_ONLY_ADDED
18,132,0.0,1.0000000000000002,0.8968539829488784,,3,TASK_ONLY_ADDED
19,365,0.0,1.0000000000000002,0.9246351728232438,,3,TASK_ONLY_ADDED
19,471,0.0,1.0000000000000002,0.9557478096171156,,3,TASK_ONLY_ADDED
19,625,0.0,1.0000000000000002,0.9611205894334732,,3,TASK_ONLY_ADDED
20,157,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_ADDED
20,184,0.0,1.0000000000000002,0.9464225432249294,,3,TASK_ONLY_ADDED
20,296,0.0,1.0000000000000002,1.0,,3,TASK_ONLY_ADDED
21,161,0.0,1.0000000000000002,0.9521378577541032,,3,TASK_ONLY_ADDED
21,263,0.0,1.0000000000000002,0.9534830923398014,,3,TASK_ONLY_ADDED
21,272,0.0,1.0000000000000002,,,3,TASK_ONLY_ADDED
22,214,0.0,0.8164965809277259,0.9538304477862158,,3,TASK_ONLY_ADDED
22,47,0.0,0.5773502691896258,0.9697207972324422,,3,TASK_ONLY_ADDED
22,299,0.0,0.5773502691896258,0.9223412212531813,,3,TASK_ONLY_ADDED
23,15,0.0,1.0000000000000002,0.9738458758990994,,13,TASK_ONLY_ADDED
23,32,0.0,1.0000000000000002,0.9346107221103068,,3,TASK_ONLY_ADDED
23,42,0.0,1.0000000000000002,0.9486651994275084,,6,TASK_ONLY_ADDED
24,394,0.0,1.0,0.9642022632159528,,9,TASK_ONLY_ADDED
24,598,0.0,1.0,0.9857427331091927,,4,TASK_ONLY_ADDED
24,442,0.0,0.9999999999999998,0.9834273647018019,,5,TASK_ONLY_ADDED
25,32,0.0,1.0000000000000002,0.9811834949679666,,3,TASK_ONLY_ADDED
25,41,0.0,1.0000000000000002,0.9272508449417861,,3,TASK_ONLY_ADDED
25,46,0.0,1.0000000000000002,0.8566212950956604,,3,TASK_ONLY_ADDED
26,38,0.0,1.0000000000000002,0.9285316611646526,,3,TASK_ONLY_ADDED
26,42,0.0,1.0000000000000002,0.9628252662660415,,3,TASK_ONLY_ADDED
26,46,0.0,1.0000000000000002,0.9790441209189363,,3,TASK_ONLY_ADDED
27,114,0.0,1.0000000000000002,0.9287304040569316,,3,TASK_ONLY_ADDED
27,183,0.0,1.0000000000000002,0.8874976150762184,,3,TASK_ONLY_ADDED
27,212,0.0,1.0000000000000002,0.965520295129705,,3,TASK_ONLY_ADDED
28,152,0.0,1.0000000000000002,0.9292376140178872,,3,TASK_ONLY_ADDED
28,161,0.0,1.0000000000000002,0.9390073865970422,,3,TASK_ONLY_ADDED
28,331,0.0,1.0000000000000002,0.8824477311102815,,3,TASK_ONLY_ADDED
29,15,0.0,1.0000000000000002,0.9547094717688748,,6,TASK_ONLY_ADDED
29,82,0.0,1.0000000000000002,0.8601927769348255,,3,TASK_ONLY_ADDED
29,85,0.0,1.0000000000000002,0.9444316446751787,,3,TASK_ONLY_ADDED
30,32,0.0,1.0000000000000002,0.9611205858935967,,3,TASK_ONLY_ADDED
30,41,0.0,1.0000000000000002,0.9787128259177159,,3,TASK_ONLY_ADDED
30,53,0.0,1.0000000000000002,0.9557478049315333,,3,TASK_ONLY_ADDED
31,52,0.0,1.0000000000000002,0.9081176206989064,,3,TASK_ONLY_ADDED
31,73,0.0,1.0000000000000002,,,4,TASK_ONLY_ADDED
31,198,0.0,1.0000000000000002,0.9425770328030996,,5,TASK_ONLY_ADDED
32,14,0.0,1.0000000000000002,0.9638048065172014,,6,TASK_ONLY_ADDED
32,23,0.0,1.0000000000000002,0.9346107221103068,,3,TASK_ONLY_ADDED
32,25,0.0,1.0000000000000002,0.9811834949679666,,3,TASK_ONLY_ADDED
33,55,0.0,1.0000000000000002,0.9327354098318401,,3,TASK_ONLY_ADDED
33,180,0.0,1.0000000000000002,0.9795115413358518,,3,TASK_ONLY_ADDED
33,218,0.0,1.0000000000000002,0.9948317099635149,,3,TASK_ONLY_ADDED
34,313,0.0,1.0000000000000002,0.9865432291009868,,3,TASK_ONLY_ADDED
34,189,0.0,1.0,0.9771853370611884,,4,TASK_ONLY_ADDED
34,330,0.0,1.0,1.0,,5,TASK_ONLY_ADDED
35,51,0.0,1.0000000000000002,0.9689568648000071,,3,TASK_ONLY_ADDED
35,96,0.0,1.0000000000000002,0.9611025043769079,,3,TASK_ONLY_ADDED
35,100,0.0,1.0000000000000002,0.9392207315314277,,6,TASK_ONLY_ADDED
36,133,0.0,1.0000000000000002,0.9874133216428159,,6,TASK_ONLY_ADDED
36,134,0.0,1.0000000000000002,0.9039795780022735,,3,TASK_ONLY_ADDED
36,272,0.0,1.0000000000000002,,,3,TASK_ONLY_ADDED
37,16,0.0,1.0000000000000002,0.9356332982515058,,3,TASK_ONLY_ADDED
37,41,0.0,1.0000000000000002,0.9999999999999993,,3,TASK_ONLY_ADDED
37,114,0.0,1.0000000000000002,0.9743061558660226,,6,TASK_ONLY_ADDED
38,14,0.0,1.0000000000000002,0.958335527407859,,3,TASK_ONLY_ADDED
38,26,0.0,1.0000000000000002,0.9285316611646526,,3,TASK_ONLY_ADDED
38,39,0.0,1.0000000000000002,0.9285316527240232,,3,TASK_ONLY_ADDED
39,38,0.0,1.0000000000000002,0.9285316527240232,,3,TASK_ONLY_ADDED
39,152,0.0,1.0000000000000002,0.9714202989106698,,3,TASK_ONLY_ADDED
39,405,0.0,1.0000000000000002,0.9806790805725801,,3,TASK_ONLY_ADDED
40,16,0.0,1.0000000000000002,0.8974879288803758,,3,TASK_ONLY_ADDED
40,38,0.0,1.0000000000000002,0.9277969404183822,,3,TASK_ONLY_ADDED
40,106,0.0,1.0000000000000002,0.9180263875290076,,3,TASK_ONLY_ADDED
41,25,0.0,1.0000000000000002,0.9272508449417861,,3,TASK_ONLY_ADDED
41,30,0.0,1.0000000000000002,0.9787128259177159,,3,TASK_ONLY_ADDED
41,37,0.0,1.0000000000000002,0.9999999999999993,,3,TASK_ONLY_ADDED
42,23,0.0,1.0000000000000002,0.9486651994275084,,6,TASK_ONLY_ADDED
42,26,0.0,1.0000000000000002,0.9628252662660415,,3,TASK_ONLY_ADDED
42,32,0.0,1.0000000000000002,0.9755729007671314,,3,TASK_ONLY_ADDED
43,316,0.0,1.0000000000000002,0.8676103597844186,,3,TASK_ONLY_ADDED
43,519,0.0,1.0000000000000002,0.8997410534950812,,3,TASK_ONLY_ADDED
43,574,0.0,1.0000000000000002,0.8954618969709759,,3,TASK_ONLY_ADDED
44,87,0.0,1.0000000000000002,0.9580484394051125,,3,TASK_ONLY_ADDED
44,173,0.0,1.0000000000000002,0.925935007530868,,3,TASK_ONLY_ADDED
44,521,0.0,1.0000000000000002,0.959400934511315,,3,TASK_ONLY_ADDED
45,32,0.0,1.0000000000000002,0.9560409133200894,,3,TASK_ONLY_ADDED
