source_drug_index,target_drug_index,original_similarity,task_similarity,kg_similarity,combined_score,task_overlap_count,edge_origin
0,17,0.0,0.9428090415820635,1.0,0.9857022603955159,3,KG_TASK_ADDED
1,94,0.0,1.0,1.0,1.0,4,KG_TASK_ADDED
1,17,0.0,0.9444444444444444,1.0,0.9861111111111112,9,KG_TASK_ADDED
1,56,0.0,0.9428090415820634,1.0,0.9857022603955159,9,KG_TASK_ADDED
2,672,0.0,0.9476984899448786,0.9999999999999993,0.9869246224862195,16,KG_TASK_ADDED
2,419,0.0,0.9594032236002469,0.9876345366156053,0.986759440053963,8,KG_TASK_ADDED
2,44,0.0,0.9622504486493763,0.9838151382869627,0.9865163967340848,3,KG_TASK_ADDED
3,550,0.0,0.9561828874675149,0.9866204935499575,0.9857008452543681,7,KG_TASK_ADDED
3,682,0.0,0.9538209664765318,0.9866204933337177,0.9851103649525623,8,KG_TASK_ADDED
3,624,0.0,0.9525793444156805,0.9866204943948284,0.9847999597026272,3,KG_TASK_ADDED
4,56,0.0,0.9999999999999999,1.0,1.0,4,KG_TASK_ADDED
4,94,0.0,0.9486832980505138,1.0,0.9871708245126285,4,KG_TASK_ADDED
4,15,0.0,0.9467292624062573,1.0,0.9866823156015643,6,KG_TASK_ADDED
5,90,0.0,1.0000000000000002,1.0,1.0,3,KG_TASK_ADDED
5,17,0.0,0.9727963492069713,1.0,0.9931990873017429,13,KG_TASK_ADDED
5,66,0.0,0.9428090415820635,1.0,0.9857022603955159,6,KG_TASK_ADDED
6,726,0.0,1.0000000000000002,0.9999999999999974,0.9999999999999993,3,KG_TASK_ADDED
6,694,0.0,0.9999999999999999,0.9768146069083574,0.9942036517270894,7,KG_TASK_ADDED
6,135,0.0,1.0000000000000002,0.976814604128465,0.9942036510321163,3,KG_TASK_ADDED
7,15,0.0,0.9561828874675149,1.0,0.9890457218668787,7,KG_TASK_ADDED
7,66,0.0,0.944911182523068,1.0,0.986227795630767,5,KG_TASK_ADDED
7,94,0.0,0.9438798074485389,1.0,0.9859699518621348,5,KG_TASK_ADDED
8,108,0.0,0.9486832980505138,1.0,0.9871708245126285,7,KG_TASK_ADDED
8,94,0.0,0.944911182523068,1.0,0.986227795630767,4,KG_TASK_ADDED
8,17,0.0,0.9325048082403138,1.0,0.9831262020600784,8,KG_TASK_ADDED
9,12,0.0,1.0000000000000002,1.0,1.0,3,KG_TASK_ADDED
9,94,0.0,0.9707253433941511,1.0,0.9926813358485378,4,KG_TASK_ADDED
9,56,0.0,0.9669875568304563,1.0,0.9917468892076141,5,KG_TASK_ADDED
11,108,0.0,0.5,1.0,0.875,4,KG_TASK_ADDED
11,34,0.0,0.48507125007266594,1.0,0.8712678125181665,6,KG_TASK_ADDED
11,19,0.0,0.47809144373375745,1.0,0.8695228609334393,5,KG_TASK_ADDED
12,94,0.0,0.9457324874869207,1.0,0.9864331218717302,8,KG_TASK_ADDED
12,56,0.0,0.944911182523068,1.0,0.986227795630767,10,KG_TASK_ADDED
12,80,0.0,0.944911182523068,1.0,0.986227795630767,4,KG_TASK_ADDED
14,500,0.0,0.9647638212377322,0.9910275302536313,0.9889478378728409,10,KG_TASK_ADDED
14,240,0.0,0.9525793444156805,0.9910275305129352,0.9859017187321539,6,KG_TASK_ADDED
14,159,0.0,0.9185586535436918,0.9910275306589914,0.9773965460506708,7,KG_TASK_ADDED
15,64,0.0,1.0000000000000002,1.0,1.0,3,KG_TASK_ADDED
15,94,0.0,0.9622504486493763,1.0,0.9905626121623441,9,KG_TASK_ADDED
15,20,0.0,0.9486832980505138,1.0,0.9871708245126285,8,KG_TASK_ADDED
16,218,0.0,1.0,0.9915219450056914,0.9978804862514228,4,KG_TASK_ADDED
16,505,0.0,0.9999999999999998,0.9914861795313851,0.9978715448828461,5,KG_TASK_ADDED
16,312,0.0,0.9707253433941511,0.9914861790516172,0.9905528806114421,4,KG_TASK_ADDED
17,94,0.0,0.9707253433941511,1.0,0.9926813358485378,12,KG_TASK_ADDED
17,80,0.0,0.9622504486493763,1.0,0.9905626121623441,3,KG_TASK_ADDED
17,66,0.0,0.9583727150068314,1.0,0.9895931787517078,8,KG_TASK_ADDED
18,344,0.0,1.0000000000000002,0.9835250293369866,0.9958812573342466,3,KG_TASK_ADDED
18,651,0.0,0.9622504486493763,0.9999999999999997,0.990562612162344,3,KG_TASK_ADDED
18,371,0.0,0.9761870601839528,0.9835250293369866,0.9899280223802349,5,KG_TASK_ADDED
19,11,0.0,0.47809144373375745,1.0,0.8695228609334393,5,KG_TASK_ADDED
19,34,0.0,0.4472135954999579,1.0,0.8618033988749895,5,KG_TASK_ADDED
19,15,0.0,0.0,1.0,0.75,3,KG_TASK_ADDED
20,56,0.0,0.9594032236002469,1.0,0.9898508059000617,5,KG_TASK_ADDED
20,15,0.0,0.9486832980505138,1.0,0.9871708245126285,8,KG_TASK_ADDED
20,108,0.0,0.9486832980505138,1.0,0.9871708245126285,6,KG_TASK_ADDED
21,240,0.0,0.9999999999999998,0.9999999999999925,0.999999999999998,5,KG_TASK_ADDED
