source_drug_index,target_drug_index,original_similarity,task_similarity,kg_similarity,combined_score,task_overlap_count,edge_origin
30,11,0.0,,0.9999999999999963,,0,KG_ONLY_ADDED
30,12,0.0,0.9486832980505138,0.9999999999999963,,7,KG_ONLY_ADDED
30,15,0.0,0.9999999999999998,0.9999999999999963,,8,KG_ONLY_ADDED
31,140,0.0,0.6666666666666667,0.9999999999999998,,16,KG_ONLY_ADDED
31,269,0.0,0.7071067811865475,0.9999999999999998,,4,KG_ONLY_ADDED
31,354,0.0,0.8017837257372731,0.9999999999999998,,4,KG_ONLY_ADDED
32,260,0.0,,0.9999999999999999,,1,KG_ONLY_ADDED
32,378,0.0,1.0,0.9999999999999999,,4,KG_ONLY_ADDED
32,379,0.0,0.9622504486493764,0.9999999999999999,,6,KG_ONLY_ADDED
33,286,0.0,0.7082882469748284,0.9979523024873448,,19,KG_ONLY_ADDED
33,91,0.0,0.8273287946596167,0.9968692695166247,,18,KG_ONLY_ADDED
33,530,0.0,0.9064942077733621,0.9968692692808659,,16,KG_ONLY_ADDED
34,11,0.0,0.48507125007266594,1.0,,6,KG_ONLY_ADDED
34,12,0.0,0.587774686696516,1.0,,24,KG_ONLY_ADDED
34,15,0.0,0.5298404448604945,1.0,,31,KG_ONLY_ADDED
35,42,0.0,0.9999999999999998,1.0000000000000002,,5,KG_ONLY_ADDED
35,323,0.0,0.9428090415820635,1.0000000000000002,,3,KG_ONLY_ADDED
35,673,0.0,0.7171371656006361,1.0000000000000002,,9,KG_ONLY_ADDED
36,84,0.0,-0.5773502691896258,1.0000000000000002,,3,KG_ONLY_ADDED
36,92,0.0,0.6201736729460423,1.0000000000000002,,6,KG_ONLY_ADDED
36,176,0.0,0.9999999999999998,1.0000000000000002,,6,KG_ONLY_ADDED
37,500,0.0,0.9428090415820635,0.9999999999999998,,6,KG_ONLY_ADDED
37,501,0.0,0.9434563530497265,0.9999999999999994,,7,KG_ONLY_ADDED
37,41,0.0,1.0000000000000002,0.9999999999999993,,3,KG_ONLY_ADDED
38,123,0.0,,0.9999999999999953,,2,KG_ONLY_ADDED
38,511,0.0,0.7745966692414834,0.9999999999999938,,5,KG_ONLY_ADDED
38,239,0.0,,0.9999999999999931,,2,KG_ONLY_ADDED
39,112,0.0,0.2857738033247041,0.9999999999999968,,19,KG_ONLY_ADDED
39,429,0.0,0.5743796858006127,0.9999999999999964,,25,KG_ONLY_ADDED
39,160,0.0,0.8320502943378437,0.9999999999999963,,9,KG_ONLY_ADDED
40,51,0.0,0.944911182523068,1.0000000000000004,,4,KG_ONLY_ADDED
40,299,0.0,0.8164965809277259,1.0000000000000004,,5,KG_ONLY_ADDED
40,71,0.0,0.2857142857142857,0.9999999999999992,,4,KG_ONLY_ADDED
41,159,0.0,1.0000000000000002,0.9999999999999999,,3,KG_ONLY_ADDED
41,192,0.0,0.8164965809277259,0.9999999999999999,,3,KG_ONLY_ADDED
41,395,0.0,,0.9999999999999999,,2,KG_ONLY_ADDED
42,35,0.0,0.9999999999999998,1.0000000000000002,,5,KG_ONLY_ADDED
42,323,0.0,,1.0000000000000002,,2,KG_ONLY_ADDED
42,673,0.0,0.944911182523068,1.0000000000000002,,4,KG_ONLY_ADDED
43,355,0.0,,0.999999999999996,,2,KG_ONLY_ADDED
43,387,0.0,,0.999999999999996,,0,KG_ONLY_ADDED
43,517,0.0,,0.999999999999996,,1,KG_ONLY_ADDED
44,422,0.0,0.4082482904638631,0.9999999999999984,,3,KG_ONLY_ADDED
44,612,0.0,0.6172133998483676,0.9999999999999982,,4,KG_ONLY_ADDED
44,248,0.0,0.5477225575051661,0.999999999999998,,3,KG_ONLY_ADDED
45,26,0.0,0.18257418583505533,0.9999999999999992,,9,KG_ONLY_ADDED
45,47,0.0,0.17677669529663687,0.9999999999999992,,22,KG_ONLY_ADDED
45,79,0.0,-0.064888568452305,0.9999999999999992,,23,KG_ONLY_ADDED
46,327,0.0,0.7745966692414834,1.0000000000000002,,5,KG_ONLY_ADDED
46,475,0.0,0.9999999999999999,1.0000000000000002,,7,KG_ONLY_ADDED
46,519,0.0,0.9622504486493764,0.999999999999998,,6,KG_ONLY_ADDED
47,26,0.0,0.6531972647421808,0.9999999999999999,,13,KG_ONLY_ADDED
47,79,0.0,0.6265611300756749,0.9999999999999999,,141,KG_ONLY_ADDED
47,265,0.0,0.49377071987869403,0.9999999999999999,,52,KG_ONLY_ADDED
48,99,0.0,0.5230657809659415,0.9999999999999964,,82,KG_ONLY_ADDED
48,550,0.0,0.11952286093343936,0.9999999999999963,,11,KG_ONLY_ADDED
48,103,0.0,0.36490022459988086,0.9999999999999959,,39,KG_ONLY_ADDED
49,198,0.0,,1.0000000000000002,,2,KG_ONLY_ADDED
49,271,0.0,0.7999999999999998,1.0000000000000002,,6,KG_ONLY_ADDED
49,293,0.0,0.8164965809277259,1.0000000000000002,,3,KG_ONLY_ADDED
50,57,0.0,0.857142857142857,0.999999999999998,,4,KG_ONLY_ADDED
50,444,0.0,0.7826237921249264,0.9999999999999967,,5,KG_ONLY_ADDED
50,513,0.0,0.9999999999999999,0.999999999999996,,4,KG_ONLY_ADDED
51,40,0.0,0.944911182523068,1.0000000000000004,,4,KG_ONLY_ADDED
51,299,0.0,0.7453559924999299,1.0000000000000004,,5,KG_ONLY_ADDED
51,71,0.0,,0.9999999999999992,,2,KG_ONLY_ADDED
52,417,0.0,-0.31622776601683794,0.9999999999999966,,4,KG_ONLY_ADDED
52,280,0.0,0.8606629658238704,0.9999999999999964,,6,KG_ONLY_ADDED
52,224,0.0,0.8320502943378437,0.9999999999999963,,7,KG_ONLY_ADDED
53,200,0.0,0.9438798074485389,0.9999999999999963,,5,KG_ONLY_ADDED
53,241,0.0,0.9457324874869207,0.999999999999996,,8,KG_ONLY_ADDED
53,309,0.0,0.9296696802013681,0.999999999999996,,8,KG_ONLY_ADDED
54,413,0.0,0.6076436202501999,0.9893181145742935,,22,KG_ONLY_ADDED
54,102,0.0,0.07537783614444091,0.98931811417391,,18,KG_ONLY_ADDED
54,153,0.0,0.3689323936863109,0.98931811417391,,17,KG_ONLY_ADDED
55,31,0.0,1.0,0.9999999999999978,,3,KG_ONLY_ADDED
55,140,0.0,0.35355339059327373,0.9999999999999978,,5,KG_ONLY_ADDED
55,269,0.0,,0.9999999999999978,,0,KG_ONLY_ADDED
56,11,0.0,,1.0,,2,KG_ONLY_ADDED
56,12,0.0,0.944911182523068,1.0,,10,KG_ONLY_ADDED
56,15,0.0,0.9449111825230682,1.0,,9,KG_ONLY_ADDED
57,50,0.0,0.857142857142857,0.999999999999998,,4,KG_ONLY_ADDED
57,444,0.0,0.7130240959073808,0.9999999999999962,,14,KG_ONLY_ADDED
57,440,0.0,-0.3223291856101521,0.9999999999999956,,10,KG_ONLY_ADDED
58,439,0.0,0.7171371656006361,0.9999999999999973,,5,KG_ONLY_ADDED
58,501,0.0,0.837525686389569,0.9999999999999973,,18,KG_ONLY_ADDED
58,41,0.0,0.9293203772845852,0.9999999999999972,,14,KG_ONLY_ADDED
59,65,0.0,0.8164965809277259,0.9999999999999927,,6,KG_ONLY_ADDED
59,494,0.0,,0.9999999999999925,,2,KG_ONLY_ADDED
59,461,0.0,,0.9999999999999923,,0,KG_ONLY_ADDED
60,609,0.0,0.7337993857053429,0.9999999999999967,,10,KG_ONLY_ADDED
60,518,0.0,0.6681531047810609,0.9933184715367431,,10,KG_ONLY_ADDED
60,552,0.0,0.8660254037844387,0.993318471519547,,4,KG_ONLY_ADDED
61,109,0.0,0.4163331998932266,0.9999999999999949,,97,KG_ONLY_ADDED
61,310,0.0,0.0,0.9999999999999933,,6,KG_ONLY_ADDED
61,222,0.0,0.8164965809277261,0.9999999999999932,,6,KG_ONLY_ADDED
62,496,0.0,0.15075567228888181,0.9999999999999956,,17,KG_ONLY_ADDED
62,560,0.0,0.9114654303753,0.9999999999999954,,12,KG_ONLY_ADDED
62,99,0.0,0.0837707816583391,0.9999999999999948,,31,KG_ONLY_ADDED
63,282,0.0,,0.9999999999999956,,0,KG_ONLY_ADDED
63,416,0.0,0.9622504486493763,0.9999999999999956,,3,KG_ONLY_ADDED
63,565,0.0,,0.9999999999999956,,2,KG_ONLY_ADDED
64,11,0.0,,1.0,,0,KG_ONLY_ADDED
64,12,0.0,0.8081220356417685,1.0,,5,KG_ONLY_ADDED
64,15,0.0,1.0000000000000002,1.0,,3,KG_ONLY_ADDED
65,59,0.0,0.8164965809277259,0.9999999999999927,,6,KG_ONLY_ADDED
65,214,0.0,0.5520524474738833,0.999999999999992,,85,KG_ONLY_ADDED
65,494,0.0,0.8333333333333334,0.9999999999999907,,6,KG_ONLY_ADDED
66,11,0.0,,1.0,,2,KG_ONLY_ADDED
66,12,0.0,0.8017837257372732,1.0,,5,KG_ONLY_ADDED
66,15,0.0,0.3872983346207417,1.0,,7,KG_ONLY_ADDED
67,104,0.0,0.7669649888473704,1.0000000000000002,,41,KG_ONLY_ADDED
67,121,0.0,0.8693182879212227,1.0000000000000002,,13,KG_ONLY_ADDED
67,350,0.0,0.6471502289294341,1.0000000000000002,,18,KG_ONLY_ADDED
68,116,0.0,,0.9999999999999999,,2,KG_ONLY_ADDED
68,131,0.0,0.9428090415820635,0.9999999999999999,,3,KG_ONLY_ADDED
68,146,0.0,,0.9999999999999999,,2,KG_ONLY_ADDED
69,110,0.0,0.7745966692414834,0.9999999999999997,,10,KG_ONLY_ADDED
69,468,0.0,0.3530090432487313,0.9999999999999959,,21,KG_ONLY_ADDED
69,295,0.0,0.25337550864012875,0.9999999999999958,,45,KG_ONLY_ADDED
70,115,0.0,0.6344166391652173,0.9999999999999973,,30,KG_ONLY_ADDED
70,278,0.0,0.480754414848157,0.9999999999999973,,87,KG_ONLY_ADDED
70,320,0.0,0.5773502691896257,0.9999999999999973,,6,KG_ONLY_ADDED
71,40,0.0,0.2857142857142857,0.9999999999999992,,4,KG_ONLY_ADDED
71,51,0.0,,0.9999999999999992,,2,KG_ONLY_ADDED
71,299,0.0,-0.0944911182523068,0.9999999999999992,,8,KG_ONLY_ADDED
72,75,0.0,0.23570226039551587,0.9806080035970223,,6,KG_ONLY_ADDED
72,256,0.0,0.5445811486371709,0.9806080027339722,,36,KG_ONLY_ADDED
72,472,0.0,-0.2735942272227077,0.9806080013319457,,58,KG_ONLY_ADDED
74,172,0.0,,0.9999999999999999,,2,KG_ONLY_ADDED
74,393,0.0,,0.999999999999996,,2,KG_ONLY_ADDED
74,319,0.0,,0.9999999999999956,,1,KG_ONLY_ADDED
75,256,0.0,0.9428090415820635,0.9999999999999972,,3,KG_ONLY_ADDED
75,472,0.0,,0.9999999999999967,,1,KG_ONLY_ADDED
75,468,0.0,0.9622504486493763,0.9919144800232906,,3,KG_ONLY_ADDED
76,324,0.0,0.8999999999999998,1.0,,7,KG_ONLY_ADDED
76,695,0.0,,0.9999999999999986,,1,KG_ONLY_ADDED
76,720,0.0,0.9428090415820635,0.9999999999999974,,6,KG_ONLY_ADDED
77,40,0.0,,0.9999999999999951,,0,KG_ONLY_ADDED
77,51,0.0,,0.9999999999999951,,1,KG_ONLY_ADDED
77,299,0.0,,0.9999999999999951,,2,KG_ONLY_ADDED
78,85,0.0,0.8232998121250613,0.9999999999999989,,19,KG_ONLY_ADDED
78,147,0.0,0.5652806856077136,0.9999999999999989,,29,KG_ONLY_ADDED
78,209,0.0,1.0000000000000002,0.9999999999999989,,3,KG_ONLY_ADDED
79,26,0.0,0.5345224838248488,0.9999999999999999,,18,KG_ONLY_ADDED
79,47,0.0,0.6265611300756749,0.9999999999999999,,141,KG_ONLY_ADDED
79,265,0.0,0.4562105641233377,0.9999999999999999,,47,KG_ONLY_ADDED
80,11,0.0,,1.0,,0,KG_ONLY_ADDED
80,12,0.0,0.944911182523068,1.0,,4,KG_ONLY_ADDED
80,15,0.0,0.4767312946227962,1.0,,8,KG_ONLY_ADDED
81,28,0.0,0.4714045207910316,0.9999999999999993,,10,KG_ONLY_ADDED
81,328,0.0,0.5000000000000001,0.9999999999999993,,9,KG_ONLY_ADDED
81,656,0.0,0.3779644730092272,0.9999999999999993,,5,KG_ONLY_ADDED
82,376,0.0,0.8981462390204985,0.9999999999999959,,7,KG_ONLY_ADDED
82,166,0.0,0.7711356597650746,0.9999999999999953,,19,KG_ONLY_ADDED
82,536,0.0,0.5196152422706631,0.9923914774209205,,14,KG_ONLY_ADDED
84,36,0.0,-0.5773502691896258,1.0000000000000002,,3,KG_ONLY_ADDED
84,92,0.0,,1.0000000000000002,,1,KG_ONLY_ADDED
84,176,0.0,,1.0000000000000002,,0,KG_ONLY_ADDED
85,147,0.0,0.5544369932703277,1.0000000000000002,,16,KG_ONLY_ADDED
85,209,0.0,,1.0000000000000002,,2,KG_ONLY_ADDED
85,245,0.0,0.75,1.0000000000000002,,7,KG_ONLY_ADDED
86,27,0.0,,1.0000000000000002,,2,KG_ONLY_ADDED
86,397,0.0,,1.0000000000000002,,0,KG_ONLY_ADDED
86,242,0.0,,0.9999999999999984,,2,KG_ONLY_ADDED
87,467,0.0,1.0000000000000002,0.9999999999999971,,3,KG_ONLY_ADDED
87,702,0.0,,0.9999999999999962,,0,KG_ONLY_ADDED
87,326,0.0,0.4335549847620599,0.9999999999999961,,16,KG_ONLY_ADDED
88,618,0.0,0.753778361444409,0.9999999999999978,,8,KG_ONLY_ADDED
88,617,0.0,0.9438798074485389,0.9999999999999972,,7,KG_ONLY_ADDED
88,584,0.0,1.0000000000000002,0.9999999999999971,,3,KG_ONLY_ADDED
89,336,0.0,,1.0000000000000002,,0,KG_ONLY_ADDED
89,508,0.0,,1.0000000000000002,,2,KG_ONLY_ADDED
89,538,0.0,0.9230769230769232,1.0000000000000002,,7,KG_ONLY_ADDED
90,11,0.0,,1.0,,0,KG_ONLY_ADDED
90,12,0.0,0.35355339059327373,1.0,,6,KG_ONLY_ADDED
90,15,0.0,0.2886751345948129,1.0,,6,KG_ONLY_ADDED
91,530,0.0,0.8743856497851876,0.9999999999999971,,13,KG_ONLY_ADDED
91,33,0.0,0.8273287946596167,0.9968692695166247,,18,KG_ONLY_ADDED
91,11,0.0,,0.9956726838601369,,2,KG_ONLY_ADDED
92,36,0.0,0.6201736729460423,1.0000000000000002,,6,KG_ONLY_ADDED
92,84,0.0,,1.0000000000000002,,1,KG_ONLY_ADDED
92,176,0.0,0.6666666666666667,1.0000000000000002,,6,KG_ONLY_ADDED
93,180,0.0,,0.9999999999999993,,0,KG_ONLY_ADDED
93,709,0.0,0.9428090415820635,0.9999999999999986,,3,KG_ONLY_ADDED
93,545,0.0,,0.9999999999999977,,1,KG_ONLY_ADDED
94,11,0.0,,1.0,,2,KG_ONLY_ADDED
94,12,0.0,0.9457324874869207,1.0,,8,KG_ONLY_ADDED
94,15,0.0,0.9622504486493763,1.0,,9,KG_ONLY_ADDED
95,175,0.0,0.37509688670876046,1.0,,13,KG_ONLY_ADDED
95,247,0.0,0.867227382716513,0.9999999999999974,,13,KG_ONLY_ADDED
95,396,0.0,0.9799578870122229,0.9999999999999974,,6,KG_ONLY_ADDED
96,40,0.0,,0.9894754309001387,,2,KG_ONLY_ADDED
96,51,0.0,0.8164965809277259,0.9894754309001387,,3,KG_ONLY_ADDED
96,299,0.0,0.4999999999999999,0.9894754309001387,,10,KG_ONLY_ADDED
97,85,0.0,-0.6804138174397718,0.991703959595266,,9,KG_ONLY_ADDED
97,147,0.0,-0.05547001962252291,0.991703959595266,,13,KG_ONLY_ADDED
97,209,0.0,,0.991703959595266,,1,KG_ONLY_ADDED
98,438,0.0,0.9622504486493763,0.9999999999999942,,3,KG_ONLY_ADDED
98,277,0.0,,0.999999999999994,,0,KG_ONLY_ADDED
98,471,0.0,0.0826898230594723,0.9999999999999936,,15,KG_ONLY_ADDED
99,682,0.0,-0.10206207261596577,0.999999999999997,,13,KG_ONLY_ADDED
99,118,0.0,-0.5773502691896258,0.9999999999999969,,3,KG_ONLY_ADDED
99,262,0.0,0.536774032210737,0.9999999999999969,,70,KG_ONLY_ADDED
100,179,0.0,0.9561828874675149,0.9899687935647856,,7,KG_ONLY_ADDED
100,404,0.0,,0.9872080258007119,,0,KG_ONLY_ADDED
100,599,0.0,0.9799578870122229,0.9872080248512469,,6,KG_ONLY_ADDED
101,690,0.0,0.6933752452815365,0.9999999999999981,,10,KG_ONLY_ADDED
101,213,0.0,0.9486832980505138,0.9999999999999973,,6,KG_ONLY_ADDED
101,415,0.0,0.704469953676347,0.9999999999999973,,18,KG_ONLY_ADDED
102,153,0.0,0.6135719910778963,1.0000000000000007,,9,KG_ONLY_ADDED
102,199,0.0,,1.0000000000000007,,0,KG_ONLY_ADDED
102,340,0.0,,1.0000000000000007,,2,KG_ONLY_ADDED
103,118,0.0,,0.9999999999999981,,1,KG_ONLY_ADDED
103,262,0.0,0.6986956960477685,0.9999999999999981,,39,KG_ONLY_ADDED
103,560,0.0,0.4061811972299616,0.999999999999998,,12,KG_ONLY_ADDED
104,67,0.0,0.7669649888473704,1.0000000000000002,,41,KG_ONLY_ADDED
104,121,0.0,0.733358797622569,1.0000000000000002,,13,KG_ONLY_ADDED
104,350,0.0,0.6133956150821481,1.0000000000000002,,24,KG_ONLY_ADDED
105,22,0.0,,0.9999999999999986,,1,KG_ONLY_ADDED
105,436,0.0,,0.9999999999999986,,1,KG_ONLY_ADDED
105,184,0.0,0.9544271444636666,0.9999999999999984,,7,KG_ONLY_ADDED
106,519,0.0,0.882522608121828,0.9999999999999959,,5,KG_ONLY_ADDED
106,241,0.0,0.8838834764831843,0.9999999999999954,,5,KG_ONLY_ADDED
106,309,0.0,0.857142857142857,0.9999999999999954,,4,KG_ONLY_ADDED
107,445,0.0,0.9381941874331419,0.9999999999999977,,7,KG_ONLY_ADDED
107,338,0.0,,0.9999999999999972,,0,KG_ONLY_ADDED
107,449,0.0,,0.9999999999999972,,0,KG_ONLY_ADDED
108,11,0.0,0.5,1.0,,4,KG_ONLY_ADDED
108,12,0.0,0.7242068243779013,1.0,,12,KG_ONLY_ADDED
108,15,0.0,0.6957010852370434,1.0,,16,KG_ONLY_ADDED
109,468,0.0,0.5452752542346465,0.9999999999999951,,32,KG_ONLY_ADDED
109,61,0.0,0.4163331998932266,0.9999999999999949,,97,KG_ONLY_ADDED
109,222,0.0,0.9525793444156805,0.9999999999999946,,6,KG_ONLY_ADDED
110,69,0.0,0.7745966692414834,0.9999999999999997,,10,KG_ONLY_ADDED
110,468,0.0,0.9428090415820635,0.9999999999999959,,6,KG_ONLY_ADDED
110,295,0.0,0.48418202613504197,0.9999999999999958,,13,KG_ONLY_ADDED
111,329,0.0,0.8520128672302585,1.0000000000000004,,12,KG_ONLY_ADDED
111,450,0.0,0.8807048459279794,1.0000000000000004,,7,KG_ONLY_ADDED
111,493,0.0,-0.3779644730092272,1.0000000000000004,,6,KG_ONLY_ADDED
112,160,0.0,0.50709255283711,0.9999999999999988,,10,KG_ONLY_ADDED
112,429,0.0,0.07490058862731383,0.9999999999999988,,32,KG_ONLY_ADDED
112,202,0.0,0.8944271909999159,0.9999999999999982,,8,KG_ONLY_ADDED
113,345,0.0,,1.0,,2,KG_ONLY_ADDED
113,389,0.0,,1.0,,2,KG_ONLY_ADDED
113,18,0.0,,0.9875156441452223,,2,KG_ONLY_ADDED
114,494,0.0,0.903696114115064,0.9999999999999962,,7,KG_ONLY_ADDED
114,314,0.0,0.5477225575051661,0.999999999999996,,19,KG_ONLY_ADDED
114,364,0.0,,0.9999999999999953,,2,KG_ONLY_ADDED
115,278,0.0,0.3751832396884335,1.0000000000000002,,30,KG_ONLY_ADDED
115,320,0.0,0.5773502691896258,1.0000000000000002,,3,KG_ONLY_ADDED
115,593,0.0,0.8498365855987975,1.0000000000000002,,11,KG_ONLY_ADDED
116,68,0.0,,0.9999999999999999,,2,KG_ONLY_ADDED
116,131,0.0,,0.9999999999999999,,0,KG_ONLY_ADDED
116,146,0.0,,0.9999999999999999,,1,KG_ONLY_ADDED
117,55,0.0,0.8017837257372731,0.9833139197431636,,4,KG_ONLY_ADDED
117,31,0.0,0.6396021490668313,0.9833139190975458,,8,KG_ONLY_ADDED
117,140,0.0,0.5533985905294664,0.9833139190975458,,14,KG_ONLY_ADDED
118,262,0.0,,1.0,,0,KG_ONLY_ADDED
118,103,0.0,,0.9999999999999981,,1,KG_ONLY_ADDED
118,560,0.0,,0.9999999999999974,,1,KG_ONLY_ADDED
119,11,0.0,,1.0,,0,KG_ONLY_ADDED
119,12,0.0,,1.0,,2,KG_ONLY_ADDED
119,15,0.0,1.0000000000000002,1.0,,3,KG_ONLY_ADDED
120,486,0.0,,0.985152881208155,,1,KG_ONLY_ADDED
120,604,0.0,,0.985152880477221,,2,KG_ONLY_ADDED
120,49,0.0,,0.9851528801461585,,2,KG_ONLY_ADDED
121,67,0.0,0.8693182879212227,1.0000000000000002,,13,KG_ONLY_ADDED
121,104,0.0,0.733358797622569,1.0000000000000002,,13,KG_ONLY_ADDED
121,350,0.0,0.7171371656006361,1.0000000000000002,,8,KG_ONLY_ADDED
122,11,0.0,-0.22645540682891918,1.0,,4,KG_ONLY_ADDED
122,12,0.0,0.9406401658278406,1.0,,13,KG_ONLY_ADDED
122,15,0.0,0.5499999999999999,1.0,,14,KG_ONLY_ADDED
123,654,0.0,0.6154574548966638,0.9999999999999962,,5,KG_ONLY_ADDED
123,231,0.0,0.6643638388299198,0.9999999999999959,,24,KG_ONLY_ADDED
