source_drug_index,target_drug_index,original_similarity,task_similarity,kg_similarity,combined_score,task_overlap_count,edge_origin
7,1,0.0,0.9428090415820635,1.0,,3,ORIGINAL
7,2,0.0,1.0000000000000002,0.9633150259944552,,3,ORIGINAL
7,3,0.0,0.944911182523068,0.9478675140998328,,7,ORIGINAL
7,4,0.0,,1.0,,2,ORIGINAL
7,5,0.0,0.9561828874675149,1.0,,5,ORIGINAL
7,6,0.0,0.8749999999999998,0.9646784562203947,,5,ORIGINAL
7,8,0.0,0.8125,1.0,,7,ORIGINAL
7,9,0.0,0.7302967433402214,1.0,,4,ORIGINAL
7,10,0.0,-0.769800358919501,,,6,ORIGINAL
8,0,0.0,,1.0,,1,ORIGINAL
8,1,0.0,,1.0,,2,ORIGINAL
8,2,0.0,0.8999999999999998,0.9633150259944552,,4,ORIGINAL
8,3,0.0,0.8944271909999159,0.9478675140998328,,9,ORIGINAL
8,4,0.0,0.8571428571428571,1.0,,5,ORIGINAL
8,5,0.0,0.9464574146347642,1.0,,10,ORIGINAL
8,6,0.0,0.8606629658238704,0.9646784562203947,,6,ORIGINAL
8,7,0.0,0.8125,1.0,,7,ORIGINAL
8,9,0.0,0.7302967433402214,1.0,,3,ORIGINAL
8,10,0.0,-0.33333333333333337,,,6,ORIGINAL
9,0,0.0,1.0000000000000002,1.0,,3,ORIGINAL
9,1,0.0,0.9799578870122229,1.0,,6,ORIGINAL
9,2,0.0,0.9525793444156805,0.9633150259944552,,3,ORIGINAL
9,3,0.0,0.9090909090909091,0.9478675140998328,,5,ORIGINAL
9,4,0.0,,1.0,,2,ORIGINAL
9,5,0.0,0.8728715609439696,1.0,,6,ORIGINAL
9,6,0.0,0.4743416490252569,0.9646784562203947,,6,ORIGINAL
9,7,0.0,0.7302967433402214,1.0,,4,ORIGINAL
9,8,0.0,0.7302967433402214,1.0,,3,ORIGINAL
9,10,0.0,0.4082482904638631,,,6,ORIGINAL
10,0,0.0,,,,2,ORIGINAL
10,1,0.0,-0.16903085094570328,,,7,ORIGINAL
10,2,0.0,-0.5773502691896257,,,6,ORIGINAL
10,3,0.0,-0.4472135954999579,,,14,ORIGINAL
10,4,0.0,-0.223606797749979,,,9,ORIGINAL
10,5,0.0,-0.12309149097933275,,,12,ORIGINAL
10,6,0.0,0.1336306209562122,,,9,ORIGINAL
10,7,0.0,-0.769800358919501,,,6,ORIGINAL
10,8,0.0,-0.33333333333333337,,,6,ORIGINAL
10,9,0.0,0.4082482904638631,,,6,ORIGINAL
11,0,0.0,0.1889822365046136,1.0,,4,ORIGINAL
11,1,0.0,0.8660254037844387,1.0,,4,ORIGINAL
