graph,original_edges,added_edges,total_directed_edges,mean_degree,min_degree,max_degree,isolated_nodes,reciprocal_edge_percentage,connected_component_count,largest_component_size,mean_original_similarity_of_retained_original_edges,added_mean_kg_similarity,added_mean_task_similarity,added_mean_task_overlap_count,added_evaluable_task_edge_count,mean_task_similarity,median_task_similarity,top_neighborhood_task_similarity,random_task_baseline,task_enrichment,delta_mean_task_vs_original
ORIGINAL,7570,0,7570,10.0,10,10,0,2.3778071334214004,1,757,0.008903566710700132,,,,0,0.7470451461546349,0.8869685939836239,0.7528292690959324,0.6761262868937492,0.0709188592608857,0.0
KG_ONLY,7570,2190,9760,12.892998678996037,10,13,0,11.331967213114755,1,757,0.008903566710700132,0.9987137365012402,0.6821766390009492,7.529680365296803,1460,0.7323412150190378,0.8749999999999998,0.7400609963684773,0.6761262868937492,0.05621492812528861,-0.014703931135597093
TASK_ONLY,7570,2252,9822,12.974900924702775,10,13,0,5.803298717165546,1,757,0.008903566710700132,0.945076939750867,0.9898355045058495,3.502664298401421,2252,0.8226381071676219,0.944911182523068,0.8353495882496,0.6761262868937492,0.14651182027387266,0.07559296101298696
KG_TASK,7570,1911,9481,12.52443857331572,10,13,0,9.534859192068348,1,757,0.008903566710700132,0.9954390939272683,0.9188630146611565,6.0272108843537415,1911,0.7946864616967074,0.927392619744373,0.7997457734284763,0.6761262868937492,0.11856017480295822,0.047641315542072515
