epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_aupr
1,1.4280908615865318,1.0601882658163517,0.6129607609988109,0.38623988563704054,0.5714013687903011
2,1.0854021026914649,1.015351268255753,0.6218787158145065,0.47222870324869454,0.6056026474699637
3,0.9949207891641338,0.9181887590360698,0.6536860879904876,0.5578130560700213,0.6415128447980685
4,0.9461469571855893,0.9162922554719178,0.6524970273483948,0.5617543680812381,0.6514376349301256
5,0.9109672960777166,0.875596566801264,0.6706302021403091,0.590162682527643,0.6668544084455336
6,0.8796848464226285,0.8647356951846237,0.6741973840665874,0.6096030873683275,0.676701124325244
7,0.8642016851576075,0.8876562963342837,0.6694411414982164,0.5780292689535239,0.681121694887724
8,0.8429389900267479,0.9280970638061959,0.6554696789536266,0.5736432359877245,0.6706092650403985
9,0.8254606375809532,0.8387680334370144,0.6807372175980975,0.6249668305494624,0.686876351926481
10,0.8043414820863932,0.8525915192650558,0.6872770511296076,0.6218400132074113,0.6915446658735536
11,0.7954914660233989,0.9043697542582908,0.6572532699167658,0.575659621256737,0.6830673479591391
12,0.772233382743253,0.8365722907425815,0.6768727705112961,0.6297010864743781,0.7010105656916534
13,0.7684222417122747,0.8248452692338034,0.6846016646848989,0.6312466281525344,0.7066092222060764
14,0.7590747482315928,0.8430288353941529,0.6923305588585018,0.6257135103893614,0.7045334476609164
15,0.7465446110824159,0.8193872723369621,0.6941141498216409,0.6362364151584272,0.7104590889929159
16,0.7279626854249216,0.8275040878552177,0.7009512485136742,0.6568881684784283,0.709304742505725
17,0.7140850175121409,0.8715897791450854,0.6896551724137931,0.6224631379104473,0.7038893917939854
18,0.7079980923688297,0.8561921414523856,0.6941141498216409,0.6339271864985718,0.71129243648431
19,0.7009552734214017,0.8524005303910173,0.6786563614744352,0.6300413861197106,0.7104821760540215
20,0.6867243821484585,0.8344448369691828,0.6857907253269917,0.6487778519126364,0.7076006663694325
21,0.6785999763170962,0.8813519737241384,0.6712247324613555,0.624555137163369,0.6989985939779784
22,0.6693457758516416,0.8611844019714066,0.6649821640903686,0.6296136382858761,0.7020329478040898
23,0.661306960951808,0.8925317578310065,0.6854934601664685,0.6122768858453015,0.710960721960121
