class,precision,recall,f1,support
1,0.624,0.6554621848739496,0.6393442622950819,119
2,0.6082949308755761,0.6285714285714286,0.6182669789227166,420
3,0.6497975708502024,0.6413586413586414,0.6455505279034691,1001
4,0.7710583153347732,0.8036015756893641,0.786993662165886,1777
5,0.65,0.523696682464455,0.5800524934383202,422
