node_index,node_id,node_type,name,source
79,BIOKORF_DRUG_079,BIOKORF_DRUG,venlafaxine,BioKORF
80,BIOKORF_DRUG_080,BIOKORF_DRUG,conjugated.estrogens,BioKORF
81,BIOKORF_DRUG_081,BIOKORF_DRUG,travoprost,BioKORF
82,BIOKORF_DRUG_082,BIOKORF_DRUG,atomoxetine,BioKORF
83,BIOKORF_DRUG_083,BIOKORF_DRUG,bleomycin,BioKORF
84,BIOKORF_DRUG_084,BIOKORF_DRUG,chlorambucil,BioKORF
85,BIOKORF_DRUG_085,BIOKORF_DRUG,raltitrexed,BioKORF
86,BIOKORF_DRUG_086,BIOKORF_DRUG,etonogestrel,BioKORF
87,BIOKORF_DRUG_087,BIOKORF_DRUG,morphine,BioKORF
88,BIOKORF_DRUG_088,BIOKORF_DRUG,ropivacaine,BioKORF
89,BIOKORF_DRUG_089,BIOKORF_DRUG,bupivacaine,BioKORF
90,BIOKORF_DRUG_090,BIOKORF_DRUG,penciclovir,BioKORF
91,BIOKORF_DRUG_091,BIOKORF_DRUG,tenofovir.disoproxil,BioKORF
92,BIOKORF_DRUG_092,BIOKORF_DRUG,flucloxacillin,BioKORF
93,BIOKORF_DRUG_093,BIOKORF_DRUG,tranexamic.acid,BioKORF
94,BIOKORF_DRUG_094,BIOKORF_DRUG,ertapenem,BioKORF
95,BIOKORF_DRUG_095,BIOKORF_DRUG,bexarotene,BioKORF
96,BIOKORF_DRUG_096,BIOKORF_DRUG,ibutilide,BioKORF
97,BIOKORF_DRUG_097,BIOKORF_DRUG,chlortalidone,BioKORF
98,BIOKORF_DRUG_098,BIOKORF_DRUG,valproic.acid,BioKORF
99,BIOKORF_DRUG_099,BIOKORF_DRUG,zolmitriptan,BioKORF
100,BIOKORF_DRUG_100,BIOKORF_DRUG,paracetamol,BioKORF
101,BIOKORF_DRUG_101,BIOKORF_DRUG,gefitinib,BioKORF
102,BIOKORF_DRUG_102,BIOKORF_DRUG,piperacillin,BioKORF
103,BIOKORF_DRUG_103,BIOKORF_DRUG,dihydroergotamine,BioKORF
104,BIOKORF_DRUG_104,BIOKORF_DRUG,tolcapone,BioKORF
105,BIOKORF_DRUG_105,BIOKORF_DRUG,hydromorphone,BioKORF
106,BIOKORF_DRUG_106,BIOKORF_DRUG,indometacin,BioKORF
107,BIOKORF_DRUG_107,BIOKORF_DRUG,metformin,BioKORF
108,BIOKORF_DRUG_108,BIOKORF_DRUG,ipratropium.bromide,BioKORF
109,BIOKORF_DRUG_109,BIOKORF_DRUG,olanzapine,BioKORF
110,BIOKORF_DRUG_110,BIOKORF_DRUG,atenolol,BioKORF
111,BIOKORF_DRUG_111,BIOKORF_DRUG,pimecrolimus,BioKORF
112,BIOKORF_DRUG_112,BIOKORF_DRUG,omeprazole,BioKORF
113,BIOKORF_DRUG_113,BIOKORF_DRUG,cetirizine,BioKORF
114,BIOKORF_DRUG_114,BIOKORF_DRUG,diltiazem,BioKORF
115,BIOKORF_DRUG_115,BIOKORF_DRUG,alfuzosin,BioKORF
116,BIOKORF_DRUG_116,BIOKORF_DRUG,nitisinone,BioKORF
117,BIOKORF_DRUG_117,BIOKORF_DRUG,clobazam,BioKORF
118,BIOKORF_DRUG_118,BIOKORF_DRUG,megestrol,BioKORF
119,BIOKORF_DRUG_119,BIOKORF_DRUG,aztreonam,BioKORF
120,BIOKORF_DRUG_120,BIOKORF_DRUG,sapropterin,BioKORF
121,BIOKORF_DRUG_121,BIOKORF_DRUG,vinorelbine,BioKORF
122,BIOKORF_DRUG_122,BIOKORF_DRUG,anidulafungin,BioKORF
123,BIOKORF_DRUG_123,BIOKORF_DRUG,clozapine,BioKORF
124,BIOKORF_DRUG_124,BIOKORF_DRUG,levonorgestrel,BioKORF
125,BIOKORF_DRUG_125,BIOKORF_DRUG,cidofovir,BioKORF
126,BIOKORF_DRUG_126,BIOKORF_DRUG,mirtazapine,BioKORF
127,BIOKORF_DRUG_127,BIOKORF_DRUG,timolol,BioKORF
128,BIOKORF_DRUG_128,BIOKORF_DRUG,treprostinil,BioKORF
129,BIOKORF_DRUG_129,BIOKORF_DRUG,palonosetron,BioKORF
130,BIOKORF_DRUG_130,BIOKORF_DRUG,mexiletine,BioKORF
131,BIOKORF_DRUG_131,BIOKORF_DRUG,dexrazoxane,BioKORF
132,BIOKORF_DRUG_132,BIOKORF_DRUG,amlodipine,BioKORF
133,BIOKORF_DRUG_133,BIOKORF_DRUG,digoxin,BioKORF
134,BIOKORF_DRUG_134,BIOKORF_DRUG,nimodipine,BioKORF
135,BIOKORF_DRUG_135,BIOKORF_DRUG,beclometasone,BioKORF
136,BIOKORF_DRUG_136,BIOKORF_DRUG,progesterone,BioKORF
137,BIOKORF_DRUG_137,BIOKORF_DRUG,sorafenib,BioKORF
138,BIOKORF_DRUG_138,BIOKORF_DRUG,zoledronic.acid,BioKORF
139,BIOKORF_DRUG_139,BIOKORF_DRUG,nisoldipine,BioKORF
140,BIOKORF_DRUG_140,BIOKORF_DRUG,eszopiclone,BioKORF
141,BIOKORF_DRUG_141,BIOKORF_DRUG,alprazolam,BioKORF
142,BIOKORF_DRUG_142,BIOKORF_DRUG,loxapine,BioKORF
143,BIOKORF_DRUG_143,BIOKORF_DRUG,mupirocin,BioKORF
144,BIOKORF_DRUG_144,BIOKORF_DRUG,rosiglitazone,BioKORF
145,BIOKORF_DRUG_145,BIOKORF_DRUG,pramipexole,BioKORF
146,BIOKORF_DRUG_146,BIOKORF_DRUG,miglustat,BioKORF
147,BIOKORF_DRUG_147,BIOKORF_DRUG,methylphenidate,BioKORF
148,BIOKORF_DRUG_148,BIOKORF_DRUG,hyoscyamine,BioKORF
149,BIOKORF_DRUG_149,BIOKORF_DRUG,zolpidem,BioKORF
150,BIOKORF_DRUG_150,BIOKORF_DRUG,famciclovir,BioKORF
151,BIOKORF_DRUG_151,BIOKORF_DRUG,streptozocin,BioKORF
152,BIOKORF_DRUG_152,BIOKORF_DRUG,allopurinol,BioKORF
153,BIOKORF_DRUG_153,BIOKORF_DRUG,ceftazidime,BioKORF
154,BIOKORF_DRUG_154,BIOKORF_DRUG,cerivastatin,BioKORF
155,BIOKORF_DRUG_155,BIOKORF_DRUG,trimethoprim,BioKORF
156,BIOKORF_DRUG_156,BIOKORF_DRUG,gemcitabine,BioKORF
157,BIOKORF_DRUG_157,BIOKORF_DRUG,entecavir,BioKORF
158,BIOKORF_DRUG_158,BIOKORF_DRUG,teniposide,BioKORF
159,BIOKORF_DRUG_159,BIOKORF_DRUG,epirubicin,BioKORF
160,BIOKORF_DRUG_160,BIOKORF_DRUG,lansoprazole,BioKORF
161,BIOKORF_DRUG_161,BIOKORF_DRUG,loratadine,BioKORF
162,BIOKORF_DRUG_162,BIOKORF_DRUG,prazosin,BioKORF
163,BIOKORF_DRUG_163,BIOKORF_DRUG,imipramine,BioKORF
164,BIOKORF_DRUG_164,BIOKORF_DRUG,acitretin,BioKORF
165,BIOKORF_DRUG_165,BIOKORF_DRUG,verteporfin,BioKORF
166,BIOKORF_DRUG_166,BIOKORF_DRUG,nabumetone,BioKORF
167,BIOKORF_DRUG_167,BIOKORF_DRUG,ketorolac,BioKORF
168,BIOKORF_DRUG_168,BIOKORF_DRUG,montelukast,BioKORF
169,BIOKORF_DRUG_169,BIOKORF_DRUG,fluoxetine,BioKORF
170,BIOKORF_DRUG_170,BIOKORF_DRUG,duloxetine,BioKORF
171,BIOKORF_DRUG_171,BIOKORF_DRUG,rimantadine,BioKORF
172,BIOKORF_DRUG_172,BIOKORF_DRUG,lenalidomide,BioKORF
173,BIOKORF_DRUG_173,BIOKORF_DRUG,raloxifene,BioKORF
174,BIOKORF_DRUG_174,BIOKORF_DRUG,celecoxib,BioKORF
175,BIOKORF_DRUG_175,BIOKORF_DRUG,brimonidine,BioKORF
176,BIOKORF_DRUG_176,BIOKORF_DRUG,dicloxacillin,BioKORF
177,BIOKORF_DRUG_177,BIOKORF_DRUG,nabilone,BioKORF
178,BIOKORF_DRUG_178,BIOKORF_DRUG,sotalol,BioKORF
179,BIOKORF_DRUG_179,BIOKORF_DRUG,buspirone,BioKORF
180,BIOKORF_DRUG_180,BIOKORF_DRUG,fosinopril,BioKORF
181,BIOKORF_DRUG_181,BIOKORF_DRUG,entacapone,BioKORF
182,BIOKORF_DRUG_182,BIOKORF_DRUG,zidovudine,BioKORF
183,BIOKORF_DRUG_183,BIOKORF_DRUG,darifenacin,BioKORF
184,BIOKORF_DRUG_184,BIOKORF_DRUG,oxycodone,BioKORF
185,BIOKORF_DRUG_185,BIOKORF_DRUG,flutamide,BioKORF
186,BIOKORF_DRUG_186,BIOKORF_DRUG,cimetidine,BioKORF
187,BIOKORF_DRUG_187,BIOKORF_DRUG,haloperidol,BioKORF
188,BIOKORF_DRUG_188,BIOKORF_DRUG,ritonavir,BioKORF
189,BIOKORF_DRUG_189,BIOKORF_DRUG,nitazoxanide,BioKORF
190,BIOKORF_DRUG_190,BIOKORF_DRUG,vancomycin,BioKORF
191,BIOKORF_DRUG_191,BIOKORF_DRUG,dextromethorphan,BioKORF
192,BIOKORF_DRUG_192,BIOKORF_DRUG,albendazole,BioKORF
193,BIOKORF_DRUG_193,BIOKORF_DRUG,trandolapril,BioKORF
194,BIOKORF_DRUG_194,BIOKORF_DRUG,caspofungin,BioKORF
195,BIOKORF_DRUG_195,BIOKORF_DRUG,alitretinoin,BioKORF
196,BIOKORF_DRUG_196,BIOKORF_DRUG,metolazone,BioKORF
197,BIOKORF_DRUG_197,BIOKORF_DRUG,oxaliplatin,BioKORF
198,BIOKORF_DRUG_198,BIOKORF_DRUG,lercanidipine,BioKORF
