matrix_index,biokorf_drug_id,graph_node_index,has_kg_connection
158,BIOKORF_DRUG_158,158,True
159,BIOKORF_DRUG_159,159,True
160,BIOKORF_DRUG_160,160,True
161,BIOKORF_DRUG_161,161,True
162,BIOKORF_DRUG_162,162,True
163,BIOKORF_DRUG_163,163,True
164,BIOKORF_DRUG_164,164,True
165,BIOKORF_DRUG_165,165,True
166,BIOKORF_DRUG_166,166,True
167,BIOKORF_DRUG_167,167,True
168,BIOKORF_DRUG_168,168,True
169,BIOKORF_DRUG_169,169,True
170,BIOKORF_DRUG_170,170,True
171,BIOKORF_DRUG_171,171,True
172,BIOKORF_DRUG_172,172,True
173,BIOKORF_DRUG_173,173,True
174,BIOKORF_DRUG_174,174,True
175,BIOKORF_DRUG_175,175,True
176,BIOKORF_DRUG_176,176,True
177,BIOKORF_DRUG_177,177,True
178,BIOKORF_DRUG_178,178,True
179,BIOKORF_DRUG_179,179,True
180,BIOKORF_DRUG_180,180,True
181,BIOKORF_DRUG_181,181,True
182,BIOKORF_DRUG_182,182,True
183,BIOKORF_DRUG_183,183,True
184,BIOKORF_DRUG_184,184,True
185,BIOKORF_DRUG_185,185,True
186,BIOKORF_DRUG_186,186,True
187,BIOKORF_DRUG_187,187,True
188,BIOKORF_DRUG_188,188,True
189,BIOKORF_DRUG_189,189,True
190,BIOKORF_DRUG_190,190,True
191,BIOKORF_DRUG_191,191,True
192,BIOKORF_DRUG_192,192,True
193,BIOKORF_DRUG_193,193,True
194,BIOKORF_DRUG_194,194,True
195,BIOKORF_DRUG_195,195,True
196,BIOKORF_DRUG_196,196,True
197,BIOKORF_DRUG_197,197,True
198,BIOKORF_DRUG_198,198,True
199,BIOKORF_DRUG_199,199,True
200,BIOKORF_DRUG_200,200,True
201,BIOKORF_DRUG_201,201,True
202,BIOKORF_DRUG_202,202,True
203,BIOKORF_DRUG_203,203,True
204,BIOKORF_DRUG_204,204,False
205,BIOKORF_DRUG_205,205,True
206,BIOKORF_DRUG_206,206,True
207,BIOKORF_DRUG_207,207,True
208,BIOKORF_DRUG_208,208,True
209,BIOKORF_DRUG_209,209,True
210,BIOKORF_DRUG_210,210,True
211,BIOKORF_DRUG_211,211,True
212,BIOKORF_DRUG_212,212,True
213,BIOKORF_DRUG_213,213,True
214,BIOKORF_DRUG_214,214,True
215,BIOKORF_DRUG_215,215,True
216,BIOKORF_DRUG_216,216,True
217,BIOKORF_DRUG_217,217,True
218,BIOKORF_DRUG_218,218,True
219,BIOKORF_DRUG_219,219,True
220,BIOKORF_DRUG_220,220,True
221,BIOKORF_DRUG_221,221,True
222,BIOKORF_DRUG_222,222,True
223,BIOKORF_DRUG_223,223,True
224,BIOKORF_DRUG_224,224,True
225,BIOKORF_DRUG_225,225,True
226,BIOKORF_DRUG_226,226,True
227,BIOKORF_DRUG_227,227,True
228,BIOKORF_DRUG_228,228,True
229,BIOKORF_DRUG_229,229,True
230,BIOKORF_DRUG_230,230,True
231,BIOKORF_DRUG_231,231,True
232,BIOKORF_DRUG_232,232,True
233,BIOKORF_DRUG_233,233,True
234,BIOKORF_DRUG_234,234,True
235,BIOKORF_DRUG_235,235,True
236,BIOKORF_DRUG_236,236,True
237,BIOKORF_DRUG_237,237,True
238,BIOKORF_DRUG_238,238,True
