epoch,train_loss,val_loss,train_positive_score,train_negative_score,val_positive_score,val_negative_score,val_roc_auc,val_average_precision,sampled_positive_edges,learning_rate,peak_cuda_allocated_mib
1,0.8567273616790771,1.5171542167663574,-0.2832702696323395,-0.2175895720720291,0.6318238973617554,0.5557928085327148,0.5018560651005931,0.5279964859486369,15386,0.001,1162.18115234375
2,1.1940476894378662,1.1667189598083496,0.9411694407463074,0.7226278781890869,2.128690719604492,1.7941888570785522,0.5628271147014198,0.553557715418165,15386,0.001,1164.95703125
3,1.034491777420044,0.7577735185623169,1.6655536890029907,1.2877854108810425,0.9887539744377136,0.633736252784729,0.6024381874465436,0.5644306574951338,15386,0.001,1164.95703125
4,0.7623882293701172,0.8105122447013855,0.9053109884262085,0.4880176782608032,-0.8641780018806458,-1.1650733947753906,0.6143114724366125,0.5590964005090074,15386,0.001,1164.95703125
5,0.7484325170516968,0.8524121046066284,-0.22334040701389313,-0.6968192458152771,-0.8382182717323303,-1.1814759969711304,0.5921942768925593,0.5502919648602513,15386,0.001,1164.95703125
6,0.7830156087875366,0.7679873108863831,-0.498496949672699,-0.9688140749931335,-0.15299026668071747,-0.5625326037406921,0.5967477821421012,0.5548743672909903,15386,0.001,1164.95703125
7,0.7313117384910583,0.6684767007827759,-0.18477633595466614,-0.7089661359786987,0.3320392370223999,-0.11769158393144608,0.6209239152791337,0.5687190984789137,15386,0.001,1164.95703125
8,0.6580095291137695,0.6525877118110657,0.1734391152858734,-0.4407658874988556,0.33925145864486694,-0.11624864488840103,0.6386378785368148,0.5997775190460646,15386,0.001,1164.95703125
9,0.6340742707252502,0.6925908327102661,0.4675391614437103,-0.23503610491752625,0.21058356761932373,-0.24442246556282043,0.6304808638462743,0.598211369077647,15386,0.001,1164.95703125
10,0.650921642780304,0.669299304485321,0.5210431218147278,-0.1972864717245102,0.2952466905117035,-0.17349013686180115,0.639961926566722,0.6035417394741122,15386,0.001,1164.95703125
11,0.6392834186553955,0.6409450173377991,0.6690393686294556,-0.10202979296445847,0.4566638171672821,-0.03247656300663948,0.6584203412606766,0.6139591372634718,15386,0.001,1164.95703125
12,0.605292558670044,0.6398195624351501,0.6858943104743958,-0.14922547340393066,0.35960841178894043,-0.13684913516044617,0.6477028926164433,0.5958257194762066,15386,0.001,1164.95703125
13,0.6040739417076111,0.6391612887382507,0.5628451704978943,-0.2787512540817261,0.05144760012626648,-0.4409555196762085,0.6464617479547309,0.5952638206234224,15386,0.001,1164.95703125
14,0.5999600887298584,0.6474401950836182,0.2917265295982361,-0.5850105285644531,-0.18924640119075775,-0.6823980212211609,0.657593126225636,0.6069152098744457,15386,0.001,1164.95703125
15,0.6016339659690857,0.6376827955245972,0.15369027853012085,-0.7649694085121155,-0.0915273129940033,-0.6065884232521057,0.6684833949255423,0.6177617339852305,15386,0.001,1164.95703125
16,0.5924108028411865,0.6265649199485779,0.20837604999542236,-0.7273604869842529,0.2746374011039734,-0.27760806679725647,0.670245129913434,0.6193278539538606,15386,0.001,1164.95703125
17,0.5717705488204956,0.6382020115852356,0.5234200358390808,-0.4906822741031647,0.562084436416626,-0.022546323016285896,0.6725482437830909,0.6208657009869175,15386,0.001,1164.95703125
18,0.5789923667907715,0.6384402513504028,0.67131507396698,-0.3708420693874359,0.5706543326377869,-0.029721565544605255,0.664164119485169,0.6172189363027375,15386,0.001,1164.95703125
19,0.5779136419296265,0.6299546360969543,0.7739310264587402,-0.31080278754234314,0.3039650619029999,-0.29482102394104004,0.6575974022565982,0.6156072655098019,15386,0.001,1164.95703125
20,0.5694518089294434,0.6362438797950745,0.6576297879219055,-0.4728095233440399,0.03826935216784477,-0.5569790005683899,0.6546472494816892,0.6150568411693105,15386,0.001,1164.95703125
21,0.564605176448822,0.6314353942871094,0.5135628581047058,-0.6587328910827637,0.0003271013265475631,-0.6034823656082153,0.6647210498625519,0.6200509922415669,15386,0.001,1164.95703125
22,0.558429479598999,0.6233512759208679,0.4179139733314514,-0.7662113904953003,0.15574029088020325,-0.46838393807411194,0.6706055218200249,0.6189743030848129,15386,0.001,1164.95703125
23,0.5513084530830383,0.6294443607330322,0.4599868953227997,-0.7965655326843262,0.3654247522354126,-0.2841101884841919,0.6585792316942087,0.6050160655136837,15386,0.001,1164.95703125
24,0.5491206049919128,0.6324092745780945,0.6010006666183472,-0.6869979500770569,0.45248812437057495,-0.2170408070087433,0.6594345212001791,0.6056071016287313,15386,0.001,1164.95703125
25,0.5496813058853149,0.6232922077178955,0.7017533183097839,-0.6545858979225159,0.35932913422584534,-0.319823294878006,0.6714130299138742,0.6211925161856507,15386,0.001,1164.95703125
