model,scope,epoch,group,sample_count,gate_mean,gate_std,gate_min,gate_max
drug_kg,validation_epoch,1,all_validation_samples,3364,0.5086691379547119,0.1113557517528534,0.0023520688991993666,0.9977161884307861
drug_kg,validation_epoch,2,all_validation_samples,3364,0.4894595742225647,0.11791782081127167,0.0012471397640183568,0.9976832866668701
drug_kg,validation_epoch,3,all_validation_samples,3364,0.4776732623577118,0.12002258747816086,0.0008069505565799773,0.9951434135437012
drug_kg,validation_epoch,4,all_validation_samples,3364,0.47409045696258545,0.11996173858642578,0.0005608884966932237,0.9958176016807556
drug_kg,validation_epoch,5,all_validation_samples,3364,0.4625590443611145,0.12125929445028305,0.0004621355328708887,0.995779275894165
drug_kg,validation_epoch,6,all_validation_samples,3364,0.46686670184135437,0.13982170820236206,0.00031199087970890105,0.9971131086349487
drug_kg,validation_epoch,7,all_validation_samples,3364,0.4459894299507141,0.13032756745815277,0.00031179163488559425,0.99610435962677
drug_kg,validation_epoch,8,all_validation_samples,3364,0.44353896379470825,0.14108870923519135,0.00031730483169667423,0.9957330822944641
drug_kg,validation_epoch,9,all_validation_samples,3364,0.4351122975349426,0.14319375157356262,0.00022193782206159085,0.9924168586730957
drug_kg,validation_epoch,10,all_validation_samples,3364,0.4276615083217621,0.14475245773792267,0.00032142733107320964,0.9966238737106323
drug_kg,validation_epoch,11,all_validation_samples,3364,0.41997697949409485,0.14814789593219757,0.00030362806865014136,0.995667576789856
drug_kg,validation_epoch,12,all_validation_samples,3364,0.40768906474113464,0.1515664905309677,0.0003042287426069379,0.9981163740158081
drug_kg,validation_epoch,13,all_validation_samples,3364,0.4031161367893219,0.14927224814891815,0.00023492766194976866,0.9983201622962952
drug_kg,validation_epoch,14,all_validation_samples,3364,0.3982754051685333,0.1531120240688324,0.0004415342409629375,0.9977401494979858
drug_kg,validation_epoch,15,all_validation_samples,3364,0.3877626657485962,0.1557057797908783,9.311698522651568e-05,0.9987647533416748
drug_kg,validation_epoch,16,all_validation_samples,3364,0.37780264019966125,0.14590300619602203,0.00039064313750714064,0.9984040856361389
drug_kg,validation_epoch,17,all_validation_samples,3364,0.3711570203304291,0.16626645624637604,0.00012358592357486486,0.9996869564056396
drug_kg,validation_epoch,18,all_validation_samples,3364,0.36306002736091614,0.1683015674352646,9.811382187763229e-05,0.9996448755264282
drug_kg,validation_epoch,19,all_validation_samples,3364,0.3548184633255005,0.1593145728111267,8.99807782843709e-05,0.9995191097259521
drug_kg,validation_epoch,20,all_validation_samples,3364,0.35136646032333374,0.16079626977443695,1.685353163338732e-05,0.9997499585151672
drug_kg,validation_epoch,21,all_validation_samples,3364,0.33671292662620544,0.1649312525987625,3.272263711551204e-05,0.9995421171188354
drug_kg,validation_epoch,22,all_validation_samples,3364,0.33009037375450134,0.16921649873256683,6.842678885732312e-06,0.9996975660324097
drug_kg,validation_epoch,23,all_validation_samples,3364,0.3227880001068115,0.18079718947410583,8.202875505958218e-06,0.9997492432594299
drug_kg,validation_epoch,24,all_validation_samples,3364,0.3166070282459259,0.17458464205265045,4.895948677585693e-06,0.9998247027397156
drug_kg,validation_epoch,25,all_validation_samples,3364,0.31163251399993896,0.1767330914735794,9.004029379866552e-06,0.999764621257782
drug_kg,validation_epoch,26,all_validation_samples,3364,0.30664533376693726,0.1838882565498352,2.284675019836868e-06,0.9997730851173401
drug_kg,validation_epoch,27,all_validation_samples,3364,0.29504016041755676,0.18149712681770325,2.1476992060343036e-06,0.9997825026512146
drug_kg,validation_epoch,28,all_validation_samples,3364,0.28855380415916443,0.19090791046619415,2.395318688286352e-06,0.9995490908622742
drug_kg,validation_epoch,29,all_validation_samples,3364,0.2819625437259674,0.18121738731861115,1.2887921911897138e-06,0.999887228012085
drug_kg,selected_test_frequency_class,22,class_1,119,0.3282124996185303,0.022230716422200203,0.28823256492614746,0.42391452193260193
drug_kg,selected_test_frequency_class,22,class_2,420,0.32210537791252136,0.01901717483997345,0.27114084362983704,0.4362666606903076
drug_kg,selected_test_frequency_class,22,class_3,1001,0.3262392580509186,0.020763933658599854,0.2702862024307251,0.44687098264694214
drug_kg,selected_test_frequency_class,22,class_4,1777,0.3324826657772064,0.021554764360189438,0.2696360945701599,0.44262418150901794
drug_kg,selected_test_frequency_class,22,class_5,422,0.3384852707386017,0.019812528043985367,0.28592628240585327,0.4469233751296997
drug_kg,selected_test_availability,22,drug_available,3639,0.32775282859802246,0.015495510771870613,0.2696360945701599,0.36918890476226807
drug_kg,selected_test_availability,22,drug_unavailable,100,0.41876983642578125,0.0188248660415411,0.35152411460876465,0.4469233751296997
drug_side_kg,validation_epoch,1,all_validation_samples,3364,0.49873194098472595,0.11323648691177368,0.0030986906494945288,0.9983813762664795
drug_side_kg,validation_epoch,2,all_validation_samples,3364,0.4740132987499237,0.11904091387987137,0.0021230396814644337,0.9982566237449646
drug_side_kg,validation_epoch,3,all_validation_samples,3364,0.4619823396205902,0.12327338755130768,0.0008868300938047469,0.996658205986023
drug_side_kg,validation_epoch,4,all_validation_samples,3364,0.45824766159057617,0.12154779583215714,0.0005567781045101583,0.9948753714561462
drug_side_kg,validation_epoch,5,all_validation_samples,3364,0.44464433193206787,0.1238786056637764,0.000996216549538076,0.9957306981086731
drug_side_kg,validation_epoch,6,all_validation_samples,3364,0.4514995813369751,0.1450916826725006,0.00044701574370265007,0.9951819777488708
drug_side_kg,validation_epoch,7,all_validation_samples,3364,0.4271682798862457,0.13126066327095032,0.00040397015982307494,0.9936028122901917
drug_side_kg,validation_epoch,8,all_validation_samples,3364,0.4257747530937195,0.13909152150154114,0.0003029956133104861,0.9959982633590698
drug_side_kg,validation_epoch,9,all_validation_samples,3364,0.4136713743209839,0.1458461731672287,0.0003268627333454788,0.9961362481117249
drug_side_kg,validation_epoch,10,all_validation_samples,3364,0.4111368656158447,0.14385005831718445,0.0002986897015944123,0.9980650544166565
drug_side_kg,validation_epoch,11,all_validation_samples,3364,0.3998624384403229,0.14748051762580872,0.000249772536335513,0.9965544939041138
drug_side_kg,validation_epoch,12,all_validation_samples,3364,0.3914828896522522,0.15300515294075012,0.00012596666056197137,0.9987437129020691
drug_side_kg,validation_epoch,13,all_validation_samples,3364,0.3864856958389282,0.14951947331428528,0.00012775989307556301,0.9987084865570068
drug_side_kg,validation_epoch,14,all_validation_samples,3364,0.3816555142402649,0.15807682275772095,5.99778832111042e-05,0.9984675049781799
drug_side_kg,validation_epoch,15,all_validation_samples,3364,0.37023213505744934,0.16043365001678467,2.6612842702888884e-05,0.9990377426147461
drug_side_kg,validation_epoch,16,all_validation_samples,3364,0.3610345423221588,0.1537521481513977,1.5932639144011773e-05,0.9992207288742065
drug_side_kg,validation_epoch,17,all_validation_samples,3364,0.35370931029319763,0.1685560643672943,1.913632331707049e-05,0.9996546506881714
drug_side_kg,validation_epoch,18,all_validation_samples,3364,0.35019055008888245,0.1795017272233963,8.447181244264357e-06,0.9995864033699036
drug_side_kg,validation_epoch,19,all_validation_samples,3364,0.3350743353366852,0.16891388595104218,5.7499933063809294e-06,0.9992977380752563
drug_side_kg,validation_epoch,20,all_validation_samples,3364,0.3367314636707306,0.1703348308801651,1.6070215451691183e-06,0.9996627569198608
drug_side_kg,validation_epoch,21,all_validation_samples,3364,0.32203972339630127,0.17362657189369202,2.920420001828461e-06,0.9996665716171265
drug_side_kg,validation_epoch,22,all_validation_samples,3364,0.3195253908634186,0.17921210825443268,1.690011686150683e-06,0.9995459914207458
drug_side_kg,validation_epoch,23,all_validation_samples,3364,0.3100701570510864,0.18651510775089264,6.55522399028996e-06,0.9996020197868347
drug_side_kg,validation_epoch,24,all_validation_samples,3364,0.29953068494796753,0.1804516464471817,1.545883719700214e-06,0.9998453855514526
