epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_aupr,gate_mean,gate_std,gate_min,gate_max
1,1.4895614501019478,1.1184328135355475,0.595422116527943,0.3372851995538665,0.5424414206315598,0.49873194098472595,0.11323648691177368,0.0030986906494945288,0.9983813762664795
2,1.1257387986351328,1.1109480290860823,0.5802615933412604,0.4218318030986817,0.5722966852808076,0.4740132987499237,0.11904091387987137,0.0021230396814644337,0.9982566237449646
3,1.0352651801138915,1.0884308571197474,0.5627229488703924,0.4692733800464014,0.5963520097273152,0.4619823396205902,0.12327338755130768,0.0008868300938047469,0.996658205986023
4,0.9760508947620585,0.9408635891858803,0.6495243757431629,0.5344743913334671,0.6398674633252474,0.45824766159057617,0.12154779583215714,0.0005567781045101583,0.9948753714561462
5,0.9353353673629852,0.8944239708529641,0.6730083234244947,0.5984031356357298,0.6648210079002375,0.44464433193206787,0.1238786056637764,0.000996216549538076,0.9957306981086731
6,0.906430321968841,1.1783143654731452,0.5876932223543401,0.502748333279205,0.6040146321534423,0.4514995813369751,0.1450916826725006,0.00044701574370265007,0.9951819777488708
7,0.8775186050427888,0.9146327759791498,0.6477407847800237,0.6017108501068548,0.6652137133291769,0.4271682798862457,0.13126066327095032,0.00040397015982307494,0.9936028122901917
8,0.8545971837230819,0.9417745446194934,0.6593341260404281,0.5654251953524424,0.6710588669691137,0.4257747530937195,0.13909152150154114,0.0003029956133104861,0.9959982633590698
9,0.8375766944529405,1.0888151547004437,0.571640903686088,0.5485529871941418,0.6488647645098763,0.4136713743209839,0.1458461731672287,0.0003268627333454788,0.9961362481117249
10,0.8189469572654128,0.876665474827026,0.6765755053507729,0.6039472032124801,0.6917234862691469,0.4111368656158447,0.14385005831718445,0.0002986897015944123,0.9980650544166565
11,0.7985640922636326,0.9052784017660388,0.667360285374554,0.5980626916232693,0.6845496904386514,0.3998624384403229,0.14748051762580872,0.000249772536335513,0.9965544939041138
12,0.7850932218710098,1.2277389695329701,0.5799643281807372,0.5266079186762748,0.6364904393840434,0.3914828896522522,0.15300515294075012,0.00012596666056197137,0.9987437129020691
13,0.7677692711439902,0.8646620299388056,0.6715219976218787,0.6372142173010877,0.6956317535289217,0.3864856958389282,0.14951947331428528,0.00012775989307556301,0.9987084865570068
14,0.7606436610851683,0.9047907389585244,0.6712247324613555,0.5971167803147122,0.6947734990340341,0.3816555142402649,0.15807682275772095,5.99778832111042e-05,0.9984675049781799
15,0.7427623723366037,0.8701620266355318,0.6834126040428062,0.6283301829379395,0.7000671788539945,0.37023213505744934,0.16043365001678467,2.6612842702888884e-05,0.9990377426147461
16,0.7339486812225753,0.8971810547832076,0.632282996432818,0.6151349139164959,0.6922361941952213,0.3610345423221588,0.1537521481513977,1.5932639144011773e-05,0.9992207288742065
17,0.7295614571194088,0.8754718621193867,0.678359096313912,0.6239885667727688,0.6980164872573461,0.35370931029319763,0.1685560643672943,1.913632331707049e-05,0.9996546506881714
18,0.7029776067671413,0.9957218249544377,0.6667657550535078,0.565260721283811,0.6945483167249817,0.35019055008888245,0.1795017272233963,8.447181244264357e-06,0.9995864033699036
19,0.7006304934512607,0.8449934241887931,0.6881688466111772,0.6477207798993305,0.7096627436683794,0.3350743353366852,0.16891388595104218,5.7499933063809294e-06,0.9992977380752563
20,0.693966711642893,0.8735193093523259,0.6685493460166468,0.6361064183268755,0.703210711291385,0.3367314636707306,0.1703348308801651,1.6070215451691183e-06,0.9996627569198608
21,0.678613966009825,0.8674667200492197,0.678359096313912,0.6291602899674703,0.7053320162521306,0.32203972339630127,0.17362657189369202,2.920420001828461e-06,0.9996665716171265
22,0.668470212481419,0.9063729097386745,0.6795481569560048,0.6258216058981787,0.6973211235284337,0.3195253908634186,0.17921210825443268,1.690011686150683e-06,0.9995459914207458
23,0.6588263211469483,1.0248858974039483,0.670332936979786,0.5659263306349304,0.7010385474539774,0.3100701570510864,0.18651510775089264,6.55522399028996e-06,0.9996020197868347
24,0.6533153521827246,0.8821973854523067,0.6846016646848989,0.6343162084166165,0.7067437981413246,0.29953068494796753,0.1804516464471817,1.545883719700214e-06,0.9998453855514526
25,0.6465420931746947,0.9285004730031834,0.651307966706302,0.6087909666077314,0.6970989980556166,0.29678189754486084,0.18177524209022522,1.8294165329280077e-06,0.9996351003646851
26,0.6362260591478364,0.8428372524581256,0.6950059453032105,0.6503851115345582,0.7164100022574438,0.29399800300598145,0.1847705841064453,1.041120185618638e-06,0.9996042847633362
27,0.6208551807441983,0.9564641169787303,0.6887633769322236,0.627369171655507,0.7036031924274135,0.28895214200019836,0.1877143532037735,9.745163964680614e-08,0.9998648166656494
28,0.6174478167083679,0.9162877290625918,0.6846016646848989,0.6356325862346827,0.7034169700824452,0.27974680066108704,0.18788523972034454,1.5713092693658837e-07,0.9998834133148193
29,0.6112758704636941,0.9266136565758414,0.6519024970273484,0.6142296981423604,0.689625633994374,0.2756372392177582,0.1798090934753418,6.943491257516143e-07,0.99977046251297
30,0.5983517785050912,0.9959253583028115,0.6795481569560048,0.622976315477149,0.6953607134356721,0.27950021624565125,0.1986120194196701,4.1855281551761436e-07,0.99986732006073
