model,availability_group,sample_count,accuracy,macro_f1,mean_gate
drug_kg,drug_available,3639,0.6933223413025557,0.6430687686615316,0.32775282859802246
drug_kg,drug_unavailable,100,0.76,0.6563117690390419,0.41876983642578125
drug_side_kg,both_available,2112,0.6964962121212122,0.6259804479905785,0.27370965480804443
drug_side_kg,drug_only,1527,0.6843483955468238,0.6233396744811007,0.3161625564098358
drug_side_kg,side_only,53,0.8301886792452831,0.8011170528817587,0.3488721549510956
drug_side_kg,neither_available,47,0.6808510638297872,0.4835555555555556,0.41832348704338074
