class,support,clean_f1,drug_kg_f1,drug_side_kg_f1,delta_drug_kg_vs_clean_f1,delta_full_kg_vs_clean_f1,clean_recall,drug_kg_recall,drug_side_kg_recall,delta_drug_kg_vs_clean_recall,delta_full_kg_vs_clean_recall
1,119,0.5933014354066986,0.6416666666666667,0.6206896551724138,0.04836523125996817,0.02738821976571526,0.5210084033613446,0.6470588235294118,0.6050420168067226,0.12605042016806722,0.08403361344537807
2,420,0.6164542294322132,0.6041412911084043,0.6092233009708737,-0.012312938323808864,-0.0072309284613394365,0.6333333333333333,0.5904761904761905,0.5976190476190476,-0.042857142857142816,-0.0357142857142857
3,1001,0.637887252412392,0.6474820143884892,0.6334164588528679,0.00959476197609721,-0.004470793559524067,0.6273726273726273,0.6743256743256744,0.6343656343656343,0.04695304695304703,0.006993006993006978
4,1777,0.7703868633453939,0.7765098803228498,0.7811993517017828,0.006123016977455986,0.010812488356388927,0.7788407428249859,0.7850309510410804,0.8137310073157006,0.006190208216094506,0.03489026449071464
5,422,0.5710900473933649,0.5520974289580515,0.5258741258741259,-0.018992618435313413,-0.04521592151923903,0.5710900473933649,0.4834123222748815,0.44549763033175355,-0.08767772511848337,-0.12559241706161134
