class,precision,recall,f1,support
1,0.6842105263157895,0.5462184873949579,0.6074766355140186,119
2,0.5422794117647058,0.7023809523809523,0.6120331950207468,420
3,0.6437158469945355,0.5884115884115884,0.6148225469728601,1001
4,0.750271444082519,0.7777152504220597,0.763746891406466,1777
5,0.5889212827988338,0.4786729857819905,0.5281045751633987,422
