epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_aupr
1,1.42570750633991,1.0721877497243257,0.6010701545778835,0.3730174339952111,0.564533306064763
2,1.0853401113101253,0.9995658468548098,0.6269322235434007,0.46889427270341094,0.604192752924185
3,0.9938023083749433,0.9248286494176822,0.6551724137931034,0.5562448475593728,0.6400119363879677
4,0.9459516146730643,0.9149225119603233,0.6539833531510107,0.5627231634037348,0.6510477190476613
5,0.9102038792678315,0.8658959325513715,0.6706302021403091,0.5890395491802415,0.6695214724522496
6,0.8796345906534121,0.8645121428969357,0.6685493460166468,0.6130319859666814,0.6772018297443584
7,0.861160674375109,0.8854548660384914,0.6682520808561236,0.5823249051718461,0.6801644170115744
8,0.8429380933354481,0.8955076492073704,0.6646848989298454,0.578030118076899,0.6792395794202304
9,0.8236523085675928,0.8420257442204478,0.6795481569560048,0.6431225833135465,0.6909369383899663
10,0.8011139998929123,0.9120138281165632,0.6661712247324614,0.5898704370826079,0.6829037294035076
11,0.7934568010820704,0.9094488487515807,0.6596313912009513,0.5642385080504788,0.686193694084997
12,0.7701396989060305,0.8283499115003842,0.6765755053507729,0.6290578158456535,0.7060328197786999
13,0.7634024416387923,0.8253291666720342,0.678359096313912,0.629407141723909,0.7047717726801667
14,0.7560241741353747,0.8307693088238928,0.6938168846611177,0.6331687264421821,0.7049254109667948
15,0.7417744023924916,0.841931533303187,0.6964922711058263,0.6406384756465064,0.7021191874761645
16,0.7264862378527538,0.8143955161540318,0.6947086801426873,0.6421763591445078,0.7111592412074556
