flat_chemical_id	stereo_chemical_id	source_cid	inchikey
CIDm10000054	CIDs10000054	10000054	CPWLDZXVPJHWPL-UHFFFAOYSA-N
CIDm10000055	CIDs10000055	10000055	LWUCZDGUWDXSIN-UHFFFAOYSA-N
CIDm10000056	CIDs10000056	10000056	CWAYNQZXJTYUOM-UHFFFAOYSA-N
CIDm10000057	CIDs10000057	10000057	XZMAWJVGCFDIAY-UHFFFAOYSA-N
CIDm10000058	CIDs10000058	10000058	RFLVNTONZWVGLB-UHFFFAOYSA-N
CIDm10000059	CIDs10000059	10000059	RLBCAQXSTQCJGW-HMUNZLOLSA-N
CIDm01000006	CIDs01000006	1000006	DKCWOCNIEVNGGM-UHFFFAOYSA-N
CIDm10000060	CIDs10000060	10000060	VQSBEMAHMRCTMM-UHFFFAOYSA-N
CIDm10000061	CIDs10000061	10000061	XVIOBPRPQSYKRW-UHFFFAOYSA-N
CIDm10000062	CIDs10000062	10000062	ZIBNQHBLPHIHQX-UHFFFAOYSA-N
CIDm10000063	CIDs10000063	10000063	NPSGBFYQEJJWCY-UHFFFAOYSA-N
CIDm10000064	CIDs10000064	10000064	UAPZRTARLLMWAH-UHFFFAOYSA-N
CIDm10000065	CIDs10000065	10000065	YAPYUAKJBZOWQF-HEFCMCLBSA-N
CIDm10000066	CIDs10000066	10000066	VMPZFDNJVCIKMO-UHFFFAOYSA-N
CIDm05239774	CIDs10000067	10000067	LYERYMMRBCPBEP-SQGKHMEUSA-N
CIDm10000068	CIDs10000068	10000068	XCSBVAFHHSXKEJ-UHFFFAOYSA-N
CIDm10000069	CIDs10000069	10000069	OSDCATLUFIZPEL-UHFFFAOYSA-N
CIDm01000007	CIDs01000007	1000007	NIHIRGGDXBKXPR-UHFFFAOYSA-N
CIDm10000070	CIDs10000070	10000070	WSRLAPVUMAMNJY-PEZBUJJGSA-N
CIDm10000071	CIDs10000071	10000071	MXUCMRQWDKGOPK-UHFFFAOYSA-N
CIDm10000072	CIDs10000072	10000072	DIXNHBKKRNNUKE-UHFFFAOYSA-N
CIDm10000073	CIDs10000073	10000073	STOPQTVJBMQKMR-UHFFFAOYSA-N
CIDm10000074	CIDs10000074	10000074	XPKOKKJFZNZWBH-VBVJRUAFSA-N
CIDm10000075	CIDs10000075	10000075	DEUPAXOFLBHHAS-UHFFFAOYSA-N
CIDm10000076	CIDs10000076	10000076	TXRPUAXOPNKGKP-UHFFFAOYSA-N
CIDm10000077	CIDs10000077	10000077	RJQKVPXOWSSQRO-UHFFFAOYSA-N
CIDm10000078	CIDs10000078	10000078	CMRBLECLWFIRIR-UHFFFAOYSA-N
CIDm10000079	CIDs10000079	10000079	ASFTVRCQMRFYDO-UHFFFAOYSA-N
CIDm01000008	CIDs01000008	1000008	LABRYDVKODDUFB-UHFFFAOYSA-N
CIDm10000080	CIDs10000080	10000080	OEEGCUIAQOLZQC-UHFFFAOYSA-N
CIDm10000081	CIDs10000081	10000081	BYGOZHULNBVVIG-UHFFFAOYSA-N
CIDm10000082	CIDs10000082	10000082	FIYMHQOOOFOZQV-UHFFFAOYSA-N
CIDm10000083	CIDs10000083	10000083	QASZSTZPUQNLGC-UHFFFAOYSA-N
CIDm10000084	CIDs10000084	10000084	BELIWCUHPNQXCL-UHFFFAOYSA-N
CIDm10000085	CIDs10000085	10000085	ZNUPKHPURSXZSR-GJZGRUSLSA-N
CIDm10000086	CIDs10000086	10000086	SJXPAARCKJSJCZ-UHFFFAOYSA-N
CIDm10000087	CIDs10000087	10000087	VLKFZXKNJYQLDC-UHFFFAOYSA-N
CIDm10000088	CIDs10000088	10000088	GAVBDPNBZMXCCO-OAHLLOKOSA-N
CIDm10000089	CIDs10000089	10000089	HSIXAUXDWXKTMN-RNPPMORTSA-N
CIDm01000009	CIDs01000009	1000009	DOWGGTJSETZSPF-UHFFFAOYSA-N
