matrix_index,side_effect_name,sider_found,sider_pt_row_count,umls_cui_count,umls_cuis,matched_meddra_names,mapping_status
66,application site pruritus,True,72,1,"[""C0853714""]","[""Application site pruritus""]",unique_umls
67,application site rash,True,37,1,"[""C0521495""]","[""Application site rash""]",unique_umls
68,application site reaction,True,107,1,"[""C0151505""]","[""Application site reaction""]",unique_umls
69,application site vesicles,True,14,1,"[""C0877097""]","[""Application site vesicles""]",unique_umls
70,apraxia,True,7,1,"[""C0003635""]","[""Apraxia""]",unique_umls
71,arrhythmia,True,227,1,"[""C0003811""]","[""Arrhythmia""]",unique_umls
72,arrhythmia supraventricular,True,20,1,"[""C0428974""]","[""Arrhythmia supraventricular""]",unique_umls
73,arteriosclerosis,True,6,1,"[""C0003850""]","[""Arteriosclerosis""]",unique_umls
74,arthralgia,True,1130,1,"[""C0003862""]","[""Arthralgia""]",unique_umls
75,arthritis,True,197,1,"[""C0003864""]","[""Arthritis""]",unique_umls
76,other symptoms referable to lower leg joint,False,0,0,[],[],unmatched
77,ascites,True,42,1,"[""C0003962""]","[""Ascites""]",unique_umls
78,asocial behaviour,True,6,1,"[""C0233528""]","[""Asocial behaviour""]",unique_umls
79,aspartate aminotransferase increased,True,348,1,"[""C0151904""]","[""Aspartate aminotransferase increased""]",unique_umls
80,asthenia,True,3491,1,"[""C0004093""]","[""Asthenia""]",unique_umls
81,eye strain,False,0,0,[],[],unmatched
82,asthma,True,260,1,"[""C0004096""]","[""Asthma""]",unique_umls
83,ataxia,True,269,1,"[""C0004134""]","[""Ataxia""]",unique_umls
84,atelectasis,True,33,1,"[""C0004144""]","[""Atelectasis""]",unique_umls
85,atrial fibrillation,True,205,1,"[""C0004238""]","[""Atrial fibrillation""]",unique_umls
86,atrial flutter,True,35,1,"[""C0004239""]","[""Atrial flutter""]",unique_umls
87,atrioventricular block,True,120,1,"[""C0004245""]","[""Atrioventricular block""]",unique_umls
88,atrioventricular block complete,True,20,1,"[""C0151517""]","[""Atrioventricular block complete""]",unique_umls
89,atrioventricular block first degree,True,41,1,"[""C0085614""]","[""Atrioventricular block first degree""]",unique_umls
90,autonomic nervous system imbalance,True,9,1,"[""C0262385""]","[""Autonomic nervous system imbalance""]",unique_umls
91,syndrome uremic,False,0,0,[],[],unmatched
92,back pain,True,1220,1,"[""C0004604""]","[""Back pain""]",unique_umls
93,bloodstream infections,False,0,0,[],[],unmatched
