class,precision,recall,f1,support
1,0.6605504587155964,0.6050420168067226,0.6315789473684209,119
2,0.6328767123287671,0.55,0.5885350318471338,420
3,0.5633284241531664,0.7642357642357642,0.6485799067401441,1001
4,0.7909496494582536,0.6983680360157569,0.7417812313209803,1777
5,0.6183431952662722,0.495260663507109,0.55,422
