epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_aupr,gate_mean,gate_std,gate_min,gate_max
1,1.5242089065562592,1.1223656975273286,0.6043400713436385,0.3572893331975708,0.5493524010202094,0.5135920643806458,0.10755797475576401,0.004437336232513189,0.9996886253356934
2,1.159046733730489,1.019785626748229,0.6257431629013079,0.45787337521851745,0.598059134365022,0.5004958510398865,0.11967191100120544,0.0007626222795806825,0.9999308586120605
3,1.0562256747201575,0.9714961610424391,0.6483353151010701,0.5858085082370861,0.6298325054605927,0.4849676787853241,0.11660966277122498,0.0008144170860759914,0.9998340606689453
4,0.9935863732331149,0.9348153489665101,0.6575505350772889,0.6003649867537566,0.6496916656816857,0.46982914209365845,0.12193068116903305,0.0008957645623013377,0.9998205304145813
5,0.9507583072865408,0.9396678239071695,0.651307966706302,0.6088783487901848,0.6627317939843401,0.4587115943431854,0.12236245721578598,0.001481108134612441,0.9995231628417969
6,0.9127922448358043,0.8950774363473536,0.6709274673008323,0.5993100984645406,0.6643119533909234,0.4596634805202484,0.13198962807655334,0.000549213495105505,0.9997361302375793
7,0.8835642215141515,0.9201614491012519,0.6602259215219977,0.6107901977379093,0.6771155087754923,0.44882819056510925,0.1332465559244156,0.0019117564661428332,0.9991996884346008
8,0.8612697688485527,0.9012288199593707,0.6453626634958383,0.5936636753779345,0.6759418326287593,0.4433836042881012,0.12721198797225952,0.0018429829506203532,0.9989628791809082
9,0.8425539778743548,1.0208675448874656,0.6230677764565993,0.5676346969995101,0.6511101330662313,0.4442031681537628,0.13831424713134766,0.0004454852023627609,0.9990540146827698
10,0.8262533380953454,0.9409155335352622,0.6435790725326992,0.5961960297900077,0.671912572016781,0.4252207279205322,0.1399821639060974,0.0005876068025827408,0.9996248483657837
11,0.8057378783454008,0.8853502712975501,0.6608204518430439,0.6189997147217494,0.6786515010361704,0.41763460636138916,0.14048294723033905,0.00046062827459536493,0.9995009899139404
12,0.7891866722914364,0.8575891341380643,0.6813317479191439,0.6136364490965379,0.6874483805937767,0.41265568137168884,0.14305521547794342,0.000493732572067529,0.9990471005439758
13,0.7717811911806155,0.8804509826846129,0.6860879904875149,0.6221506697631225,0.6868259965337237,0.40769413113594055,0.145584836602211,0.00024013083020690829,0.9972435235977173
14,0.7638278966330424,0.939340153006963,0.675089179548157,0.5919402568680834,0.6830950063932532,0.40553539991378784,0.15614758431911469,9.72520065261051e-05,0.9987756609916687
15,0.7457966298915927,1.0582431955938532,0.6284185493460166,0.5288156581693153,0.6688725479730467,0.39774560928344727,0.1589784175157547,5.544095620280132e-05,0.999147891998291
16,0.7394335173959068,0.8676573195440449,0.6753864447086801,0.6235036035148978,0.6926253416178683,0.3855191171169281,0.14992554485797882,1.24174393931753e-05,0.9986622333526611
17,0.7214238479184343,0.8610365827358577,0.6854934601664685,0.6222077188361437,0.7040667219809654,0.37929797172546387,0.1576213538646698,1.9591614545788616e-05,0.9989431500434875
18,0.7087652429204182,0.8885702471670724,0.6822235434007135,0.6431722326239417,0.6991546531304342,0.3743337392807007,0.16063790023326874,4.363882453617407e-06,0.9994388222694397
19,0.7056635737875748,0.8788890156819619,0.6792508917954816,0.6375508291456627,0.6970291606078404,0.3693974018096924,0.1546890288591385,1.209099809784675e-05,0.9989234805107117
20,0.6922720525132793,1.0779310163646476,0.5463733650416172,0.5543377152376653,0.675228388261037,0.360641211271286,0.15704724192619324,2.32305796998844e-06,0.9991231560707092
21,0.6762230684728576,0.9587632893949003,0.675089179548157,0.6154877511765893,0.6886706818581355,0.35805851221084595,0.1696736365556717,9.174046908810851e-07,0.9995404481887817
22,0.6660953605132506,0.9083393185657497,0.6789536266349584,0.6193714522754367,0.6986368628234587,0.3470756411552429,0.17773595452308655,1.4048839602764929e-06,0.9997506737709045
23,0.6588911097819039,1.088125756747941,0.6325802615933412,0.5891334336156294,0.6679613716091812,0.33893638849258423,0.1738586574792862,1.1413710126362275e-05,0.9996656179428101
24,0.6511145550828994,0.883487574552384,0.6846016646848989,0.618199731023607,0.6992971584346024,0.33044499158859253,0.17488352954387665,1.8923007019111537e-06,0.9997780919075012
25,0.639398747155884,0.882239751668379,0.66884661117717,0.6344856927453119,0.696207424738046,0.32368338108062744,0.17155003547668457,4.408917902765097e-06,0.999553382396698
