epoch,train_total_loss,train_frequency_loss,train_alignment_loss,val_frequency_loss,val_macro_f1,val_accuracy,val_aupr,mean_train_drug_kg_cosine,mean_val_drug_kg_cosine,alignment_drug_count,learning_rate,cuda_peak_allocated_mib,cuda_peak_reserved_mib
1,1.3978246619531018,1.3879052027420298,0.19763334493871113,1.0644797609762402,0.3578339756060072,0.598692033293698,0.5563665435121103,0.8823916194615541,0.9527251052018553,729,0.0001,1195.13427734375,5460.0
2,1.073622671352669,1.0710626079295809,0.05120466727314338,1.0158867260505413,0.4708692977525818,0.6070154577883472,0.5906502821326913,0.9612020231241716,0.9653080445699418,729,0.0001,1196.10498046875,5460.0
3,0.9890605219917967,0.9871187384228397,0.03883665560696041,0.9454056563190274,0.5444518538502934,0.6483353151010701,0.6259684445300269,0.9679118706365671,0.9699593367287145,729,0.0001,1196.10498046875,5460.0
4,0.9427099910866961,0.9410415545918797,0.03337245190487169,0.912455190092715,0.5948679627990338,0.6572532699167658,0.648323225462284,0.9706365357374132,0.9719984687555331,729,0.0001,1196.10498046875,5460.0
5,0.9083100838069792,0.9067999449829305,0.030199118623876513,0.8844819633062048,0.5430075817089792,0.6521997621878716,0.6615355865007708,0.9722246354335947,0.9732380923562156,729,0.0001,1196.10498046875,5460.0
6,0.8843951914147017,0.8829907436554127,0.02809231681708798,0.8617412985859529,0.5910187653304908,0.6649821640903686,0.6758284879517259,0.9733714802274979,0.9742095973164129,729,0.0001,1196.10498046875,5460.0
7,0.8607406668171135,0.859413638807417,0.026543741387819942,0.8982552964678843,0.570581886723074,0.6652794292508918,0.6770080977109761,0.9741477584479113,0.9750486559951648,729,0.0001,1196.10498046875,5460.0
8,0.8447612889958348,0.8434959824814883,0.025314659241635177,0.91334077932038,0.5914642990452073,0.6661712247324614,0.6716889557643999,0.9747835154886599,0.9757319174635525,729,0.0001,1196.10498046875,5460.0
9,0.8261014481640101,0.824894503343532,0.024139020818042842,0.8627531605016321,0.6245334579991035,0.6667657550535078,0.6817048765882416,0.975505136495101,0.9762252739633615,729,0.0001,1196.10498046875,5460.0
10,0.8084181640693272,0.8072475330184999,0.023414522649042667,0.896697735247799,0.6148699305565845,0.6691438763376932,0.6777635849119553,0.9759013705946945,0.9767084126464856,729,0.0001,1196.10498046875,5460.0
11,0.8005113181672974,0.7993733812127966,0.022758524624130902,0.8524485861929079,0.601532546858943,0.6792508917954816,0.6895685546391352,0.9763056310443067,0.9772562563609772,729,0.0001,1196.10498046875,5460.0
12,0.7803555051128799,0.779256120845705,0.021991074679508765,0.8339072314227237,0.6240801154554765,0.6777645659928656,0.6914161216490315,0.9768439538684892,0.9777292454966341,729,0.0001,1196.10498046875,5460.0
13,0.7739673247033138,0.7729014260279835,0.02132525345780283,0.8310129211575467,0.6288236077819871,0.6771700356718192,0.6966147001012447,0.9772591552453113,0.9780922155029858,729,0.0001,1196.10498046875,5460.0
14,0.7641114059015429,0.7630755705698653,0.020722683580552494,0.8299301611824353,0.6283741408450008,0.6905469678953626,0.7037561233209015,0.9778132294758194,0.9785643075220882,729,0.0001,1196.10498046875,5460.0
15,0.7506382287753146,0.7496319864136652,0.020131144721951197,0.8567455673898159,0.6200577935615071,0.6866825208085613,0.6968599502053532,0.9782939711061852,0.9791323209342103,729,0.0001,1196.10498046875,5460.0
16,0.7369957013829919,0.7360146162280349,0.019627825200287358,0.874893965108783,0.6356782288815204,0.6914387633769322,0.6978735630074527,0.9787679608957267,0.9795149426681166,729,0.0001,1196.10498046875,5460.0
17,0.7296048777844408,0.7286512358408122,0.01907354614454239,0.9168048707256703,0.5872902344220697,0.6843043995243757,0.6951851352915387,0.9790652121208986,0.9800087605802396,729,0.0001,1196.10498046875,5460.0
18,0.7190443680129267,0.7180995328189234,0.018903222978739198,0.9015715538959299,0.5952529576487314,0.6822235434007135,0.702988421649353,0.9791710848507403,0.9801655487892346,729,0.0001,1196.10498046875,5460.0
19,0.7088518422734169,0.7079280281048,0.018486326014638715,0.8690223170800951,0.6224311784200612,0.6489298454221165,0.7028752517884053,0.9795451911552125,0.9805657732220122,729,0.0001,1196.10498046875,5460.0
20,0.7031769606856433,0.7022628939351732,0.018286623565291336,0.8685302567113452,0.6463852432617765,0.6950059453032105,0.7045727287433753,0.9798232472319007,0.98047985465001,729,0.0001,1196.10498046875,5460.0
21,0.6933571979936876,0.6924459889989724,0.018235368900930967,0.8496192930427942,0.6483383142944652,0.687871581450654,0.7010604312414046,0.9798475121274407,0.980584837662907,729,0.0001,1196.10498046875,5460.0
22,0.6785646699297114,0.677663317627013,0.01803249978884018,0.832182776346785,0.6427515342634121,0.6759809750297265,0.7080294174751137,0.9799002961693805,0.9807585056026142,729,0.0001,1196.10498046875,5460.0
23,0.6673541608629541,0.6664567135186826,0.017959175191749565,1.0008207685740467,0.591110910011212,0.667063020214031,0.6955882569466519,0.9801967039356834,0.9809258047003335,729,0.0001,1196.10498046875,5460.0
24,0.6663561091840605,0.6654648619746142,0.017836191913699676,0.9499895992233693,0.6011707105134003,0.6875743162901308,0.70201623617476,0.9800489721474824,0.980893183249635,729,0.0001,1196.10498046875,5460.0
25,0.6550948394602946,0.6542109980275839,0.017680709839258346,0.8501459207035841,0.6446657020710276,0.6902497027348394,0.7065989082207071,0.9802855426555471,0.9811624797007528,729,0.0001,1196.10498046875,5460.0
26,0.6472685087775794,0.6463967445992271,0.017445987010241856,0.8333819408620864,0.6426354725826211,0.687871581450654,0.7104908891426203,0.980444636936868,0.9812255566493391,729,0.0001,1196.10498046875,5460.0
27,0.641337037889508,0.6404654319338936,0.017446265196446195,0.9611136204564189,0.6249970479222855,0.6834126040428062,0.7010420871350374,0.9803440933855473,0.9810832337068673,729,0.0001,1196.10498046875,5460.0
