class,precision,recall,f1,support
1,0.65,0.5462184873949579,0.593607305936073,119
2,0.5911016949152542,0.6642857142857143,0.6255605381165918,420
3,0.7046979865771812,0.5244755244755245,0.6013745704467354,1001
4,0.730883813306852,0.8283624085537422,0.7765761012925348,1777
5,0.5759803921568627,0.556872037914692,0.5662650602409639,422
