matrix_index,drug_name,top1_neighbor_index,top1_neighbor_name,top1_nonself_cosine,top5_mean_cosine,top10_mean_cosine,tenth_neighbor_cosine,top1_minus_tenth_similarity_margin,top1_minus_top10_mean_margin
0,lepirudin,1,bivalirudin,1.0,1.0,1.0,1.0,0.0,0.0
1,bivalirudin,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
2,leuprorelin,28,baclofen,0.9999999999999993,0.9999999999999993,0.9922895093522707,0.9838151387945194,0.016184861205479906,0.007710490647728663
3,goserelin,355,remifentanil,1.0000000000000002,1.0000000000000002,0.9946481977299367,0.9866204937711875,0.013379506228812676,0.005351802270063488
4,erythropoietin,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
5,insulin,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
6,desmopressin,95,bexarotene,1.0,0.9999999999999984,0.999999999999998,0.9999999999999974,2.55351295663786e-15,1.9984014443252818e-15
7,insulin.lispro,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
8,insulin.glargine,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
9,rasburicase,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
11,eptifibatide,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
12,muromonab-CD3,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
14,ciclosporin,205,toremifene,0.9999999999999966,0.9964110127616284,0.9937192717103098,0.9910275306589914,0.008972469341005151,0.006280728289686732
15,urofollitropin,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
16,octreotide,347,emtricitabine,1.0,0.9999999999999986,0.999999999999997,0.9999999999999947,5.329070518200751e-15,2.9976021664879227e-15
17,interferon.alfa-2b,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
18,abarelix,274,phentolamine,0.9999999999999997,0.9999999999999997,0.9931105979471235,0.9835250293369866,0.016474970663013067,0.006889402052876137
19,oxytocin,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
20,enfuvirtide,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
21,glutamine,478,ofloxacin,0.9999999999999943,0.9999999999999936,0.9999999999999932,0.999999999999993,1.3322676295501878e-15,1.1102230246251565e-15
22,calcitriol,436,fluocinonide,1.0000000000000002,0.9999999999999973,0.9936156678200518,0.9831732451161046,0.016826754883895623,0.006384332179948382
23,pravastatin,393,dipyridamole,0.9999999999999961,0.9985216995446125,0.9943417416486001,0.9901617828586365,0.009838217141359573,0.005658258351395995
24,fluvoxamine,112,omeprazole,0.9999999999999976,0.9999999999999976,0.9999999999999971,0.9999999999999973,2.220446049250313e-16,4.440892098500626e-16
25,valsartan,127,timolol,0.9999999999999968,0.9999999999999968,0.9999999999999968,0.9999999999999963,4.440892098500626e-16,0.0
26,ramipril,47,citalopram,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.0,1.1102230246251565e-16
27,flunisolide,86,etonogestrel,1.0000000000000002,0.9957701135661369,0.9868508752326479,0.9765532417861429,0.023446758213857333,0.013149124767352305
28,baclofen,2,leuprorelin,0.9999999999999993,0.9999999999999993,0.9922895093522707,0.9838151387945194,0.016184861205479906,0.007710490647728663
29,nicotine,48,eletriptan,0.9999999999999946,0.9999999999999941,0.9999999999999936,0.9999999999999923,2.220446049250313e-15,9.992007221626409e-16
30,cevimeline,0,lepirudin,0.9999999999999963,0.9999999999999962,0.9999999999999962,0.9999999999999963,0.0,1.1102230246251565e-16
31,lorazepam,140,eszopiclone,0.9999999999999998,0.9999999999999998,0.9984586917512516,0.9845869175125336,0.015413082487466201,0.0015413082487482077
32,esmolol,260,nilutamide,0.9999999999999999,0.9999999999999998,0.9999999999999989,0.9999999999999973,2.55351295663786e-15,9.992007221626409e-16
33,bortezomib,286,lamivudine,0.9979523024873448,0.9963042316536077,0.9956094789722982,0.9949147262909888,0.003037576196356029,0.002342823515046555
34,tramadol,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
35,betaxolol,42,trospium,1.0000000000000002,0.9999999999999994,0.997955679376691,0.9897525153370692,0.010247484662931017,0.0020443206233091704
36,fluconazole,84,chlorambucil,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,0.0
37,oseltamivir,500,sparfloxacin,0.9999999999999998,0.9999999999999993,0.9999999999999994,0.9999999999999993,4.440892098500626e-16,3.3306690738754696e-16
38,caffeine,123,clozapine,0.9999999999999953,0.9999999999999936,0.9999999999999932,0.9999999999999925,2.886579864025407e-15,2.1094237467877974e-15
39,sildenafil,112,omeprazole,0.9999999999999968,0.9999999999999964,0.9999999999999959,0.9999999999999951,1.6653345369377348e-15,8.881784197001252e-16
40,dofetilide,51,glimepiride,1.0000000000000004,0.9999999999999993,0.999999999999997,0.999999999999993,7.438494264988549e-15,3.4416913763379853e-15
41,azithromycin,159,epirubicin,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999993,5.551115123125783e-16,1.1102230246251565e-16
42,trospium,35,betaxolol,1.0000000000000002,0.9999999999999994,0.997955679376691,0.9897525153370692,0.010247484662931017,0.0020443206233091704
43,adapalene,3,goserelin,0.999999999999996,0.9999999999999961,0.9946481976362282,0.986620493536922,0.013379506463073954,0.005351802363767755
44,midodrine,422,guanfacine,0.9999999999999984,0.9972521977897948,0.9905336680383787,0.9838151382869627,0.016184861713035792,0.009466331961619723
45,pantoprazole,26,ramipril,0.9999999999999992,0.9999999999999993,0.9999999999999993,0.9999999999999992,0.0,-1.1102230246251565e-16
