cohort,pair_count,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,fraction_ge_0_90,fraction_ge_0_95,fraction_ge_0_99,fraction_ge_0_999,fraction_approximately_1_atol_1e_6
ALL_AVAILABLE_UNIQUE_PAIRS,266085,0.9469407519148052,0.03693800610969353,0.6363091455029756,0.8194890623253445,0.8741743153011301,0.9296314399929015,0.954500584269406,0.9721761640251835,0.9911285601997425,1.0,1.0000000000000007,0.9006332562902832,0.5607080444218953,0.0565683898002518,0.041005693669316196,0.041005693669316196
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,1911,0.9467935821936782,0.035877606278680044,0.7751102181955697,0.8245498273107634,0.8763682657840062,0.9307607213042879,0.9535672169570829,0.9722611016271492,0.9903809810100643,1.0,1.0000000000000002,0.8990057561486133,0.5499738356881214,0.05075876504447933,0.03767660910518053,0.03767660910518053
TOP20_DIRECTED_NEIGHBORS,14600,0.9948643589809333,0.007457127898242974,0.9662023024922219,0.9742182949870719,0.9788731439385249,0.9899169669605378,0.9999999999999957,1.0,1.0000000000000002,1.0000000000000004,1.0000000000000007,1.0,1.0,0.7487671232876713,0.6194520547945206,0.6194520547945206
STEP31B_KG_TASK_ADDED,1911,0.9954390939272683,0.007241431326394362,0.9662023045155226,0.9749106000278913,0.9802765331675247,0.9905599378013402,0.9999999999999962,0.9999999999999999,1.0000000000000002,1.0000000000000004,1.0000000000000007,1.0,1.0,0.7744636316064888,0.6645735217163788,0.6645735217163788
