pair_group,source_drug_index,source_drug_name,target_drug_index,target_drug_name,kg_embedding_cosine,source_gene_count,target_gene_count,shared_gene_count,gene_jaccard,source_pathway_count,target_pathway_count,shared_pathway_count,pathway_jaccard
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,145,pramipexole,262,sumatriptan,0.9754271140312558,8,9,1,0.0625,14,25,5,0.14705882352941177
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,173,raloxifene,267,losartan,0.9274029828456456,21,16,6,0.1935483870967742,55,36,25,0.3787878787878788
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,442,glipizide,534,sunitinib,0.9524265044041534,6,15,0,0.0,33,83,9,0.08411214953271028
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,70,ropinirole,545,cilazapril,0.9149883426376952,10,4,0,0.0,16,6,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,43,adapalene,500,sparfloxacin,0.9507984104087713,9,5,0,0.0,57,20,1,0.013157894736842105
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,437,abacavir,482,escitalopram,0.9933371364128706,4,21,0,0.0,17,39,1,0.01818181818181818
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,42,trospium,130,mexiletine,0.935428510802609,3,7,1,0.1111111111111111,9,21,6,0.25
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,250,pemetrexed,674,ticagrelor,0.9321469805672017,7,5,0,0.0,13,25,1,0.02702702702702703
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,305,tretinoin,425,amlexanox,0.958010218456761,31,4,0,0.0,67,47,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,334,donepezil,707,dabrafenib,0.9999999999999964,19,15,3,0.0967741935483871,73,54,22,0.20952380952380953
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,365,amantadine,713,sofosbuvir,0.9206238673924296,9,5,0,0.0,14,18,2,0.06666666666666667
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,219,carbamazepine,413,ganciclovir,0.905414989971621,26,6,0,0.0,31,9,2,0.05263157894736842
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,132,amlodipine,505,anastrozole,0.9244060969579766,14,10,4,0.2,29,22,13,0.34210526315789475
