epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_aupr,mean_residual_gate,std_residual_gate,min_residual_gate,max_residual_gate,mean_correction_ratio,std_correction_ratio,mean_drug_view_1_weight,mean_drug_view_2_weight,mean_drug_view_3_weight,mean_drug_view_4_weight,mean_drug_view_5_weight,mean_drug_view_6_weight,mean_drug_view_7_weight,mean_drug_view_8_weight,mean_drug_view_9_weight,mean_drug_view_10_weight,mean_drug_view_11_weight,mean_side_view_1_weight,mean_side_view_2_weight,mean_side_view_3_weight,mean_side_view_4_weight,cuda_peak_allocated_mib,cuda_peak_reserved_mib
11,0.789136004816382,0.836453983389665,0.6840071343638525,0.6242624133532059,0.6986023936624791,0.17396751046180725,0.13784033060073853,8.490619802614674e-05,0.9999264478683472,0.45807772874832153,0.4280906021595001,0.10376135259866714,0.0993340015411377,0.11560050398111343,0.10555979609489441,0.09239456802606583,0.07809726893901825,0.10009577125310898,0.07903966307640076,0.07059800624847412,0.07486542314291,0.08065386116504669,0.37244197726249695,0.19994598627090454,0.21573729813098907,0.21187496185302734,1227.1015625,5174.0
12,0.7661496509634634,0.9536401380681822,0.6563614744351962,0.6149722354506972,0.6855198795150562,0.17260226607322693,0.14071853458881378,6.350578041747212e-05,0.9999111890792847,0.47342750430107117,0.44427070021629333,0.10308746248483658,0.09902802854776382,0.11442435532808304,0.1034245565533638,0.0918237641453743,0.07949859648942947,0.09953532367944717,0.07836095988750458,0.07179596275091171,0.07710273563861847,0.08191850781440735,0.3800979554653168,0.1897505670785904,0.22409868240356445,0.2060515135526657,1227.1015625,5174.0
13,0.7559643563829346,0.8323682070345431,0.6661712247324614,0.6373868566013188,0.7045294115664278,0.17722965776920319,0.142888605594635,5.043953933636658e-05,0.9998979568481445,0.5034162402153015,0.4664287865161896,0.10246939212083817,0.09912292659282684,0.11335597187280655,0.10262128710746765,0.09206835180521011,0.07967559248209,0.1000562310218811,0.07919911295175552,0.07223561406135559,0.07786601781845093,0.08133035898208618,0.3853265047073364,0.19190825521945953,0.2174728363752365,0.2052932232618332,1227.1015625,5174.0
14,0.7520301888025573,0.8419355129940473,0.6834126040428062,0.6439181110890756,0.7023963020637876,0.17871366441249847,0.15235134959220886,2.318336373718921e-05,0.9999071359634399,0.5336831212043762,0.47493457794189453,0.10389671474695206,0.10062554478645325,0.1143631711602211,0.10299929976463318,0.09326718747615814,0.07835296541452408,0.10023230314254761,0.07693888992071152,0.07167404890060425,0.07577357441186905,0.08187656104564667,0.39016368985176086,0.18694812059402466,0.22296451032161713,0.1999218463897705,1227.1015625,5174.0
15,0.7329901518555302,0.8438131568264593,0.6825208085612366,0.6280395482957559,0.7010264582030837,0.1822686493396759,0.15182006359100342,4.521614027908072e-05,0.9999130964279175,0.5342137813568115,0.46958786249160767,0.10238009691238403,0.10021981596946716,0.1143445372581482,0.10288438946008682,0.09227001667022705,0.08017721772193909,0.10058668255805969,0.07875879853963852,0.07139801979064941,0.07616996765136719,0.08080993592739105,0.39226382970809937,0.1897565722465515,0.21738393604755402,0.20059457421302795,1227.1015625,5174.0
16,0.7225715784333118,0.8387990413182698,0.6961950059453033,0.6568623302306341,0.7121317394401643,0.1768089085817337,0.1494966596364975,1.0304292118235026e-05,0.9999650716781616,0.5427919030189514,0.4823574423789978,0.10353731364011765,0.10000914335250854,0.11436687409877777,0.10128145664930344,0.09028193354606628,0.08055069297552109,0.10030686855316162,0.07897137850522995,0.07199108600616455,0.0779079869389534,0.08079537749290466,0.39686059951782227,0.19405250251293182,0.21293514966964722,0.19615204632282257,1227.1015625,5174.0
17,0.7096527232438534,0.8678789790830488,0.6813317479191439,0.6161795515930404,0.7077979811474362,0.17029109597206116,0.14636696875095367,9.979753485822584e-06,0.9999570846557617,0.4573550820350647,0.4473995864391327,0.10361355543136597,0.09996570646762848,0.11353529989719391,0.10208621621131897,0.09200360625982285,0.0799865871667862,0.10025187581777573,0.07875809818506241,0.0709581971168518,0.07870140671730042,0.08013966679573059,0.4010031819343567,0.18863430619239807,0.21567757427692413,0.1946859508752823,1227.1015625,5174.0
18,0.7015734700132528,0.8854283322618918,0.6899524375743162,0.6248857843818814,0.710385765286291,0.1751851886510849,0.15417958796024323,6.478050636360422e-06,0.9999842643737793,0.5090475082397461,0.4910065829753876,0.10513247549533844,0.10131336003541946,0.11492829024791718,0.10195057094097137,0.09201474487781525,0.0786931961774826,0.10054517537355423,0.07699131220579147,0.07009388506412506,0.079018734395504,0.07931828498840332,0.4003036916255951,0.1870971918106079,0.21651563048362732,0.19608300924301147,1227.1015625,5174.0
19,0.6898707268717046,0.8484624506602247,0.6753864447086801,0.637551209383667,0.7121369455810141,0.1924513280391693,0.16888613998889923,3.502170329738874e-06,0.9999878406524658,0.6149929761886597,0.5506752729415894,0.10557464510202408,0.1006898581981659,0.11524704843759537,0.10086262971162796,0.09097594022750854,0.07957388460636139,0.10043194890022278,0.07772956043481827,0.07002069801092148,0.07917135208845139,0.07972222566604614,0.3985765278339386,0.1850430965423584,0.21641117334365845,0.19996818900108337,1227.1015625,5174.0
20,0.681463154205289,0.9518735675267459,0.6578478002378121,0.6219422222639631,0.6989631585189355,0.1688147932291031,0.1482522189617157,7.376847406703746e-06,0.9999713897705078,0.4575769305229187,0.4670494496822357,0.10614780336618423,0.1016610711812973,0.11678601056337357,0.10045211762189865,0.08993101119995117,0.07901515066623688,0.10023268312215805,0.07817607372999191,0.06923860311508179,0.07979949563741684,0.07855971902608871,0.40639805793762207,0.18312880396842957,0.2160915732383728,0.19438210129737854,1227.1015625,5174.0
21,0.6702943768530883,0.8597623318185704,0.6825208085612366,0.644747365994104,0.7077440216431098,0.1755608171224594,0.16330747306346893,3.82159714718e-06,0.9999918937683105,0.6226825714111328,0.5753265619277954,0.10681827366352081,0.1021508052945137,0.11718445271253586,0.09976708889007568,0.08954013139009476,0.07866661995649338,0.10083623975515366,0.07709716260433197,0.06955275684595108,0.07971931993961334,0.07866688072681427,0.414783239364624,0.18624316155910492,0.2047024965286255,0.19427287578582764,1227.1015625,5174.0
22,0.6574469392467499,0.8511443193403918,0.6857907253269917,0.6541953339103895,0.7143981084439563,0.17627809941768646,0.16019727289676666,1.5647295867893263e-06,0.9999942779541016,0.5316492319107056,0.4926208555698395,0.10731935501098633,0.10184595733880997,0.11768428981304169,0.10176607221364975,0.08962471783161163,0.07906807959079742,0.10090586543083191,0.07703309506177902,0.07008350640535355,0.07778464257717133,0.07688406854867935,0.408252090215683,0.18422213196754456,0.2120077908039093,0.19551680982112885,1227.1015625,5174.0
23,0.6517658009505181,0.9695775401152839,0.6685493460166468,0.6147347059927618,0.7066919292801288,0.1950158029794693,0.17966796457767487,8.947602054831805e-07,0.9999979734420776,0.639657199382782,0.5869537591934204,0.10636013746261597,0.10308962315320969,0.11827380210161209,0.10028456896543503,0.08893343061208725,0.07881693542003632,0.1002519503235817,0.07653507590293884,0.06944707036018372,0.07992754131555557,0.07808004319667816,0.4173547625541687,0.18553195893764496,0.20425046980381012,0.1928618997335434,1227.1015625,5174.0
