epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_aupr,mean_residual_gate,std_residual_gate,min_residual_gate,max_residual_gate,mean_correction_ratio,std_correction_ratio,mean_drug_view_1_weight,mean_drug_view_2_weight,mean_drug_view_3_weight,mean_drug_view_4_weight,mean_drug_view_5_weight,mean_drug_view_6_weight,mean_drug_view_7_weight,mean_drug_view_8_weight,mean_drug_view_9_weight,mean_drug_view_10_weight,mean_drug_view_11_weight,mean_side_view_1_weight,mean_side_view_2_weight,mean_side_view_3_weight,mean_side_view_4_weight,cuda_peak_allocated_mib,cuda_peak_reserved_mib
1,1.3835751622061074,1.0546164820225428,0.6004756242568371,0.3636731855246321,0.5624626618805785,0.22339509427547455,0.1540101319551468,0.024204254150390625,0.920969545841217,0.8518818020820618,0.5392236113548279,0.10654638707637787,0.10591958463191986,0.11244785040616989,0.1088804230093956,0.1030811294913292,0.06423253566026688,0.10637497156858444,0.06134983152151108,0.06964043527841568,0.06754056364297867,0.09398580342531204,0.2715696394443512,0.2246328741312027,0.24699144065380096,0.25680774450302124,1227.1015625,5174.0
2,1.0617770203320955,1.0518770714010268,0.5951248513674198,0.4536168680489087,0.5975731712657554,0.21867118775844574,0.17010362446308136,0.001396158360876143,0.9708297848701477,0.8633358478546143,0.5113691687583923,0.10906694829463959,0.10370776057243347,0.12013491988182068,0.11058349907398224,0.10159152001142502,0.06335639953613281,0.10364841669797897,0.06132422015070915,0.06888661533594131,0.06489082425832748,0.09280921518802643,0.2743241488933563,0.2274903506040573,0.24201586842536926,0.2561701834201813,1227.1015625,5174.0
3,0.9754903942224545,0.911858781481186,0.652794292508918,0.5567141900741108,0.6400341460164658,0.19299741089344025,0.1504705548286438,0.00043544830987229943,0.9985187649726868,0.7614974975585938,0.3963812589645386,0.10865624248981476,0.10293235629796982,0.12148689478635788,0.11031138151884079,0.1026170402765274,0.0650806799530983,0.10345260053873062,0.06305169314146042,0.06855598837137222,0.0639636442065239,0.08989176154136658,0.297741562128067,0.22019736468791962,0.23127464950084686,0.25078558921813965,1227.1015625,5174.0
4,0.9370816149779,1.0194463378325653,0.6361474435196195,0.5373862856667841,0.6319624284938998,0.20738519728183746,0.16662389039993286,0.0005805901018902659,0.996563732624054,0.7353328466415405,0.3900075852870941,0.10912910848855972,0.10340020060539246,0.12107155472040176,0.11038333922624588,0.10036654770374298,0.06794685870409012,0.10300824791193008,0.06551214307546616,0.06603015214204788,0.06465838104486465,0.08849383145570755,0.29931968450546265,0.2232348620891571,0.23161159455776215,0.24583563208580017,1227.1015625,5174.0
5,0.8992610638718863,0.857062770835568,0.6789536266349584,0.6112817463424556,0.6760380001076094,0.18717172741889954,0.14853684604167938,0.0011759154731407762,0.9984703660011292,0.6492870450019836,0.41411784291267395,0.10808976739645004,0.10164289176464081,0.12099092453718185,0.11025162786245346,0.09846998006105423,0.07154424488544464,0.10087782889604568,0.06994600594043732,0.06576354056596756,0.06836181879043579,0.08406197279691696,0.3218807280063629,0.22687281668186188,0.2223660945892334,0.22887898981571198,1227.1015625,5174.0
6,0.8743983253417408,0.8580572014047756,0.6762782401902497,0.6202433927500043,0.6840979932279161,0.17561009526252747,0.13513748347759247,0.0015004383167251945,0.9989379048347473,0.49814772605895996,0.3506539762020111,0.10662631690502167,0.09990862756967545,0.11906111985445023,0.10794134438037872,0.09375975281000137,0.07494500279426575,0.10086661577224731,0.0747656524181366,0.06777536869049072,0.07137154042720795,0.08297814428806305,0.3367370069026947,0.21364596486091614,0.2218979150056839,0.2277192771434784,1227.1015625,5174.0
7,0.8536531661700233,0.876455646349332,0.6739001189060642,0.6226633912710103,0.6810696881108496,0.19022734463214874,0.15468725562095642,0.0005534819210879505,0.9997466206550598,0.6065191030502319,0.41742876172065735,0.10556849092245102,0.0998648852109909,0.11720088124275208,0.10814550518989563,0.09559173136949539,0.07454676181077957,0.09994106739759445,0.07418273389339447,0.06945528835058212,0.07195828855037689,0.08354421705007553,0.3534722626209259,0.2099609225988388,0.21751730144023895,0.21904972195625305,1227.1015625,5174.0
8,0.8363706652892343,0.8565969345260602,0.6727110582639715,0.6116657129450666,0.6901535919158046,0.1733396202325821,0.1316368728876114,0.0004418024036567658,0.9995633959770203,0.453306645154953,0.3713434934616089,0.10305743664503098,0.09915247559547424,0.1165250837802887,0.1073312908411026,0.09530393779277802,0.07827475666999817,0.09866557270288467,0.07746028155088425,0.06982764601707458,0.0741996243596077,0.08020199090242386,0.3672049045562744,0.2069476991891861,0.20791840553283691,0.21792994439601898,1227.1015625,5174.0
9,0.8185559966072603,0.8457603671462868,0.6700356718192628,0.6340475497636462,0.6913642290867802,0.1856245994567871,0.1529635190963745,0.00018952522077597678,0.9998759031295776,0.6200340390205383,0.4959943890571594,0.10390829294919968,0.09940297901630402,0.11623746156692505,0.1050797700881958,0.09310935437679291,0.0786081925034523,0.09892912209033966,0.07772652804851532,0.07085520029067993,0.07488207519054413,0.08126220852136612,0.3619609475135803,0.20598740875720978,0.21443776786327362,0.21761268377304077,1227.1015625,5174.0
10,0.7980101685781583,0.8418883622472266,0.6887633769322236,0.6410017016161623,0.6954617489968585,0.18234804272651672,0.14836806058883667,0.0002025193243753165,0.9998956918716431,0.5164669156074524,0.442111998796463,0.10319299250841141,0.09972961246967316,0.11465567350387573,0.10579682141542435,0.09237372130155563,0.0780908614397049,0.10019967705011368,0.07825678586959839,0.07063642144203186,0.07561946660280228,0.08144879341125488,0.3711641728878021,0.19655197858810425,0.2189161777496338,0.21336811780929565,1227.1015625,5174.0
