view_index,mean_weight,std_weight
1,0.10354438424110413,0.007461483124643564
2,0.10007216781377792,0.008388816379010677
3,0.11408838629722595,0.008563906885683537
4,0.10095218569040298,0.009074828587472439
5,0.09029276669025421,0.0074695744551718235
6,0.08070855587720871,0.003522652667015791
7,0.10036804527044296,0.011929025873541832
8,0.0791235864162445,0.0036728684790432453
9,0.07210984826087952,0.0029184964951127768
10,0.07801482826471329,0.003017035312950611
11,0.08072525262832642,0.006109748035669327
