class,precision,recall,f1,support
1,0.6633663366336634,0.5630252100840336,0.6090909090909091,119
2,0.6132075471698113,0.6190476190476191,0.6161137440758294,420
3,0.6328502415458938,0.6543456543456544,0.6434184675834971,1001
4,0.7648339684267828,0.7906584130557118,0.7775318206972883,1777
5,0.6198830409356725,0.5023696682464455,0.5549738219895287,422
