epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_aupr
1,1.4171409295172408,1.0529743329523293,0.616230677764566,0.40215259006430315,0.577518029574346
2,1.071679349635901,0.9893858869350765,0.6319857312722948,0.48414168151975645,0.616436423701362
3,0.9821381174798466,0.9134078726048418,0.6578478002378121,0.5638732620987705,0.6487567774549532
4,0.9359078299981917,0.9011524963889196,0.6575505350772889,0.5762682884136471,0.6585160551250692
5,0.9010664886093694,0.86754806019038,0.6679548156956004,0.5911317022685217,0.6760300582088172
6,0.8715456476253746,0.8638990714915725,0.6768727705112961,0.6137951210147413,0.6815731283055972
7,0.8551198396275246,0.8906090609667275,0.6697384066587396,0.5953073980406388,0.6810557772544392
8,0.8339319690627004,0.900602286976101,0.6664684898929846,0.5889379057862524,0.6838008191422802
9,0.8156262548560905,0.8378241459056115,0.6848989298454221,0.6435823949048907,0.6980519376121139
10,0.7991943629725482,0.8440762109053405,0.6857907253269917,0.624392197823415,0.6986723186817608
11,0.7852324736730817,0.8532159200888326,0.6765755053507729,0.5996286250911999,0.6970053167734762
12,0.7659727685786257,0.8371152302314495,0.6804399524375743,0.6307060838835451,0.7103418875192041
13,0.7599569882510155,0.823914426118667,0.6804399524375743,0.6428206487640529,0.7081614079372255
14,0.7460113077855869,0.8424264211008297,0.6935196195005945,0.6411100298905893,0.708626557854098
15,0.7330136807870871,0.8411544493347513,0.6988703923900119,0.640485761069054,0.7065388571477378
16,0.7210555712560448,0.820095374099423,0.702140309155767,0.6575081537748073,0.7119118346827908
17,0.7047862115395681,0.8365993420377498,0.702140309155767,0.6502876380014413,0.7130628942883446
18,0.6950904701789293,0.8877485154216553,0.6902497027348394,0.6156429756178846,0.7053964152810039
19,0.6867634250802481,0.8523620069381315,0.6694411414982164,0.6232249561331329,0.7084298243681821
20,0.6751579938626419,0.8569362978589379,0.7024375743162902,0.6556162595725319,0.7146234910739752
21,0.6665440553041765,0.9051656218402876,0.6848989298454221,0.6407346842365141,0.7034199015687792
22,0.6554318997901208,0.8477678466211743,0.6846016646848989,0.6471491545209839,0.7097874528776391
23,0.6499678225974522,0.9082232017721206,0.6976813317479191,0.6303629234191328,0.7119751702276689
