epoch,train_loss,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_micro_f1,validation_aupr,gate_mean,gate_std,gate_min,gate_max
1,1.4895614501019478,1.1184328135355475,0.595422116527943,0.5546403639132468,0.34263836462362735,0.3372851995538665,0.595422116527943,0.5424414206315598,0.49873194098472595,0.11323648691177368,0.0030986906494945288,0.9983813762664795
2,1.1257387986351328,1.1109480290860823,0.5802615933412604,0.5928420626885899,0.4322034294534622,0.4218318030986817,0.5802615933412604,0.5722966852808076,0.4740132987499237,0.11904091387987137,0.0021230396814644337,0.9982566237449646
3,1.0352651801138915,1.0884308571197474,0.5627229488703924,0.6300473814792479,0.4548830758289274,0.4692733800464014,0.5627229488703924,0.5963520097273152,0.4619823396205902,0.12327338755130768,0.0008868300938047469,0.996658205986023
4,0.9760508947620585,0.9408635891858803,0.6495243757431629,0.6804217900234677,0.49951010244542876,0.5344743913334671,0.6495243757431629,0.6398674633252474,0.45824766159057617,0.12154779583215714,0.0005567781045101583,0.9948753714561462
5,0.9353353673629852,0.8944239708529641,0.6730083234244947,0.6217565557473761,0.611056429812679,0.5984031356357298,0.6730083234244947,0.6648210079002375,0.44464433193206787,0.1238786056637764,0.000996216549538076,0.9957306981086731
