epoch,train_loss,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_micro_f1,validation_aupr
1,1.5073788912383526,1.1151665483161755,0.5992865636147443,0.3603828505691101,0.34512888631095767,0.336953877674935,0.5992865636147443,0.5337434157127661
2,1.1224881216614018,1.1698532631791305,0.5502378121284186,0.7343202640632612,0.4024951898893555,0.3661237978826205,0.5502378121284186,0.5600450469703117
3,1.0321654657315522,0.9715022323531288,0.620986920332937,0.6507634549403581,0.48703121576492536,0.5087755560113314,0.620986920332937,0.6131599982535721
4,0.9740003111450317,0.9219418653551662,0.6566587395957194,0.6905705839643312,0.5054294873121731,0.5473151969220071,0.6566587395957194,0.6447756690055406
5,0.9338831034129904,0.9474317684468417,0.6474435196195006,0.6426605770388273,0.564916061789593,0.591946086358436,0.6474435196195006,0.6484879121483462
