matrix_index,drug_name,stitch_id,optimuskg_id,optimuskg_name,matched_field,inchi_key,canonical_smiles,source_ids,accession_numbers
133,digoxin,CIDm02724385,CHEMBL1751,DIGOXIN,properties.name;properties.synonyms;properties.trade_names,LTMHDMANZUZIPE-PUGKRICDSA-N,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,"[""digoxin"",""DB00390"",""4551""]",[]
134,nimodipine,CIDm00004497,CHEMBL1428,NIMODIPINE,properties.name;properties.synonyms;properties.trade_names,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,"[""nimodipine"",""7575"",""DB00393""]",[]
135,beclometasone,CIDm00020469,CHEMBL1200500,BECLOMETHASONE DIPROPIONATE,properties.synonyms,KUVIULQEHSCUHY-XYWKZLDCSA-N,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,"[""DB00394"",""beclomethasone%20dipropionate"",""beclomethasone%20dipropionate%20monohydrate"",""3002""]",[]
136,progesterone,CIDm00005994,CHEMBL103,PROGESTERONE,properties.name;properties.synonyms;properties.trade_names,RJKFOVLPORLFTN-LEKSSAKUSA-N,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,"[""DB00396"",""17026"",""progesterone""]",[]
137,sorafenib,CIDm00216239,CHEMBL1336,SORAFENIB,properties.name;properties.synonyms,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,"[""50924"",""DB00398""]",[]
139,nisoldipine,CIDm00004499,CHEMBL1726,NISOLDIPINE,properties.name;properties.synonyms;properties.trade_names,VKQFCGNPDRICFG-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],"[""76917"",""DB00401"",""nisoldipine""]",[]
140,eszopiclone,CIDm00969472,CHEMBL1522,ESZOPICLONE,properties.name;properties.synonyms;properties.trade_names,GBBSUAFBMRNDJC-INIZCTEOSA-N,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,"[""DB00402"",""eszopiclone"",""53760""]",[]
141,alprazolam,CIDm00002118,CHEMBL661,ALPRAZOLAM,properties.name;properties.synonyms;properties.trade_names,VREFGVBLTWBCJP-UHFFFAOYSA-N,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,"[""alprazolam"",""2611"",""DB00404""]",[]
142,loxapine,CIDm00003964,CHEMBL831,LOXAPINE,properties.name;properties.synonyms,XJGVXQDUIWGIRW-UHFFFAOYSA-N,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,"[""DB00408"",""human/EPAR/adasuve"",""50841"",""loxapine""]",[]
143,mupirocin,CIDm00446596,CHEMBL3989715,MUPIROCIN CALCIUM,properties.trade_names,DDHVILIIHBIMQU-YJGQQKNPSA-L,C/C(=C\C(=O)OCCCCCCCCC(=O)[O-])C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O.C/C(=C\C(=O)OCCCCCCCCC(=O)[O-])C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O.O.O.[Ca+2],"[""mupirocin%20calcium""]",[]
143,mupirocin,CIDm00446596,CHEMBL719,MUPIROCIN,properties.name;properties.synonyms;properties.trade_names,MINDHVHHQZYEEK-HBBNESRFSA-N,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,"[""7025"",""DB00410"",""mupirocin""]",[]
144,rosiglitazone,CIDm00077998,CHEMBL121,ROSIGLITAZONE,properties.name;properties.synonyms,YASAKCUCGLMORW-UHFFFAOYSA-N,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,"[""DB00412"",""50122""]",[]
145,pramipexole,CIDm00119569,CHEMBL301265,PRAMIPEXOLE,properties.name;properties.synonyms,FASDKYOPVNHBLU-ZETCQYMHSA-N,CCCN[C@H]1CCc2nc(N)sc2C1,"[""DB00413"",""8356""]",[]
146,miglustat,CIDm00051634,CHEMBL1029,MIGLUSTAT,properties.name;properties.synonyms,UQRORFVVSGFNRO-UTINFBMNSA-N,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,"[""miglustat"",""50381"",""DB00419"",""human/EPAR/miglustat-dipharma""]",[]
147,methylphenidate,CIDm00004158,CHEMBL796,METHYLPHENIDATE,properties.name;properties.synonyms,DUGOZIWVEXMGBE-UHFFFAOYSA-N,COC(=O)C(c1ccccc1)C1CCCCN1,"[""methylphenidate"",""DB00422"",""84276""]",[]
148,hyoscyamine,CIDm00003661,CHEMBL1331216,HYOSCYAMINE,properties.name;properties.synonyms,RKUNBYITZUJHSG-FXUDXRNXSA-N,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2,"[""DB00424"",""17486""]",[]
149,zolpidem,CIDm00005732,CHEMBL911,ZOLPIDEM,properties.name;properties.synonyms,ZAFYATHCZYHLPB-UHFFFAOYSA-N,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,"[""DB00425"",""10125""]",[]
150,famciclovir,CIDm00003324,CHEMBL880,FAMCICLOVIR,properties.name;properties.synonyms;properties.trade_names,GGXKWVWZWMLJEH-UHFFFAOYSA-N,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,"[""4974"",""DB00426"",""famciclovir""]",[]
151,streptozocin,CIDm00029327,CHEMBL1603,STREPTOZOSIN,properties.synonyms,ZSJLQEPLLKMAKR-GKHCUFPYSA-N,CN(N=O)C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,"[""DB00428"",""9288""]",[]
151,streptozocin,CIDm00029327,CHEMBL1651906,STREPTOZOCIN,properties.name;properties.synonyms,ZSJLQEPLLKMAKR-YDEIVXIUSA-N,CN(N=O)C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,"[""streptozocin""]",[]
152,allopurinol,CIDm00002094,CHEMBL1467,ALLOPURINOL,properties.name;properties.synonyms;properties.trade_names,OFCNXPDARWKPPY-UHFFFAOYSA-N,Oc1ncnc2[nH]ncc12,"[""DB00437"",""allopurinol"",""40279""]",[]
152,allopurinol,CIDm00002094,RXNORM:519,allopurinol,properties.name,"","",[],[]
153,ceftazidime,CIDm05481173,CHEMBL44354,CEFTAZIDIME,properties.name;properties.synonyms;properties.trade_names,ORFOPKXBNMVMKC-DWVKKRMSSA-N,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,"[""3508"",""ceftazidime"",""DB00438""]",[]
154,cerivastatin,CIDm00446156,CHEMBL1477,CERIVASTATIN,properties.name;properties.synonyms,SEERZIQQUAZTOL-ANMDKAQQSA-N,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,"[""DB00439"",""3558""]",[]
155,trimethoprim,CIDm00005578,CHEMBL22,TRIMETHOPRIM,properties.name;properties.synonyms;properties.trade_names,IEDVJHCEMCRBQM-UHFFFAOYSA-N,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,"[""trimethoprim"",""45924"",""DB00440""]",[]
156,gemcitabine,CIDm00060749,CHEMBL888,GEMCITABINE,properties.name;properties.synonyms,SDUQYLNIPVEERB-QPPQHZFASA-N,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,"[""DB00441"",""175901""]",[]
157,entecavir,CIDm00153941,CHEMBL5314362,ENTECAVIR,properties.name;properties.synonyms;properties.trade_names,YXPVEXCTPGULBZ-WQYNNSOESA-N,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21.O,"[""entecavir"",""human/EPAR/entecavir-mylan""]",[]
157,entecavir,CIDm00153941,CHEMBL713,ENTECAVIR ANHYDROUS,properties.synonyms,QDGZDCVAUDNJFG-FXQIFTODSA-N,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,"[""473990"",""DB00442""]",[]
158,teniposide,CIDm00452548,CHEMBL452231,TENIPOSIDE,properties.name;properties.synonyms,NRUKOCRGYNPUPR-QBPJDGROSA-N,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,"[""DB00444""]",[]
159,epirubicin,CIDm00041867,CHEMBL417,EPIRUBICIN,properties.name;properties.synonyms,AOJJSUZBOXZQNB-VTZDEGQISA-N,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,"[""DB00445"",""47898""]",[]
160,lansoprazole,CIDm00003883,CHEMBL480,LANSOPRAZOLE,properties.name;properties.synonyms;properties.trade_names,MJIHNNLFOKEZEW-UHFFFAOYSA-N,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,"[""DB00448"",""lansoprazole"",""6375""]",[]
161,loratadine,CIDm00003957,CHEMBL998,LORATADINE,properties.name;properties.synonyms;properties.trade_names,JCCNYMKQOSZNPW-UHFFFAOYSA-N,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,"[""DB00455"",""loratadine""]",[]
162,prazosin,CIDm00004893,CHEMBL2,PRAZOSIN,properties.name;properties.synonyms,IENZQIKPVFGBNW-UHFFFAOYSA-N,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,"[""8364"",""DB00457""]",[]
163,imipramine,CIDm00003696,CHEMBL11,IMIPRAMINE,properties.name;properties.synonyms,BCGWQEUPMDMJNV-UHFFFAOYSA-N,CN(C)CCCN1c2ccccc2CCc2ccccc21,"[""DB00458"",""47499""]",[]
