matrix_index,drug_name,stitch_id,stitch_inchikey,optimuskg_id,optimuskg_name,optimuskg_inchikey,was_previous_name_candidate
107,metformin,CIDm00004091,OETHQSJEHLVLGH-UHFFFAOYSA-N,CHEMBL1703,METFORMIN HYDROCHLORIDE,OETHQSJEHLVLGH-UHFFFAOYSA-N,false
110,atenolol,CIDm00002249,METKIMKYRPQLGS-GFCCVEGCSA-N,CHEMBL1230004,R(+)-Atenolol,METKIMKYRPQLGS-GFCCVEGCSA-N,false
110,atenolol,CIDm00002249,METKIMKYRPQLGS-UHFFFAOYSA-N,CHEMBL24,ATENOLOL,METKIMKYRPQLGS-UHFFFAOYSA-N,true
110,atenolol,CIDm00002249,METKIMKYRPQLGS-LBPRGKRZSA-N,CHEMBL343633,ESATENOLOL,METKIMKYRPQLGS-LBPRGKRZSA-N,false
112,omeprazole,CIDm00004594,RYXPMWYHEBGTRV-JIDHJSLPSA-N,CHEMBL1200470,ESOMEPRAZOLE SODIUM,RYXPMWYHEBGTRV-JIDHJSLPSA-N,false
112,omeprazole,CIDm00004594,SUBDBMMJDZJVOS-DEOSSOPVSA-N,CHEMBL1201320,ESOMEPRAZOLE,SUBDBMMJDZJVOS-DEOSSOPVSA-N,false
112,omeprazole,CIDm00004594,SUBDBMMJDZJVOS-UHFFFAOYSA-N,CHEMBL1503,OMEPRAZOLE,SUBDBMMJDZJVOS-UHFFFAOYSA-N,true
112,omeprazole,CIDm00004594,KWORUUGOSLYAGD-UHFFFAOYSA-N,CHEMBL1567328,OMEPRAZOLE MAGNESIUM,KWORUUGOSLYAGD-UHFFFAOYSA-N,false
112,omeprazole,CIDm00004594,RYXPMWYHEBGTRV-UHFFFAOYSA-N,CHEMBL2105294,OMEPRAZOLE SODIUM,RYXPMWYHEBGTRV-UHFFFAOYSA-N,false
115,alfuzosin,CIDm00002092,YTNKWDJILNVLGX-UHFFFAOYSA-N,CHEMBL1723,ALFUZOSIN HYDROCHLORIDE,YTNKWDJILNVLGX-UHFFFAOYSA-N,false
