matrix_index,side_effect_name,sider_umls_cui,meddra_id,meddra_name,canonical_optimuskg_id,alias_optimuskg_ids,mapping_method,mapping_status,requires_review
731,pleurisy,C0032231,10035618,Pleurisy,,"[""HP_0002102""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
732,pleural pain,,,,,[],,unresolved,True
733,pneumonia,C0032285,10035664,Pneumonia,meddra:10035664,"[""HP_0002090""]",exact_meddra_pt_name,meddra_with_hpo_alias,False
734,pneumonia aspiration,C0032290,10035669,Pneumonia aspiration,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
735,pneumothorax,C0032326,10035759,Pneumothorax,,"[""HP_0002107""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
736,urinary frequency increased,,,,,[],,unresolved,True
737,increase in the total amount of red blood cells in the blood,,,,,[],,unresolved,True
738,polydipsia,C0085602,10036067,Polydipsia,,"[""HP_0001959""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
739,polyneuropathy,C0152025,10036105,Polyneuropathy,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
740,polyuria,C0032617,10036142,Polyuria,,"[""HP_0000103""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
741,post procedural haemorrhage,C0919874,10051077,Post procedural haemorrhage,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
742,premenstrual syndrome,C0033046,10036618,Premenstrual syndrome,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
743,syncope vertigo,,,,,[],,unresolved,True
744,priapism,C0033117,10036661,Priapism,,"[""HP_0200023""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
745,procedural pain,C1619712,10064882,Procedural pain,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
746,anal pain,,,,,[],,unresolved,True
747,rectum inflammation,,,,,[],,unresolved,True
748,productive cough,C0239134,10036790,Productive cough,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
749,prostate cancer,C0376358,10060862,Prostate cancer,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
750,prostatic disorder,C0033575,10036956,Prostatic disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
751,prostatitis,C0033581,10036978,Prostatitis,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
752,protein total decreased,C0860901,10037014,Protein total decreased,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
753,protein urine present,C0948586,10053123,Protein urine present,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
754,proteinuria,C0033687,10037032,Proteinuria,meddra:10037032,"[""HP_0000093""]",sider_umls_pt,meddra_with_hpo_alias,False
755,prothrombin level decreased,C0553732,10037050,Prothrombin level decreased,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
756,prothrombin level increased,C0151872,10037051,Prothrombin level increased,,[],exact_meddra_pt_name,meddra_resolved_but_not_in_optimuskg,True
757,itch rash,,,,,[],,unresolved,True
758,pruritus,C0033774,10037087,Pruritus,meddra:10037087,"[""HP_0000989""]",sider_umls_pt,meddra_with_hpo_alias,False
759,pruritus generalised,C0475858,10052576,Pruritus generalised,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
760,pruritus genital,C0033777,10037093,Pruritus genital,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
761,falsehood lymph tumor,,,,,[],,unresolved,True
762,pseudomembranous colitis,C1257843,10037128,Pseudomembranous colitis,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
763,psoriasis,C0033860,10037153,Psoriasis,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
764,psychomotor retardation,C0424230,10037213,Psychomotor retardation,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
765,psychotic disorder,C0033975,10061920,Psychotic disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
766,pulmonary congestion,C0242073,10037368,Pulmonary congestion,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
767,pulmonary embolism,C0034065,10037377,Pulmonary embolism,meddra:10037377,"[""HP_0002204""]",sider_umls_pt,meddra_with_hpo_alias,False
768,pulmonary fibrosis,C0034069,10037383,Pulmonary fibrosis,meddra:10037383,[],sider_umls_pt,meddra_by_umls,False
769,pulmonary function test decreased,C0855775,10061922,Pulmonary function test decreased,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
770,pulmonary hypertension,C0020542,10037400,Pulmonary hypertension,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
771,pulmonary oedema,C0034063,10037423,Pulmonary oedema,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
772,punctate keratitis,C0259799,10037508,Punctate keratitis,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
