matrix_index,drug_name,stitch_id,candidate_count,candidate_ids,mapping_status
76,argatroban,CIDm00092721,1,CHEMBL1166,unique_exact
77,lidocaine,CIDm00003676,1,CHEMBL79,unique_exact
78,pamidronic.acid,CIDm00004673,0,"",unmatched
79,venlafaxine,CIDm00005656,1,CHEMBL637,unique_exact
80,conjugated.estrogens,CIDm00168708,0,"",unmatched
81,travoprost,CIDm05282226,1,CHEMBL1200799,unique_exact
82,atomoxetine,CIDm00054840,1,CHEMBL641,unique_exact
83,bleomycin,CIDm05360373,2,CHEMBL403664;DRUGBANK:DB00290,ambiguous_exact
84,chlorambucil,CIDm00002708,1,CHEMBL515,unique_exact
85,raltitrexed,CIDm00104758,1,CHEMBL225071,unique_exact
86,etonogestrel,CIDm06917715,1,CHEMBL1531,unique_exact
87,morphine,CIDm05288826,1,CHEMBL70,unique_exact
88,ropivacaine,CIDm00175804,1,CHEMBL1077896,unique_exact
89,bupivacaine,CIDm00002474,2,CHEMBL1098;RXNORM:1815,ambiguous_exact
90,penciclovir,CIDm00004725,1,CHEMBL1540,unique_exact
91,tenofovir.disoproxil,CIDm05481350,0,"",unmatched
92,flucloxacillin,CIDm00021319,1,CHEMBL222645,unique_exact
93,tranexamic.acid,CIDm00005526,0,"",unmatched
94,ertapenem,CIDm00150610,1,CHEMBL1359,unique_exact
95,bexarotene,CIDm00082146,1,CHEMBL1023,unique_exact
96,ibutilide,CIDm00060752,1,CHEMBL533,unique_exact
97,chlortalidone,CIDm00002732,1,CHEMBL1055,unique_exact
98,valproic.acid,CIDm00003121,0,"",unmatched
99,zolmitriptan,CIDm00060857,1,CHEMBL1185,unique_exact
100,paracetamol,CIDm00001983,1,CHEMBL112,unique_exact
101,gefitinib,CIDm00123631,1,CHEMBL939,unique_exact
102,piperacillin,CIDm00043672,2,CHEMBL1200820;CHEMBL702,ambiguous_exact
103,dihydroergotamine,CIDm00010531,1,CHEMBL1732,unique_exact
104,tolcapone,CIDm04659569,1,CHEMBL1324,unique_exact
105,hydromorphone,CIDm05284570,1,CHEMBL398707,unique_exact
106,indometacin,CIDm00003715,1,CHEMBL6,unique_exact
107,metformin,CIDm00004091,2,CHEMBL1431;RXNORM:6809,ambiguous_exact
108,ipratropium.bromide,CIDm00003746,0,"",unmatched
