matrix_index,drug_name,stitch_id,optimuskg_id,optimuskg_name,mapping_method,mapping_confidence,candidate_count,resolution_status
60,mesalazine,CIDm00004075,CHEMBL704,MESALAMINE,unique_exact,high,1,resolved
61,ziprasidone,CIDm00060853,CHEMBL708,ZIPRASIDONE,unique_exact,high,1,resolved
62,cabergoline,CIDm00054746,CHEMBL1201087,CABERGOLINE,unique_exact,high,1,resolved
63,dapsone,CIDm00002955,CHEMBL1043,DAPSONE,unique_exact,high,1,resolved
64,terconazole,CIDm00441383,CHEMBL1306,TERCONAZOLE,unique_exact,high,1,resolved
65,phenytoin,CIDm00001775,CHEMBL16,PHENYTOIN,unique_exact,high,1,resolved
66,doxycycline,CIDm54671203,CHEMBL1200699,DOXYCYCLINE,canonical_name_disambiguation,high,2,resolved
67,anagrelide,CIDm00002182,"","","","",2,ambiguous
68,carmustine,CIDm00002578,CHEMBL513,CARMUSTINE,unique_exact,high,1,resolved
69,metoprolol,CIDm00004171,CHEMBL13,METOPROLOL,unique_exact,high,1,resolved
70,ropinirole,CIDm00005095,CHEMBL589,ROPINIROLE,unique_exact,high,1,resolved
71,isradipine,CIDm00003784,CHEMBL1648,ISRADIPINE,unique_exact,high,1,resolved
72,topiramate,CIDm05284627,CHEMBL220492,TOPIRAMATE,unique_exact,high,1,resolved
73,olmesartan.medoxomil,CIDm00158781,CHEMBL1200692,OLMESARTAN MEDOXOMIL,dot_normalized_exact,high,1,resolved
74,amsacrine,CIDm00002179,CHEMBL43,AMSACRINE,unique_exact,high,1,resolved
75,theophylline,CIDm00002153,CHEMBL190,THEOPHYLLINE,unique_exact,high,1,resolved
76,argatroban,CIDm00092721,CHEMBL1166,ARGATROBAN,unique_exact,high,1,resolved
77,lidocaine,CIDm00003676,CHEMBL79,LIDOCAINE,unique_exact,high,1,resolved
78,pamidronic.acid,CIDm00004673,CHEMBL834,PAMIDRONIC ACID,dot_normalized_exact,high,1,resolved
79,venlafaxine,CIDm00005656,CHEMBL637,VENLAFAXINE,unique_exact,high,1,resolved
80,conjugated.estrogens,CIDm00168708,DRUGBANK:DB00286,Conjugated estrogens,dot_normalized_exact,high,2,resolved
81,travoprost,CIDm05282226,CHEMBL1200799,TRAVOPROST,unique_exact,high,1,resolved
82,atomoxetine,CIDm00054840,CHEMBL641,ATOMOXETINE,unique_exact,high,1,resolved
83,bleomycin,CIDm05360373,"","","","",2,ambiguous
84,chlorambucil,CIDm00002708,CHEMBL515,CHLORAMBUCIL,unique_exact,high,1,resolved
