matrix_index,biokorf_drug_id,drug_name,stitch_id,entity_type,optimuskg_ids,optimuskg_node_count,mapping_source,mapping_confidence,kg_mapping_status,requires_manual_review
32,BIOKORF_DRUG_032,esmolol,CIDm00059768,drug,"[""CHEMBL768""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
33,BIOKORF_DRUG_033,bortezomib,CIDm00387447,drug,"[""CHEMBL325041"", ""RXNORM:358258""]",2,triage:SAFE_MULTI_NODE,high,mapped_multi,false
34,BIOKORF_DRUG_034,tramadol,CIDm00033741,drug,"[""CHEMBL1237044""]",1,evidence_fusion:supported_canonical_name,high,mapped_single,false
35,BIOKORF_DRUG_035,betaxolol,CIDm00002369,drug,"[""CHEMBL423""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
36,BIOKORF_DRUG_036,fluconazole,CIDm00003365,drug,"[""CHEMBL106""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
37,BIOKORF_DRUG_037,oseltamivir,CIDm00065028,drug,"[""CHEMBL1229""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
38,BIOKORF_DRUG_038,caffeine,CIDm00002519,drug,"[""CHEMBL113""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
39,BIOKORF_DRUG_039,sildenafil,CIDm00005212,drug,"[""CHEMBL192""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
40,BIOKORF_DRUG_040,dofetilide,CIDm00071329,drug,"[""CHEMBL473""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
41,BIOKORF_DRUG_041,azithromycin,CIDm00447043,drug,"[""CHEMBL529""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
42,BIOKORF_DRUG_042,trospium,CIDm00005596,drug,"[""CHEMBL1888176""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
43,BIOKORF_DRUG_043,adapalene,CIDm00060164,drug,"[""CHEMBL1265""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
44,BIOKORF_DRUG_044,midodrine,CIDm00004195,drug,"[""CHEMBL1201212""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
45,BIOKORF_DRUG_045,pantoprazole,CIDm00004679,drug,"[""CHEMBL1502""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
46,BIOKORF_DRUG_046,torasemide,CIDm00041781,drug,"[""CHEMBL1148""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
47,BIOKORF_DRUG_047,citalopram,CIDm00002771,drug,"[""CHEMBL549""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
48,BIOKORF_DRUG_048,eletriptan,CIDm00077993,drug,"[""CHEMBL1510""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
49,BIOKORF_DRUG_049,moxifloxacin,CIDm00101526,drug,"[""CHEMBL32""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
50,BIOKORF_DRUG_050,nelfinavir,CIDm00064142,drug,"[""CHEMBL584""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
51,BIOKORF_DRUG_051,glimepiride,CIDm00003476,drug,"[""CHEMBL1481""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
52,BIOKORF_DRUG_052,indinavir,CIDm05362440,drug,"[""CHEMBL115""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
53,BIOKORF_DRUG_053,lovastatin,CIDm00053232,drug,"[""CHEMBL503""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
54,BIOKORF_DRUG_054,pregabalin,CIDm05486971,drug,"[""CHEMBL1059""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
55,BIOKORF_DRUG_055,temazepam,CIDm00005391,drug,"[""CHEMBL967""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
56,BIOKORF_DRUG_056,reboxetine,CIDm00065856,drug,"[""CHEMBL14370""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
57,BIOKORF_DRUG_057,nevirapine,CIDm00004463,drug,"[""CHEMBL57""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
58,BIOKORF_DRUG_058,cladribine,CIDm00020279,drug,"[""CHEMBL1619""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
59,BIOKORF_DRUG_059,ranolazine,CIDm00056959,drug,"[""CHEMBL1404""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
60,BIOKORF_DRUG_060,mesalazine,CIDm00004075,drug,"[""CHEMBL704""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
61,BIOKORF_DRUG_061,ziprasidone,CIDm00060853,drug,"[""CHEMBL708""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
62,BIOKORF_DRUG_062,cabergoline,CIDm00054746,drug,"[""CHEMBL1201087""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
63,BIOKORF_DRUG_063,dapsone,CIDm00002955,drug,"[""CHEMBL1043""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
64,BIOKORF_DRUG_064,terconazole,CIDm00441383,drug,"[""CHEMBL1306""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
65,BIOKORF_DRUG_065,phenytoin,CIDm00001775,drug,"[""CHEMBL16""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
66,BIOKORF_DRUG_066,doxycycline,CIDm54671203,drug,"[""CHEMBL1200699""]",1,evidence_fusion:supported_canonical_name,high,mapped_single,false
67,BIOKORF_DRUG_067,anagrelide,CIDm00002182,drug,"[""CHEMBL760""]",1,evidence_fusion:resolved_by_unique_intersection,very_high,mapped_single,false
