matrix_index,side_effect_name,optimuskg_id,optimuskg_name,ontology_namespace,matched_field,properties.code,properties.umls_cui,properties.concept_ids,properties.xrefs,properties.snomed_concept_ids
619,nasal dryness,HP_0033521,Nasal dryness,HPO,properties.name,"","",[],[],[]
621,nausea,HP_0002018,Nausea,HPO,properties.name;properties.exact_synonyms;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0002018,C0027497,"[""21003223"",""40249516""]","[""SNOMEDCT_US:422587007"",""UMLS:C0027497"",""MEDDRA:10028813""]","[""422587007.0""]"
621,nausea,meddra:10028813,Nausea,MEDDRA,properties.name,"","",[],[],[]
622,neck pain,HP_0030833,Neck pain,HPO,properties.name;properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0030833,"",[],"[""UMLS:C0007859"",""SNOMEDCT_US:81680005""]",[]
622,neck pain,meddra:10028836,Neck pain,MEDDRA,properties.name,"","",[],[],[]
623,neoplasm,HP_0002664,Neoplasm,HPO,properties.name,"","",[],[],[]
625,nephritis,HP_0000123,Nephritis,HPO,properties.name,"","",[],[],[]
627,nephropathy,HP_0000112,Nephropathy,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0000112,C0022658,"[""21002292""]","[""SNOMEDCT_US:90708001"",""UMLS:C0022658"",""UMLS:C1408258""]","[""90708001.0""]"
629,nephrotic syndrome,HP_0000100,Nephrotic syndrome,HPO,properties.name,"","",[],[],[]
630,nervous system disorder,meddra:10029202,Nervous system disorder,MEDDRA,properties.name,"","",[],[],[]
632,neuralgia,HP_0033345,Neuralgia,HPO,properties.name,"","",[],[],[]
632,neuralgia,meddra:10029223,Neuralgia,MEDDRA,properties.name,"","",[],[],[]
633,neuritis,HP_0031002,Neuritis,HPO,properties.name,"","",[],[],[]
635,neuropathy peripheral,meddra:10029331,Neuropathy peripheral,MEDDRA,properties.name,"","",[],[],[]
638,neutropenia,meddra:10029354,Neutropenia,MEDDRA,properties.name,"","",[],[],[]
642,night sweats,HP_0030166,Night sweats,HPO,properties.name,"","",[],[],[]
649,nuchal rigidity,HP_0031179,Nuchal rigidity,HPO,properties.name,"","",[],[],[]
650,nystagmus,HP_0000639,Nystagmus,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0000639,"",[],"[""SNOMEDCT_US:563001"",""UMLS:C0028738"",""UMLS:C1963184""]",[]
650,nystagmus,meddra:10029864,Nystagmus,MEDDRA,properties.name,"","",[],[],[]
655,oedema,HP_0000969,Edema,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0000969,C0013604,"[""21003125""]","[""SNOMEDCT_US:267038008"",""UMLS:C0013604"",""SNOMEDCT_US:20741006"",""SNOMEDCT_US:79654002"",""SNOMEDCT_US:423666004""]","[""267038008.0""]"
662,onychomycosis,HP_0012203,Onychomycosis,HPO,properties.name,"","",[],[],[]
663,opportunistic infection,HP_0031690,Opportunistic infection,HPO,properties.name,"","",[],[],[]
664,optic atrophy,HP_0000648,Optic atrophy,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0000648,"",[],"[""UMLS:C0029124"",""SNOMEDCT_US:76976005""]",[]
665,optic neuritis,HP_0100653,Optic neuritis,HPO,properties.name,"","",[],[],[]
672,oropharyngeal pain,meddra:10068319,Oropharyngeal pain,MEDDRA,properties.name,"","",[],[],[]
673,orthostatic hypotension,HP_0001278,Orthostatic hypotension,HPO,properties.name,"","",[],[],[]
673,orthostatic hypotension,meddra:10031127,Orthostatic hypotension,MEDDRA,properties.name,"","",[],[],[]
674,osteoarthritis,HP_0002758,Osteoarthritis,HPO,properties.name,"","",[],[],[]
675,osteomyelitis,HP_0002754,Osteomyelitis,HPO,properties.name,"","",[],[],[]
676,osteonecrosis,HP_0010885,Avascular necrosis,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0010885,"",[],"[""UMLS:C0520474"",""UMLS:C0029445"",""UMLS:C0085660"",""UMLS:C0877326"",""SNOMEDCT_US:398199007"",""SNOMEDCT_US:72756009"",""SNOMEDCT_US:240196003""]",[]
677,osteoporosis,HP_0000939,Osteoporosis,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0000939,C0029456,"[""21002896""]","[""SNOMEDCT_US:64859006"",""UMLS:C0029456""]","[""64859006.0""]"
678,otitis externa,HP_0410017,Otitis externa,HPO,properties.name,"","",[],[],[]
679,otitis media,HP_0000388,Otitis media,HPO,properties.name,"","",[],[],[]
681,ovarian cyst,HP_0000138,Ovarian cyst,HPO,properties.name;properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0000138,C0029927,"[""21002476""]","[""SNOMEDCT_US:79883001"",""UMLS:C0029927""]","[""79883001.0""]"
683,pain,HP_0012531,Pain,HPO,properties.name;properties.exact_synonyms;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0012531,C0030193,"[""22253000"",""21003079""]","[""SNOMEDCT_US:22253000"",""UMLS:C0030193""]","[""22253000.0""]"
683,pain,meddra:10033371,Pain,MEDDRA,properties.name,"","",[],[],[]
684,pain in extremity,meddra:10033425,Pain in extremity,MEDDRA,properties.name,"","",[],[],[]
687,pallor,HP_0000980,Pallor,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0000980,"",[],"[""SNOMEDCT_US:398979000"",""UMLS:C0030232""]",[]
688,palpitations,HP_0001962,Palpitations,HPO,properties.name;properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0001962,"",[],"[""SNOMEDCT_US:80313002"",""UMLS:C0030252""]",[]
688,palpitations,meddra:10033557,Palpitations,MEDDRA,properties.name,"","",[],[],[]
689,pancreatitis,HP_0001733,Pancreatitis,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001733,C0030305,"[""21013547""]","[""UMLS:C0030305"",""SNOMEDCT_US:75694006""]","[""75694006.0""]"
689,pancreatitis,meddra:10033645,Pancreatitis,MEDDRA,properties.name,"","",[],[],[]
691,pancytopenia,HP_0001876,Pancytopenia,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001876,C0030312,"[""21000829""]","[""UMLS:C0030312"",""SNOMEDCT_US:127034005""]","[""127034005.0""]"
691,pancytopenia,meddra:10033661,Pancytopenia,MEDDRA,properties.name,"","",[],[],[]
692,panic attack,HP_0025269,Panic attack,HPO,properties.name,"","",[],[],[]
698,paralysis,HP_0003470,Paralysis,HPO,properties.name;properties.exact_synonyms;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0003470,C0522224,"[""21001085""]","[""SNOMEDCT_US:44695005"",""UMLS:C0522224""]","[""44695005.0""]"
699,paranoia,HP_0011999,Paranoia,HPO,properties.name;properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0011999,C1456784,"[""21000959""]","[""UMLS:C1456784"",""SNOMEDCT_US:191667009""]","[""191667009.0""]"
701,parkinsonism,HP_0001300,Parkinsonism,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001300,C0242422,"[""21001054""]","[""UMLS:C0242422"",""SNOMEDCT_US:32798002""]","[""32798002.0""]"
701,parkinsonism,meddra:10034010,Parkinsonism,MEDDRA,properties.name,"","",[],[],[]
703,pelvic pain,HP_0034267,Pelvic pain,HPO,properties.name,"","",[],[],[]
705,peptic ulcer,HP_0004398,Peptic ulcer,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0004398,C0030920,"[""21002035""]","[""SNOMEDCT:13200003"",""NCIt:C3318"",""SNOMEDCT_US:13200003"",""ICD10:K27"",""UMLS:C0030920""]","[""13200003.0""]"
706,pericardial effusion,HP_0001698,Pericardial effusion,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001698,C0031039,"[""21001498""]","[""SNOMEDCT_US:373945007"",""Fyler:1940"",""UMLS:C0031039""]","[""373945007.0""]"
707,pericarditis,HP_0001701,Pericarditis,HPO,properties.name,"","",[],[],[]
709,periodontitis,HP_0000704,Periodontitis,HPO,properties.name,"","",[],[],[]
714,peripheral sensory neuropathy,HP_0000763,Sensory neuropathy,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0000763,"",[],"[""UMLS:C0151313"",""SNOMEDCT_US:95662005""]",[]
716,peritonitis,HP_0002586,Peritonitis,HPO,properties.name,"","",[],[],[]
717,personality disorder,HP_0012075,Personality disorder,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0012075,"",[],"[""ICD-10:F60"",""UMLS:C0031212"",""SNOMEDCT_US:33449004""]",[]
718,petechiae,HP_0000967,Petechiae,HPO,properties.name,"","",[],[],[]
720,pharyngitis,HP_0025439,Pharyngitis,HPO,properties.name,"","",[],[],[]
723,photophobia,HP_0000613,Photophobia,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0000613,C0085636,"[""21001226""]","[""SNOMEDCT_US:246622003"",""UMLS:C4020887"",""SNOMEDCT_US:409668002"",""UMLS:C0085636""]","[""409668002.0""]"
730,pleural effusion,HP_0002202,Pleural effusion,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0002202,"",[],"[""SNOMEDCT_US:60046008"",""UMLS:C0032227""]",[]
731,pleurisy,HP_0002102,Pleuritis,HPO,properties.exact_synonyms;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0002102,C0032231,"[""21001886""]","[""SNOMEDCT_US:196075003"",""UMLS:C0032231""]","[""196075003.0""]"
733,pneumonia,HP_0002090,Pneumonia,HPO,properties.name;properties.exact_synonyms;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0002090,C0032285,"[""21001823""]","[""UMLS:C0032285"",""SNOMEDCT_US:233604007""]","[""233604007.0""]"
733,pneumonia,meddra:10035664,Pneumonia,MEDDRA,properties.name,"","",[],[],[]
735,pneumothorax,HP_0002107,Pneumothorax,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0002107,C0032326,"[""21001889""]","[""SNOMEDCT_US:36118008"",""UMLS:C0032326""]","[""36118008.0""]"
738,polydipsia,HP_0001959,Polydipsia,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0001959,C0085602,"[""21003149""]","[""SNOMEDCT_US:267026004"",""SNOMEDCT_US:17173007"",""UMLS:C0085602""]","[""267026004.0""]"
739,polyneuropathy,HP_0001271,Polyneuropathy,HPO,properties.name,"","",[],[],[]
740,polyuria,HP_0000103,Polyuria,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0000103,C0032617,"[""21003260""]","[""SNOMEDCT:28442001"",""SNOMEDCT_US:718402002"",""UMLS:C0032617"",""SNOMEDCT_US:28442001"",""NCIt:C118303"",""ICD9:788.42"",""SNOMEDCT_US:56574000"",""ICD10:R35""]","[""28442001.0""]"
744,priapism,HP_0200023,Priapism,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0200023,C0033117,"[""21002380""]","[""SNOMEDCT_US:6273006"",""UMLS:C0033117""]","[""6273006.0""]"
746,anal pain,HP_0500005,Anal pain,HPO,properties.name,"","",[],[],[]
748,productive cough,HP_0031245,Productive cough,HPO,properties.name,"","",[],[],[]
749,prostate cancer,HP_0012125,Prostate cancer,HPO,properties.name,"","",[],[],[]
751,prostatitis,HP_0000024,Prostatitis,HPO,properties.name,"","",[],[],[]
754,proteinuria,HP_0000093,Proteinuria,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0000093,C0033687,"[""21003282""]","[""UMLS:C0033687"",""ICD10:O13"",""ICD10:R80"",""SNOMEDCT_US:29738008""]","[""29738008.0""]"
754,proteinuria,meddra:10037032,Proteinuria,MEDDRA,properties.name,"","",[],[],[]
758,pruritus,HP_0000989,Pruritus,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0000989,C0033774,"[""21002694"",""40249495"",""40249494""]","[""SNOMEDCT_US:279333002"",""SNOMEDCT_US:418290006"",""UMLS:C0033774"",""SNOMEDCT_US:418363000"",""SNOMEDCT_US:424492005""]","[""418363000.0"",""109333005.0""]"
758,pruritus,meddra:10037087,Pruritus,MEDDRA,properties.name,"","",[],[],[]
767,pulmonary embolism,HP_0002204,Pulmonary embolism,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0002204,C0034065,"[""40249099""]","[""UMLS:C0034065"",""SNOMEDCT_US:59282003""]","[""59282003.0""]"
767,pulmonary embolism,meddra:10037377,Pulmonary embolism,MEDDRA,properties.name,"","",[],[],[]
768,pulmonary fibrosis,HP_0002206,Pulmonary fibrosis,HPO,properties.name,"","",[],[],[]
768,pulmonary fibrosis,meddra:10037383,Pulmonary fibrosis,MEDDRA,properties.name,"","",[],[],[]
772,punctate keratitis,HP_0011859,Punctate keratitis,HPO,properties.name,"","",[],[],[]
774,purpura,HP_0000979,Purpura,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0000979,C0034150,"[""21000872""]","[""Wikipedia:Purpura"",""DOID:3326"",""SNOMEDCT_US:387778001"",""SNOMEDCT_US:423902002"",""SNOMEDCT_US:12393003"",""UMLS:C0034150"",""ICD10:D69"",""MeSH:D011693"",""NCIt:C78787""]","[""387778001.0""]"
774,purpura,meddra:10037549,Purpura,MEDDRA,properties.name,"","",[],[],[]
775,pyelonephritis,HP_0012330,Pyelonephritis,HPO,properties.name,"","",[],[],[]
778,rash,HP_0000988,Skin rash,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0000988,C0015230,"[""21003118"",""21002596""]","[""MEDDRA:10037844"",""SNOMEDCT_US:112625008"",""SNOMEDCT_US:271807003"",""UMLS:C0015230""]","[""271807003.0"",""112625008.0""]"
778,rash,meddra:10037844,Rash,MEDDRA,properties.name,"","",[],[],[]
788,renal failure,HP_0000083,Renal insufficiency,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0000083,C0035078,"[""40249795"",""21002261""]","[""UMLS:C0035078"",""SNOMEDCT_US:42399005"",""UMLS:C1839604"",""SNOMEDCT_US:236423003"",""UMLS:C1565489""]","[""42399005.0""]"
788,renal failure,meddra:10038435,Renal failure,MEDDRA,properties.name,"","",[],[],[]
789,renal impairment,meddra:10062237,Renal impairment,MEDDRA,properties.name,"","",[],[],[]
793,respiratory depression,HP_0002791,Hypoventilation,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0002791,C0235063,"[""21001914""]","[""SNOMEDCT_US:15993004"",""SNOMEDCT_US:80954004"",""UMLS:C0235063"",""SNOMEDCT_US:31515003"",""UMLS:C3203358""]","[""80954004.0""]"
795,respiratory distress,HP_0002098,Respiratory distress,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0002098,C0013404,"[""21003199""]","[""UMLS:C0476273"",""UMLS:C0013404"",""SNOMEDCT_US:267036007"",""SNOMEDCT_US:230145002"",""SNOMEDCT_US:271825005""]","[""267036007.0""]"
796,respiratory failure,HP_0002878,Respiratory failure,HPO,properties.name,"","",[],[],[]
798,respiratory tract infection,HP_0011947,Respiratory tract infection,HPO,properties.name,"","",[],[],[]
801,retinal degeneration,HP_0000546,Retinal degeneration,HPO,properties.name,"","",[],[],[]
802,retinal detachment,HP_0000541,Retinal detachment,HPO,properties.name,"","",[],[],[]
804,retinal haemorrhage,HP_0000573,Retinal hemorrhage,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0000573,C0035317,"[""21001179""]","[""UMLS:C0035317"",""SNOMEDCT_US:28998008""]","[""28998008.0""]"
806,rhabdomyolysis,HP_0003201,Rhabdomyolysis,HPO,properties.name,"","",[],[],[]
806,rhabdomyolysis,meddra:10039020,Rhabdomyolysis,MEDDRA,properties.name,"","",[],[],[]
807,rheumatoid arthritis,HP_0001370,Rheumatoid arthritis,HPO,properties.name;properties.exact_synonyms;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001370,C0003873,"[""21002805""]","[""UMLS:C0003873"",""SNOMEDCT_US:69896004""]","[""69896004.0""]"
808,rhinitis,HP_0012384,Rhinitis,HPO,properties.name,"","",[],[],[]
808,rhinitis,meddra:10039083,Rhinitis,MEDDRA,properties.name,"","",[],[],[]
819,sciatica,HP_0011868,Sciatica,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0011868,"",[],"[""UMLS:C0036396"",""SNOMEDCT_US:23056005""]",[]
821,seasonal allergy,HP_0012395,Seasonal allergy,HPO,properties.name,"","",[],[],[]
822,seborrheic dermatitis,HP_0001051,Seborrheic dermatitis,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001051,C0036508,"[""21002627""]","[""UMLS:C0036508"",""SNOMEDCT_US:50563003"",""SNOMEDCT_US:86708008"",""UMLS:C3806554""]","[""50563003.0""]"
823,seborrheic keratosis,HP_0031287,Seborrheic keratosis,HPO,properties.name,"","",[],[],[]
827,sepsis,HP_0100806,Sepsis,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0100806,"",[],"[""UMLS:C0036690""]",[]
827,sepsis,meddra:10040047,Sepsis,MEDDRA,properties.name,"","",[],[],[]
829,serotonin syndrome,meddra:10040108,Serotonin syndrome,MEDDRA,properties.name,"","",[],[],[]
832,shock,HP_0031273,Shock,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0031273,"",[],[],[]
834,sinus bradycardia,HP_0001688,Sinus bradycardia,HPO,properties.name,"","",[],[],[]
837,sinus tachycardia,HP_0011703,Sinus tachycardia,HPO,properties.name,"","",[],[],[]
838,sinusitis,HP_0000246,Sinusitis,HPO,properties.name,"","",[],[],[]
845,skin hyperpigmentation,HP_0000953,Hyperpigmentation of the skin,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0000953,"",[],"[""UMLS:C0162834"",""SNOMEDCT_US:49765009"",""SNOMEDCT_US:4830009""]",[]
847,skin infection,HP_0100658,Cellulitis,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0100658,C0162627,"[""21002593""]","[""UMLS:C0162627"",""SNOMEDCT_US:128936008"",""SNOMEDCT_US:385627004"",""UMLS:C0007642"",""SNOMEDCT_US:128045006""]","[""128936008.0""]"
853,skin striae,HP_0001065,Striae distensae,HPO,properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001065,C0152459,"[""21002704""]","[""SNOMEDCT_US:201066002"",""UMLS:C0152459"",""MEDDRA:10040925"",""SNOMEDCT_US:201067006"",""SNOMEDCT_US:47212006""]","[""201066002.0""]"
854,skin ulcer,HP_0200042,Skin ulcer,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0200042,C0037299,"[""21002742""]","[""NCIt:C54247"",""MEDDRA:10040943"",""SNOMEDCT_US:46742003"",""UMLS:C0037299"",""SNOMEDCT:46742003"",""MedDRA:10040943""]","[""46742003.0""]"
859,snoring,HP_0025267,Snoring,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0025267,"",[],[],[]
860,somnambulism,HP_0025236,Somnambulism,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0025236,"",[],[],[]
861,somnolence,HP_0002329,Drowsiness,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0002329,C0013144,"[""21003036""]","[""SNOMEDCT_US:271782001"",""UMLS:C0013144"",""SNOMEDCT_US:79519003""]","[""271782001.0""]"
861,somnolence,meddra:10041349,Somnolence,MEDDRA,properties.name,"","",[],[],[]
863,splenomegaly,HP_0001744,Splenomegaly,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001744,C0038002,"[""40249803""]","[""SNOMEDCT_US:16294009"",""UMLS:C0038002""]","[""16294009.0""]"
866,status epilepticus,HP_0002133,Status epilepticus,HPO,properties.name,"","",[],[],[]
869,stomatitis,HP_0010280,Stomatitis,HPO,properties.name,"","",[],[],[]
869,stomatitis,meddra:10042128,Stomatitis,MEDDRA,properties.name,"","",[],[],[]
871,wheezing,HP_0030828,Wheezing,HPO,properties.name;properties.exact_synonyms;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0030828,C0043144,"[""21003198""]","[""SNOMEDCT_US:56018004"",""UMLS:C0043144""]","[""56018004.0""]"
872,stupor,HP_0001259,Coma,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0001259,C0009421,"[""21003033""]","[""SNOMEDCT_US:371632003"",""ICD-10:R40.2"",""UMLS:C0009421""]","[""371632003.0""]"
874,subdural haematoma,HP_0100309,Subdural hemorrhage,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0100309,"",[],"[""SNOMEDCT_US:95453001"",""UMLS:C0018946"",""SNOMEDCT_US:35486000""]",[]
875,sudden death,HP_0001699,Sudden death,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0001699,"",[],"[""UMLS:C0011071"",""SNOMEDCT_US:26636000""]",[]
876,suicidal ideation,HP_0031589,Suicidal ideation,HPO,properties.name,"","",[],[],[]
880,supraventricular tachycardia,HP_0004755,Supraventricular tachycardia,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0004755,"",[],"[""SNOMEDCT_US:6456007"",""UMLS:C1698480"",""UMLS:C0039240""]",[]
883,syncope,HP_0001279,Syncope,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001279,C0039070,"[""21003051""]","[""SNOMEDCT_US:272030005"",""SNOMEDCT_US:309585006"",""SNOMEDCT_US:271594007"",""UMLS:C0039070""]","[""271594007.0""]"
883,syncope,meddra:10042772,Syncope,MEDDRA,properties.name,"","",[],[],[]
884,systemic lupus erythematosus,HP_0002725,Systemic lupus erythematosus,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0002725,C0024141,"[""21002775""]","[""UMLS:C0024141"",""SNOMEDCT_US:55464009""]","[""55464009.0""]"
885,tachycardia,HP_0001649,Tachycardia,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0001649,"",[],"[""SNOMEDCT_US:86651002"",""UMLS:C4020868"",""UMLS:C0039231"",""SNOMEDCT_US:3424008""]",[]
885,tachycardia,meddra:10043071,Tachycardia,MEDDRA,properties.name,"","",[],[],[]
887,tardive dyskinesia,HP_0040141,Tardive dyskinesia,HPO,properties.name,"","",[],[],[]
888,telangiectasia,HP_0001009,Telangiectasia,HPO,properties.name,"","",[],[],[]
893,tendonitis,HP_0025230,Tendonitis,HPO,properties.name,"","",[],[],[]
897,testicular pain,HP_0033839,Testicular pain,HPO,properties.name,"","",[],[],[]
898,tetany,HP_0001281,Tetany,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001281,C0039621,"[""21003106""]","[""UMLS:C0039621"",""SNOMEDCT_US:10629009""]","[""10629009.0""]"
901,thirst,meddra:10043458,Thirst,MEDDRA,properties.name,"","",[],[],[]
904,thrombocytopenia,HP_0001873,Thrombocytopenia,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0001873,C0040034,"[""21000878"",""40249748""]","[""OMIM:617441"",""UMLS:C0392386"",""SNOMEDCT_US:302215000"",""SNOMEDCT_US:415116008"",""UMLS:C0040034"",""MeSH:D013921""]","[""302215000.0""]"
904,thrombocytopenia,meddra:10043554,Thrombocytopenia,MEDDRA,properties.name,"","",[],[],[]
906,thrombophlebitis,HP_0004418,Thrombophlebitis,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0004418,C0040046,"[""21001679""]","[""SNOMEDCT_US:64156001"",""UMLS:C0040046""]","[""64156001.0""]"
907,thrombosis,meddra:10043607,Thrombosis,MEDDRA,properties.name,"","",[],[],[]
911,thyroiditis,HP_0100646,Thyroiditis,HPO,properties.name,"","",[],[],[]
912,tinnitus,HP_0000360,Tinnitus,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0000360,C0040264,"[""21001395""]","[""SNOMEDCT_US:162352007"",""SNOMEDCT_US:162349004"",""SNOMEDCT_US:60862001"",""UMLS:C0040264""]","[""60862001.0""]"
912,tinnitus,meddra:10043882,Tinnitus,MEDDRA,properties.name,"","",[],[],[]
917,tonsillitis,HP_0011110,Recurrent tonsillitis,HPO,properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0011110,C0040425,"[""21001753""]","[""UMLS:C0040425"",""SNOMEDCT_US:90176007"",""ICD10:J03""]","[""90176007.0""]"
918,tooth abscess,HP_0030757,Tooth abscess,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0030757,"",[],"[""UMLS:C0518988"",""SNOMEDCT_US:299709002""]",[]
923,torticollis,HP_0000473,Torticollis,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0000473,"",[],"[""SNOMEDCT_US:270476009"",""UMLS:C0949445"",""SNOMEDCT_US:74333002"",""UMLS:C0152116"",""UMLS:C0040485"",""SNOMEDCT_US:70070008""]",[]
930,tremor,HP_0001337,Tremor,HPO,properties.name;properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0001337,"",[],"[""SNOMEDCT_US:26079004"",""UMLS:C0040822""]",[]
930,tremor,meddra:10044565,Tremor,MEDDRA,properties.name,"","",[],[],[]
937,upper respiratory tract infection,meddra:10046306,Upper respiratory tract infection,MEDDRA,properties.name,"","",[],[],[]
940,urethritis,HP_0500006,Urethritis,HPO,properties.name,"","",[],[],[]
943,urinary incontinence,HP_0000020,Urinary incontinence,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0000020,C0042024,"[""21003254""]","[""SNOMEDCT:165232002"",""NCIt:C78497"",""ICD9:788.3"",""ICD10:R32"",""SNOMEDCT_US:165232002"",""UMLS:C0042024""]","[""165232002.0""]"
944,urinary retention,HP_0000016,Urinary retention,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0000016,C0080274,"[""21003253""]","[""NCIt:C50790"",""UMLS:C0080274"",""SNOMEDCT_US:130951007"",""ICD10:R33"",""SNOMEDCT_US:267064002"",""SNOMEDCT_US:449491000124101""]","[""267064002.0""]"
950,urticaria,HP_0001025,Urticaria,HPO,properties.name,"","",[],[],[]
950,urticaria,meddra:10046735,Urticaria,MEDDRA,properties.name,"","",[],[],[]
955,uveitis,HP_0000554,Uveitis,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0000554,C0042164,"[""21001191""]","[""SNOMEDCT_US:128473001"",""UMLS:C0042164""]","[""128473001.0""]"
956,vaginal discharge,meddra:10046901,Vaginal discharge,MEDDRA,properties.name,"","",[],[],[]
962,vasculitis,HP_0002633,Vasculitis,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0002633,C0042384,"[""21001669""]","[""SNOMEDCT_US:31996006"",""UMLS:C0042384""]","[""31996006.0""]"
962,vasculitis,meddra:10047115,Vasculitis,MEDDRA,properties.name,"","",[],[],[]
964,vasospasm,HP_0025637,Vasospasm,HPO,properties.name,"","",[],[],[]
965,venous thrombosis,HP_0004936,Venous thrombosis,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0004936,C0042487,"[""21001698""]","[""SNOMEDCT_US:111293003"",""UMLS:C0517555"",""SNOMEDCT:111293003"",""UMLS:C0042487"",""OMIM:300807"",""OMIM:188050"",""NCIt:C99107"",""OMIM:188055"",""OMIM:612356"",""OMIM:614486""]","[""111293003.0""]"
