matrix_index,side_effect_name,optimuskg_id,optimuskg_name,ontology_namespace,matched_field,properties.code,properties.umls_cui,properties.concept_ids,properties.xrefs,properties.snomed_concept_ids
379,gout,HP_0001997,Gout,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0001997,C0003868,"[""21000713""]","[""SNOMEDCT_US:170733007"",""SNOMEDCT_US:190828008"",""UMLS:C0018099"",""SNOMEDCT_US:48440001"",""UMLS:C0003868"",""SNOMEDCT_US:90560007""]","[""48440001.0""]"
379,gout,meddra:10018627,Gout,MEDDRA,properties.name,"","",[],[],[]
383,blood in stool,HP_0025085,Bloody diarrhea,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0025085,"",[],[],[]
395,hemorrhoids,HP_0032551,Hemorrhoids,HPO,properties.name,"","",[],[],[]
399,hallucination,HP_0000738,Hallucinations,HPO,properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0000738,C0018524,"[""21003050""]","[""SNOMEDCT_US:7011001"",""UMLS:C0018524"",""UMLS:C0235153""]","[""7011001.0""]"
399,hallucination,meddra:10019063,Hallucination,MEDDRA,properties.name,"","",[],[],[]
401,headache,HP_0002315,Headache,HPO,properties.name;properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0002315,"",[],"[""UMLS:C0018681"",""SNOMEDCT_US:25064002"",""ICD10:R51""]",[]
401,headache,meddra:10019211,Headache,MEDDRA,properties.name,"","",[],[],[]
402,hemiplegia,HP_0002301,Hemiplegia,HPO,properties.name,"","",[],[],[]
405,hepatic failure,HP_0001399,Hepatic failure,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0001399,C0085605,"[""21002196"",""40249794""]","[""ICD10:K72"",""UMLS:C0085605"",""SNOMEDCT_US:59927004""]","[""59927004.0""]"
405,hepatic failure,meddra:10019663,Hepatic failure,MEDDRA,properties.name,"","",[],[],[]
407,hepatic necrosis,HP_0002605,Hepatic necrosis,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0002605,C0151798,"[""21002174""]","[""UMLS:C0151798"",""SNOMEDCT_US:87248009""]","[""87248009.0""]"
408,hepatic steatosis,HP_0001397,Hepatic steatosis,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0001397,C2711227,"[""21002186""]","[""UMLS:C2711227"",""SNOMEDCT_US:442191002"",""SNOMEDCT_US:197321007"",""SNOMEDCT:197321007"",""OMIM:228100"",""SNOMEDCT:442191002""]","[""197321007.0""]"
409,hepatitis,HP_0012115,Hepatitis,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0012115,C0019158,"[""21002197""]","[""SNOMEDCT_US:128241005"",""ICD10:B19"",""UMLS:C0019158"",""DOID:2237"",""NCIt:C3095""]","[""128241005.0""]"
409,hepatitis,meddra:10019717,Hepatitis,MEDDRA,properties.name,"","",[],[],[]
413,hepatomegaly,HP_0002240,Hepatomegaly,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0002240,C0019209,"[""21003266""]","[""UMLS:C0019209"",""SNOMEDCT_US:80515008""]","[""80515008.0""]"
415,hernia,HP_0100790,Hernia,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0100790,"",[],"[""SNOMEDCT_US:414403008"",""UMLS:C0019270"",""SNOMEDCT_US:52515009""]",[]
416,herpes simplex,meddra:10019948,Herpes simplex,MEDDRA,properties.name,"","",[],[],[]
419,hiatus hernia,HP_0002036,Hiatus hernia,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0002036,C3489393,"[""21002080""]","[""MEDDRA:10020028"",""SNOMEDCT_US:84089009"",""UMLS:C3489393""]","[""84089009.0""]"
421,hirsutism,HP_0001007,Hirsutism,HPO,properties.name,http://purl.obolibrary.org/obo/HP_0001007,"",[],"[""UMLS:C0019572"",""SNOMEDCT_US:399939002""]",[]
423,hot flush,meddra:10060800,Hot flush,MEDDRA,properties.name,"","",[],[],[]
