matrix_index,drug_name,optimuskg_id,optimuskg_name,matched_field,inchi_key,canonical_smiles,source_ids,accession_numbers,identity_class
89,bupivacaine,CHEMBL1098,BUPIVACAINE,properties.name;properties.synonyms,LEBVLXFERQHONN-UHFFFAOYSA-N,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,"[""human/EPAR/exparel-liposomal"",""bupivacaine"",""DB00297"",""77431""]",[],insufficient_structure
89,bupivacaine,RXNORM:1815,bupivacaine,properties.name,"","",[],[],insufficient_structure
91,tenofovir.disoproxil,CHEMBL1538,TENOFOVIR DISOPROXIL,properties.name;properties.synonyms,JFVZFKDSXNQEJW-CQSZACIVSA-N,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,"[""DB00300"",""63717""]",[],insufficient_structure
91,tenofovir.disoproxil,RXNORM:300195,tenofovir disoproxil,properties.name,"","",[],[],insufficient_structure
107,metformin,CHEMBL1431,METFORMIN,properties.name;properties.synonyms,XZWYZXLIPXDOLR-UHFFFAOYSA-N,CN(C)C(=N)NC(=N)N,"[""DB00331"",""6801""]",[],insufficient_structure
107,metformin,RXNORM:6809,metformin,properties.name,"","",[],[],insufficient_structure
116,nitisinone,CHEMBL1337,NITISINONE,properties.name;properties.synonyms,OUBCNLGXQFSTLU-UHFFFAOYSA-N,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],"[""human/EPAR/nityr"",""nitisinone"",""DB00348"",""50378""]",[],insufficient_structure
116,nitisinone,RXNORM:61805,nitisinone,properties.name,"","",[],[],insufficient_structure
128,treprostinil,CHEMBL1237119,TREPROSTINIL,properties.name;properties.synonyms,PAJMKGZZBBTTOY-ZFORQUDYSA-N,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,"[""DB00374"",""treprostinil"",""50861""]",[],insufficient_structure
128,treprostinil,RXNORM:343048,treprostinil,properties.name,"","",[],[],insufficient_structure
132,amlodipine,CHEMBL1491,AMLODIPINE,properties.name;properties.synonyms,HTIQEAQVCYTUBX-UHFFFAOYSA-N,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,"[""DB00381"",""2668""]",[],insufficient_structure
132,amlodipine,RXNORM:17767,amlodipine,properties.name,"","",[],[],insufficient_structure
152,allopurinol,CHEMBL1467,ALLOPURINOL,properties.name;properties.synonyms;properties.trade_names,OFCNXPDARWKPPY-UHFFFAOYSA-N,Oc1ncnc2[nH]ncc12,"[""DB00437"",""allopurinol"",""40279""]",[],insufficient_structure
152,allopurinol,RXNORM:519,allopurinol,properties.name,"","",[],[],insufficient_structure
172,lenalidomide,CHEMBL848,LENALIDOMIDE,properties.name;properties.synonyms,GOTYRUGSSMKFNF-UHFFFAOYSA-N,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,"[""lenalidomide"",""human/EPAR/revlimid"",""DB00480"",""63791""]",[],insufficient_structure
172,lenalidomide,RXNORM:342369,lenalidomide,properties.name,"","",[],[],insufficient_structure
181,entacapone,CHEMBL953,ENTACAPONE,properties.name;properties.synonyms;properties.trade_names,JRURYQJSLYLRLN-BJMVGYQFSA-N,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,"[""4798"",""DB00494"",""human/EPAR/entacapone-orion"",""entacapone""]",[],insufficient_structure
181,entacapone,RXNORM:60307,entacapone,properties.name,"","",[],[],insufficient_structure
188,ritonavir,CHEMBL163,RITONAVIR,properties.name;properties.synonyms;properties.trade_names,NCDNCNXCDXHOMX-XGKFQTDJSA-N,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,"[""DB00503"",""human/EPAR/norvir"",""ritonavir"",""45409""]",[],insufficient_structure
188,ritonavir,RXNORM:85762,ritonavir,properties.name,"","",[],[],insufficient_structure
194,caspofungin,CHEMBL1630575,CASPOFUNGIN,properties.name;properties.synonyms,JYIKNQVWKBUSNH-WVDDFWQHSA-N,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,[],[],equivalent_by_inchikey
194,caspofungin,DRUGBANK:DB00520,Caspofungin,properties.name;properties.synonyms,JYIKNQVWKBUSNH-WVDDFWQHSA-N,CC[C@H](C)C[C@H](C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@H](O)CCN,[],"[""APRD00199""]",equivalent_by_inchikey
197,oxaliplatin,CHEMBL414804,OXALIPLATIN,properties.name;properties.synonyms;properties.trade_names,"","","[""oxaliplatin""]",[],insufficient_structure
197,oxaliplatin,DRUGBANK:DB00526,Oxaliplatin,properties.name;properties.synonyms,ZROHGHOFXNOHSO-BNTLRKBRSA-L,"",[],"[""APRD00186""]",insufficient_structure
200,erlotinib,CHEMBL553,ERLOTINIB,properties.name;properties.synonyms,AAKJLRGGTJKAMG-UHFFFAOYSA-N,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,"[""DB00530"",""114785""]",[],insufficient_structure
200,erlotinib,RXNORM:337525,erlotinib,properties.name,"","",[],[],insufficient_structure
216,bosentan,CHEMBL957,BOSENTAN,properties.name;properties.synonyms,GJPICJJJRGTNOD-UHFFFAOYSA-N,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,"[""bosentan"",""human/EPAR/stayveer"",""human/EPAR/tracleer"",""51450"",""DB00559""]",[],insufficient_structure
216,bosentan,RXNORM:75207,bosentan,properties.name,"","",[],[],insufficient_structure
218,methotrexate,CHEMBL34259,METHOTREXATE,properties.name;properties.synonyms;properties.trade_names,FBOZXECLQNJBKD-ZDUSSCGKSA-N,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,"[""methotrexate"",""44185"",""human/EPAR/nordimet"",""DB00563""]",[],insufficient_structure
218,methotrexate,RXNORM:6851,methotrexate,properties.name,"","",[],[],insufficient_structure
222,propranolol,CHEMBL27,PROPRANOLOL,properties.name;properties.synonyms,AQHHHDLHHXJYJD-UHFFFAOYSA-N,CC(C)NCC(O)COc1cccc2ccccc12,"[""DB00571"",""8499""]",[],insufficient_structure
222,propranolol,RXNORM:8787,propranolol,properties.name,"","",[],[],insufficient_structure
233,gadoteridol,CHEMBL1200593,GADOTERIDOL,properties.name;properties.synonyms,"","","[""31643"",""gadoteridol""]",[],insufficient_structure
233,gadoteridol,DRUGBANK:DB00597,Gadoteridol,properties.name;properties.synonyms,DPNNNPAKRZOSMO-UHFFFAOYSA-K,"",[],"[""APRD00992""]",insufficient_structure
236,ivermectin,CHEMBL1200633,IVERMECTIN,properties.name;properties.synonyms;properties.trade_names,SPBDXSGPUHCETR-JFUDTMANSA-N,CC[C@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@@H](C(C)C)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O,"[""ivermectin""]",[],equivalent_by_inchikey
236,ivermectin,DRUGBANK:DB00602,Ivermectin,properties.name;properties.synonyms,SPBDXSGPUHCETR-JFUDTMANSA-N,"",[],"[""APRD01058""]",equivalent_by_inchikey
238,butorphanol,CHEMBL33986,BUTORPHANOL,properties.name;properties.synonyms,IFKLAQQSCNILHL-QHAWAJNXSA-N,Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3,"[""3242""]",[],equivalent_by_inchikey
238,butorphanol,DRUGBANK:DB00611,Butorphanol,properties.name;properties.synonyms,IFKLAQQSCNILHL-QHAWAJNXSA-N,OC1=CC2=C(C[C@H]3N(CC4CCC4)CC[C@@]22CCCC[C@@]32O)C=C1,[],"[""APRD00835""]",equivalent_by_inchikey
243,testosterone,CHEMBL386630,TESTOSTERONE,properties.name;properties.synonyms;properties.trade_names,MUMGGOZAMZWBJJ-DYKIIFRCSA-N,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,"[""human/EPAR/intrinsa"",""testosterone"",""17347"",""DB00624""]",[],insufficient_structure
243,testosterone,RXNORM:10379,testosterone,properties.name,"","",[],[],insufficient_structure
