matrix_index,side_effect_name,sider_umls_cui,optimuskg_match_count,meddra_match_count,hpo_match_count,canonical_optimuskg_id,alias_optimuskg_ids,mapping_status
201,conjunctival haemorrhage,C0009760,0,0,0,"",[],umls_no_optimuskg_match
202,congestion conjunctival,"",0,0,0,"",[],no_sider_umls
203,conjunctival oedema,C0151601,0,0,0,"",[],umls_no_optimuskg_match
204,conjunctivitis,C0009763,1,0,1,HP_0000509,[],umls_unique_other
205,conjunctivitis allergic,C0009766,0,0,0,"",[],umls_no_optimuskg_match
206,connective tissue disorder,C0009782,0,0,0,"",[],umls_no_optimuskg_match
207,constipation,C0009806,1,0,1,HP_0002019,[],umls_unique_other
208,contusion,C0009938,0,0,0,"",[],umls_no_optimuskg_match
209,conversion disorder,C0009946,0,0,0,"",[],umls_no_optimuskg_match
210,coordination abnormal,C0520966,0,0,0,"",[],umls_no_optimuskg_match
211,corneal erosion,C0392163,0,0,0,"",[],umls_no_optimuskg_match
212,corneal lesion,C0151571,0,0,0,"",[],umls_no_optimuskg_match
213,corneal opacity,C0010038,1,0,1,HP_0007957,[],umls_unique_other
214,coronary artery disease,C1956346,0,0,0,"",[],umls_no_optimuskg_match
215,cough,C0010200,1,0,1,HP_0012735,[],umls_unique_other
216,regional enteritis of unspecified site,"",0,0,0,"",[],no_sider_umls
217,crying,C0010399,0,0,0,"",[],umls_no_optimuskg_match
218,cushing syndrome,"",0,0,0,"",[],no_sider_umls
219,cyanosis,C0010520,0,0,0,"",[],umls_no_optimuskg_match
220,cyst,C0010709,0,0,0,"",[],umls_no_optimuskg_match
221,cystitis,C0010692,0,0,0,"",[],umls_no_optimuskg_match
222,cystitis haemorrhagic,C0085692,0,0,0,"",[],umls_no_optimuskg_match
223,cystitis non infective,"",0,0,0,"",[],no_sider_umls
224,deafness,C0011053,1,0,1,HP_0000365,[],umls_unique_other
225,decreased appetite,C0232462,0,0,0,"",[],umls_no_optimuskg_match
226,deep vein thrombosis,C0149871,0,0,0,"",[],umls_no_optimuskg_match
227,dehydration,C0011175,0,0,0,"",[],umls_no_optimuskg_match
228,delirium,C0011206,0,0,0,"",[],umls_no_optimuskg_match
229,delusion,C0011253,1,0,1,HP_0000746,[],umls_unique_other
230,dementia,C0497327,1,0,1,HP_0000726,[],umls_unique_other
231,dental caries,C0011334,0,0,0,"",[],umls_no_optimuskg_match
232,depressed level of consciousness,C0549249,0,0,0,"",[],umls_no_optimuskg_match
233,depressed mood,C0344315,0,0,0,"",[],umls_no_optimuskg_match
234,depression,C0011570,0,0,0,"",[],umls_no_optimuskg_match
235,feeling unreal,"",0,0,0,"",[],no_sider_umls
236,dermatitis,C0011603,1,0,1,HP_0011123,[],umls_unique_other
237,dermatitis acne,"",0,0,0,"",[],no_sider_umls
238,dermatitis atopic,C0011615,0,0,0,"",[],umls_no_optimuskg_match
239,dermatitis bullous,C0085932,0,0,0,"",[],umls_no_optimuskg_match
240,dermatitis contact,C0011616,0,0,0,"",[],umls_no_optimuskg_match
241,dermatitis exfoliating,"",0,0,0,"",[],no_sider_umls
242,diabetes mellitus,C0011849,1,0,1,HP_0000819,[],umls_unique_other
243,diarrhoea,C0011991,1,0,1,HP_0002014,[],umls_unique_other
244,diarrhoea haemorrhagic,C0151594,0,0,0,"",[],umls_no_optimuskg_match
245,diplopia,C0012569,1,0,1,HP_0000651,[],umls_unique_other
246,discomfort,C0234215,0,0,0,"",[],umls_no_optimuskg_match
247,disorientation,C0233407,0,0,0,"",[],umls_no_optimuskg_match
248,disseminated intravascular coagulation,C0012739,1,0,1,HP_0005521,[],umls_unique_other
249,disturbance in attention,C0233414,0,0,0,"",[],umls_no_optimuskg_match
250,disturbance in sexual arousal,C0855242,0,0,0,"",[],umls_no_optimuskg_match
