matrix_index,side_effect_name,sider_umls_cui,meddra_id,meddra_name,canonical_optimuskg_id,alias_optimuskg_ids,mapping_method,mapping_status,requires_review
396,hair colour changes,C0474378,10019030,Hair colour changes,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
397,hair disorder,C0018500,10019037,Hair disorder,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
398,hair texture abnormal,C0235807,10019049,Hair texture abnormal,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
400,hangover,C0221100,10019133,Hangover,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
402,hemiplegia,C0018991,10019468,Hemiplegia,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
403,hepatic cancer,C0345904,10073069,Hepatic cancer,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
404,hepatic enzyme increased,C0235996,10060795,Hepatic enzyme increased,,"[""HP_0002910""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
406,hepatic function abnormal,C0086565,10019670,Hepatic function abnormal,,"[""HP_0001410"",""HP_0002910""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
407,hepatic necrosis,C0151798,10019692,Hepatic necrosis,,"[""HP_0002605""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
408,hepatic steatosis,C2711227,10019708,Hepatic steatosis,,"[""HP_0001397""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
410,hepatitis cholestasis,,,,,[],,unresolved,True
411,hepatobiliary disease,C0267792,10062000,Hepatobiliary disease,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
412,hepatocellular injury,C0151763,10019837,Hepatocellular injury,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
413,hepatomegaly,C0019209,10019842,Hepatomegaly,,"[""HP_0002240""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
414,hepatotoxicity,C0235378,10019851,Hepatotoxicity,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
415,hernia,C0019270,10019909,Hernia,,"[""HP_0100790""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
417,herpes virus infection,C0019372,10019973,Herpes virus infection,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
