matrix_index,drug_name,stitch_id,stitch_found,distinct_stitch_inchikey_count,optimuskg_structure_match_count,optimuskg_structure_match_ids,structure_status
63,dapsone,CIDm00002955,true,10,1,"[""CHEMBL1043""]",unique_structure_match
64,terconazole,CIDm00441383,false,0,0,[],stitch_not_found
65,phenytoin,CIDm00001775,true,32,2,"[""CHEMBL16"",""CHEMBL1611""]",multiple_structure_matches
66,doxycycline,CIDm54671203,false,0,0,[],stitch_not_found
67,anagrelide,CIDm00002182,true,11,2,"[""CHEMBL1200759"",""CHEMBL760""]",multiple_structure_matches
68,carmustine,CIDm00002578,true,6,1,"[""CHEMBL513""]",unique_structure_match
69,metoprolol,CIDm00004171,true,208,4,"[""CHEMBL13"",""CHEMBL2062335"",""CHEMBL2356097"",""CHEMBL3989566""]",multiple_structure_matches
70,ropinirole,CIDm00005095,true,59,2,"[""CHEMBL1200411"",""CHEMBL589""]",multiple_structure_matches
71,isradipine,CIDm00003784,true,10,1,"[""CHEMBL1648""]",unique_structure_match
72,topiramate,CIDm05284627,false,0,0,[],stitch_not_found
73,olmesartan.medoxomil,CIDm00158781,true,4,1,"[""CHEMBL1516""]",unique_structure_match
74,amsacrine,CIDm00002179,true,12,1,"[""CHEMBL43""]",unique_structure_match
75,theophylline,CIDm00002153,true,79,1,"[""CHEMBL190""]",unique_structure_match
76,argatroban,CIDm00092721,false,0,0,[],stitch_not_found
77,lidocaine,CIDm00003676,true,32,2,"[""CHEMBL1200409"",""CHEMBL79""]",multiple_structure_matches
78,pamidronic.acid,CIDm00004673,true,30,2,"[""CHEMBL3989401"",""CHEMBL834""]",multiple_structure_matches
79,venlafaxine,CIDm00005656,true,279,2,"[""CHEMBL1201066"",""CHEMBL637""]",multiple_structure_matches
80,conjugated.estrogens,CIDm00168708,false,0,0,[],stitch_not_found
81,travoprost,CIDm05282226,false,0,0,[],stitch_not_found
82,atomoxetine,CIDm00054840,true,130,2,"[""CHEMBL1702"",""CHEMBL641""]",multiple_structure_matches
83,bleomycin,CIDm05360373,false,0,0,[],stitch_not_found
84,chlorambucil,CIDm00002708,true,8,1,"[""CHEMBL515""]",unique_structure_match
85,raltitrexed,CIDm00104758,true,9,1,"[""CHEMBL225071""]",unique_structure_match
86,etonogestrel,CIDm06917715,false,0,0,[],stitch_not_found
87,morphine,CIDm05288826,false,0,0,[],stitch_not_found
88,ropivacaine,CIDm00175804,false,0,0,[],stitch_not_found
89,bupivacaine,CIDm00002474,true,44,4,"[""CHEMBL1098"",""CHEMBL1200396"",""CHEMBL1200749"",""CHEMBL1201193""]",multiple_structure_matches
90,penciclovir,CIDm00004725,true,14,2,"[""CHEMBL1540"",""CHEMBL2079793""]",multiple_structure_matches
91,tenofovir.disoproxil,CIDm05481350,false,0,0,[],stitch_not_found
92,flucloxacillin,CIDm00021319,false,0,0,[],stitch_not_found
93,tranexamic.acid,CIDm00005526,true,10,0,[],stitch_found_no_optimuskg_match
94,ertapenem,CIDm00150610,true,40,1,"[""CHEMBL1359""]",unique_structure_match
95,bexarotene,CIDm00082146,true,9,1,"[""CHEMBL1023""]",unique_structure_match
96,ibutilide,CIDm00060752,true,24,2,"[""CHEMBL2355456"",""CHEMBL533""]",multiple_structure_matches
97,chlortalidone,CIDm00002732,true,6,2,"[""CHEMBL1055"",""CHEMBL402262""]",multiple_structure_matches
98,valproic.acid,CIDm00003121,true,63,4,"[""CHEMBL109"",""CHEMBL2105613"",""CHEMBL2315212"",""CHEMBL433""]",multiple_structure_matches
