matrix_index,side_effect_name,sider_umls_cui,optimuskg_id,optimuskg_name,ontology_namespace,optimuskg_umls_cui,optimuskg_code,is_meddra,was_previous_name_candidate
617,nasal congestion,C0027424,HP_0001742,Nasal congestion,HPO,"",http://purl.obolibrary.org/obo/HP_0001742,false,true
621,nausea,C0027497,HP_0002018,Nausea,HPO,C0027497,http://purl.obolibrary.org/obo/HP_0002018,false,true
622,neck pain,C0007859,HP_0030833,Neck pain,HPO,"",http://purl.obolibrary.org/obo/HP_0030833,false,true
627,nephropathy,C0022658,HP_0000077,Abnormality of the kidney,HPO,C0022658,http://purl.obolibrary.org/obo/HP_0000077,false,false
627,nephropathy,C0022658,HP_0000112,Nephropathy,HPO,C0022658,http://purl.obolibrary.org/obo/HP_0000112,false,true
635,neuropathy peripheral,C0031117,HP_0009830,Peripheral neuropathy,HPO,C0031117,http://purl.obolibrary.org/obo/HP_0009830,false,false
649,nuchal rigidity,C1320474,HP_0005986,Limitation of neck motion,HPO,"",http://purl.obolibrary.org/obo/HP_0005986,false,false
650,nystagmus,C0028738,HP_0000639,Nystagmus,HPO,"",http://purl.obolibrary.org/obo/HP_0000639,false,true
655,oedema,C0013604,HP_0000969,Edema,HPO,C0013604,http://purl.obolibrary.org/obo/HP_0000969,false,true
658,oesophageal stenosis,C0014866,HP_0002043,Esophageal stricture,HPO,C0014866,http://purl.obolibrary.org/obo/HP_0002043,false,false
658,oesophageal stenosis,C0014866,HP_0010450,Esophageal stenosis,HPO,C0014866,http://purl.obolibrary.org/obo/HP_0010450,false,false
664,optic atrophy,C0029124,HP_0000648,Optic atrophy,HPO,"",http://purl.obolibrary.org/obo/HP_0000648,false,true
676,osteonecrosis,C0029445,HP_0010885,Avascular necrosis,HPO,"",http://purl.obolibrary.org/obo/HP_0010885,false,true
677,osteoporosis,C0029456,HP_0000939,Osteoporosis,HPO,C0029456,http://purl.obolibrary.org/obo/HP_0000939,false,true
681,ovarian cyst,C0029927,HP_0000138,Ovarian cyst,HPO,C0029927,http://purl.obolibrary.org/obo/HP_0000138,false,true
683,pain,C0030193,HP_0012531,Pain,HPO,C0030193,http://purl.obolibrary.org/obo/HP_0012531,false,true
684,pain in extremity,C0030196,HP_0009763,Limb pain,HPO,"",http://purl.obolibrary.org/obo/HP_0009763,false,false
687,pallor,C0030232,HP_0000980,Pallor,HPO,"",http://purl.obolibrary.org/obo/HP_0000980,false,true
688,palpitations,C0030252,HP_0001962,Palpitations,HPO,"",http://purl.obolibrary.org/obo/HP_0001962,false,true
689,pancreatitis,C0030305,HP_0001733,Pancreatitis,HPO,C0030305,http://purl.obolibrary.org/obo/HP_0001733,false,true
690,pancreatitis acute,C0001339,HP_0001735,Acute pancreatitis,HPO,C0001339,http://purl.obolibrary.org/obo/HP_0001735,false,false
691,pancytopenia,C0030312,HP_0001876,Pancytopenia,HPO,C0030312,http://purl.obolibrary.org/obo/HP_0001876,false,true
698,paralysis,C0522224,HP_0003470,Paralysis,HPO,C0522224,http://purl.obolibrary.org/obo/HP_0003470,false,true
699,paranoia,C1456784,HP_0011999,Paranoia,HPO,C1456784,http://purl.obolibrary.org/obo/HP_0011999,false,true
701,parkinsonism,C0242422,HP_0001300,Parkinsonism,HPO,C0242422,http://purl.obolibrary.org/obo/HP_0001300,false,true
705,peptic ulcer,C0030920,HP_0004398,Peptic ulcer,HPO,C0030920,http://purl.obolibrary.org/obo/HP_0004398,false,true
706,pericardial effusion,C0031039,HP_0001698,Pericardial effusion,HPO,C0031039,http://purl.obolibrary.org/obo/HP_0001698,false,true
714,peripheral sensory neuropathy,C0151313,HP_0000763,Sensory neuropathy,HPO,"",http://purl.obolibrary.org/obo/HP_0000763,false,true
717,personality disorder,C0031212,HP_0012075,Personality disorder,HPO,"",http://purl.obolibrary.org/obo/HP_0012075,false,true
723,photophobia,C0085636,HP_0000613,Photophobia,HPO,C0085636,http://purl.obolibrary.org/obo/HP_0000613,false,true
729,platelet count decreased,C0392386,HP_0001873,Thrombocytopenia,HPO,C0040034,http://purl.obolibrary.org/obo/HP_0001873,false,false
730,pleural effusion,C0032227,HP_0002202,Pleural effusion,HPO,"",http://purl.obolibrary.org/obo/HP_0002202,false,true
731,pleurisy,C0032231,HP_0002102,Pleuritis,HPO,C0032231,http://purl.obolibrary.org/obo/HP_0002102,false,true
733,pneumonia,C0032285,HP_0002090,Pneumonia,HPO,C0032285,http://purl.obolibrary.org/obo/HP_0002090,false,true
735,pneumothorax,C0032326,HP_0002107,Pneumothorax,HPO,C0032326,http://purl.obolibrary.org/obo/HP_0002107,false,true
738,polydipsia,C0085602,HP_0001959,Polydipsia,HPO,C0085602,http://purl.obolibrary.org/obo/HP_0001959,false,true
740,polyuria,C0032617,HP_0000103,Polyuria,HPO,C0032617,http://purl.obolibrary.org/obo/HP_0000103,false,true
744,priapism,C0033117,HP_0200023,Priapism,HPO,C0033117,http://purl.obolibrary.org/obo/HP_0200023,false,true
754,proteinuria,C0033687,HP_0000093,Proteinuria,HPO,C0033687,http://purl.obolibrary.org/obo/HP_0000093,false,true
758,pruritus,C0033774,HP_0000989,Pruritus,HPO,C0033774,http://purl.obolibrary.org/obo/HP_0000989,false,true
767,pulmonary embolism,C0034065,HP_0002204,Pulmonary embolism,HPO,C0034065,http://purl.obolibrary.org/obo/HP_0002204,false,true
774,purpura,C0034150,HP_0000979,Purpura,HPO,C0034150,http://purl.obolibrary.org/obo/HP_0000979,false,true
