matrix_index,drug_name,stitch_id,name_resolution_status,name_selected_id,name_candidate_ids,structure_status,structure_match_ids,intersection_ids,proposed_optimuskg_id,evidence_class,confidence,final_status
69,metoprolol,CIDm00004171,resolved,CHEMBL13,"[""CHEMBL13""]",multiple_structure_matches,"[""CHEMBL13"",""CHEMBL2062335"",""CHEMBL2356097"",""CHEMBL3989566""]","[""CHEMBL13""]",CHEMBL13,confirmed_name_structure,very_high,resolved
70,ropinirole,CIDm00005095,resolved,CHEMBL589,"[""CHEMBL589""]",multiple_structure_matches,"[""CHEMBL1200411"",""CHEMBL589""]","[""CHEMBL589""]",CHEMBL589,confirmed_name_structure,very_high,resolved
71,isradipine,CIDm00003784,resolved,CHEMBL1648,"[""CHEMBL1648""]",unique_structure_match,"[""CHEMBL1648""]","[""CHEMBL1648""]",CHEMBL1648,confirmed_name_structure,very_high,resolved
72,topiramate,CIDm05284627,resolved,CHEMBL220492,"[""CHEMBL220492""]",stitch_not_found,[],[],CHEMBL220492,name_only_resolved,high,resolved
73,olmesartan.medoxomil,CIDm00158781,resolved,CHEMBL1200692,[],unique_structure_match,"[""CHEMBL1516""]",[],"",conflicting_evidence,review_required,review_required
74,amsacrine,CIDm00002179,resolved,CHEMBL43,"[""CHEMBL43""]",unique_structure_match,"[""CHEMBL43""]","[""CHEMBL43""]",CHEMBL43,confirmed_name_structure,very_high,resolved
75,theophylline,CIDm00002153,resolved,CHEMBL190,"[""CHEMBL190""]",unique_structure_match,"[""CHEMBL190""]","[""CHEMBL190""]",CHEMBL190,confirmed_name_structure,very_high,resolved
76,argatroban,CIDm00092721,resolved,CHEMBL1166,"[""CHEMBL1166""]",stitch_not_found,[],[],CHEMBL1166,name_only_resolved,high,resolved
77,lidocaine,CIDm00003676,resolved,CHEMBL79,"[""CHEMBL79""]",multiple_structure_matches,"[""CHEMBL1200409"",""CHEMBL79""]","[""CHEMBL79""]",CHEMBL79,confirmed_name_structure,very_high,resolved
78,pamidronic.acid,CIDm00004673,resolved,CHEMBL834,[],multiple_structure_matches,"[""CHEMBL3989401"",""CHEMBL834""]",[],CHEMBL834,confirmed_name_structure,very_high,resolved
79,venlafaxine,CIDm00005656,resolved,CHEMBL637,"[""CHEMBL637""]",multiple_structure_matches,"[""CHEMBL1201066"",""CHEMBL637""]","[""CHEMBL637""]",CHEMBL637,confirmed_name_structure,very_high,resolved
