matrix_index,drug_name,stitch_id,optimuskg_id,optimuskg_name,mapping_method,mapping_confidence,candidate_count,resolution_status
388,telmisartan,CIDm00065999,"","","","",2,ambiguous
389,desloratadine,CIDm00124087,"","","","",2,ambiguous
398,formoterol,CIDm03083544,"","","","",2,ambiguous
405,auranofin,CIDm06918453,"","","","",2,ambiguous
409,hydrochlorothiazide,CIDm00003639,"","","","",2,ambiguous
418,cinacalcet,CIDm00156418,"","","","",2,ambiguous
420,sulfamethoxazole.and.trimethoprim,CIDm00358641,"","","","",0,unmatched
433,memantine,CIDm00004054,"","","","",2,ambiguous
437,abacavir,CIDm00065139,"","","","",2,ambiguous
448,vigabatrin,CIDm00005665,"","","","",2,ambiguous
459,heparin,CIDm00000772,"","","","",2,ambiguous
467,pioglitazone,CIDm00004829,"","","","",2,ambiguous
480,itraconazole,CIDm00055283,"","","","",2,ambiguous
481,arsenic.trioxide,CIDm00014888,"","","","",2,ambiguous
497,levetiracetam,CIDm05284583,"","","","",2,ambiguous
498,nadolol,CIDm00039147,"","","","",2,ambiguous
509,budesonide,CIDm05281004,"","","","",2,ambiguous
512,paclitaxel,CIDm05352019,"","","","",2,ambiguous
515,levodopa,CIDm00441193,"","","","",2,ambiguous
516,aripiprazole,CIDm00060795,"","","","",2,ambiguous
530,posaconazole,CIDm00468595,"","","","",2,ambiguous
535,varenicline,CIDm00170361,"","","","",2,ambiguous
537,exenatide,CIDm16157882,"","","","",2,ambiguous
539,corticotropin,CIDm16132265,"","","","",2,ambiguous
541,insulin.aspart,CIDm16132418,"","","","",2,ambiguous
542,insulin.detemir,CIDm16137271,"","","","",2,ambiguous
548,rasagiline,CIDm03052775,"","","","",2,ambiguous
556,colestyramine,CIDm70695640,"","","","",2,ambiguous
562,everolimus,CIDm06442177,"","","","",2,ambiguous
569,fotemustine,CIDm00104799,"","","","",2,ambiguous
570,thiotepa,CIDm00005453,"","","","",2,ambiguous
575,febuxostat,CIDm00134018,"","","","",2,ambiguous
582,nesiritide,CIDm25081014,"","","","",2,ambiguous
588,ingenol.mebutate,CIDm06918670,"","","","",2,ambiguous
596,ecallantide,CIDm44201343,"","","","",2,ambiguous
597,romiplostim,CIDm05329098,"","","","",2,ambiguous
600,mipomersen,CIDm44564107,"","","","",2,ambiguous
602,ustekinumab,CIDm00121749,"","","","",2,ambiguous
603,abiraterone,CIDm00132971,"","","","",2,ambiguous
611,prasugrel,CIDm06918456,"","","","",2,ambiguous
614,tolvaptan,CIDm00216237,"","","","",2,ambiguous
618,lacosamide,CIDm00219078,"","","","",2,ambiguous
619,dalbavancin,CIDm44567678,"","","","",2,ambiguous
626,ziconotide,CIDm16129690,"","","","",2,ambiguous
627,teriparatide,CIDm16129682,"","","","",2,ambiguous
633,ambrisentan,CIDm06918493,"","","","",2,ambiguous
645,ofatumumab,CIDm06918250,"","","","",2,ambiguous
646,liraglutide,CIDm16134956,"","","","",2,ambiguous
657,buserelin,CIDm00050224,"","","","",2,ambiguous
664,histrelin,CIDm25077993,"","","","",2,ambiguous
