epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_aupr
1,1.425218995740747,1.056230996224883,0.6147443519619501,0.3938602001892654,0.5718707892939852
2,1.0841446457096866,0.9840712595496252,0.633769322235434,0.4911592044208829,0.6114615391856779
3,0.9927775306377933,0.9170643507938181,0.6521997621878716,0.5606215785997379,0.6450711055795413
4,0.9434619677017992,0.8973172822265081,0.6548751486325802,0.5705850912937522,0.6581381101596538
5,0.9072496671214347,0.8640533576538957,0.6712247324613555,0.6013672856600848,0.672724711137139
6,0.878601105182304,0.8618000893190273,0.6786563614744352,0.6170707958767869,0.6813742501035945
7,0.8595119014061547,0.872704684663471,0.6786563614744352,0.6028663734825896,0.6823796854506791
8,0.8402052198214034,0.8863757091810247,0.6694411414982164,0.5927960135453907,0.6825252031188211
9,0.8226357887701635,0.8420886131585991,0.6747919143876338,0.6340669791102795,0.6895560409474973
10,0.8017955745971749,0.8387401787194287,0.6857907253269917,0.622449441500726,0.6975604607102398
11,0.7909626368723053,0.873337932772642,0.6676575505350772,0.5809576776462425,0.6938797246615062
12,0.7714849085446284,0.847444035210309,0.6792508917954816,0.622579119864332,0.7031859365066169
13,0.7637355541745197,0.8223612084541819,0.6789536266349584,0.6335471137827653,0.7029144492864273
14,0.7551023002235157,0.8560652111996936,0.6920332936979786,0.624564253119648,0.6997086508520273
15,0.7415208583022341,0.8422605163560611,0.6961950059453033,0.6339919342216933,0.7049012817033024
16,0.7281864775469463,0.8461412233915113,0.6970868014268727,0.6441815843496572,0.7062928139466983
17,0.7153924080548018,0.8353149889482188,0.7033293697978596,0.6538981630796992,0.7099610829083731
18,0.7047570597273626,0.8606865021901805,0.6932223543400713,0.6409532477367874,0.7086118395439064
19,0.6971042328160499,0.8597724828935548,0.6771700356718192,0.6243913607152802,0.714881112472164
20,0.6846102395975326,0.8658513502615386,0.6822235434007135,0.6517071704124526,0.7088891825418486
21,0.6749835832244008,0.9177345200469462,0.6709274673008323,0.6259530737555977,0.697131725796651
22,0.6682998890008247,0.8395125401005875,0.6759809750297265,0.6406229714885721,0.7069378777485216
23,0.6564896564284619,0.8861774230258501,0.6941141498216409,0.6310799586762241,0.7130535099941158
24,0.6473133127844612,0.8828657858436938,0.6875743162901308,0.6412065989580592,0.7105478847238371
