epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_aupr
1,1.20996554633803,0.9842517792682444,0.6180142687277052,0.3730788319027759,0.5554486831086682
2,0.988421798673493,0.9142058998452639,0.6319857312722948,0.5036472301120596,0.6281900918552648
3,0.9210851916768028,0.8670554207848312,0.6495243757431629,0.5611369182266057,0.65118450884704
4,0.8860366028911796,0.8688728052427312,0.6593341260404281,0.5716393922416774,0.6571277874953737
5,0.8651002393879234,0.8427234397631905,0.664090368608799,0.5904926302944175,0.6627997271970854
6,0.8431008406177315,0.8280563297793357,0.6724137931034483,0.6115144589153556,0.6727164930328546
7,0.8237048409886096,0.8353696067891705,0.6643876337693222,0.6109550762343554,0.672266061916282
8,0.8073703278765907,0.8239797213414903,0.6721165279429251,0.6229381019401636,0.6810138246149535
9,0.796246098741454,0.8129099094343242,0.66884661117717,0.6239923449520732,0.685633502172169
10,0.7795925074564609,0.8151460321848231,0.6700356718192628,0.6279252694818692,0.6885102511510212
11,0.7675888300918239,0.813096635406848,0.6733055885850179,0.6205356419572027,0.6844939284689341
12,0.7616884856176194,0.8140305912877377,0.6765755053507729,0.6103290389562483,0.68366095154141
13,0.7504160456008064,0.810995578340628,0.6691438763376932,0.6125701849379954,0.6907844688262588
14,0.7396012687916139,0.8135041289040364,0.6795481569560048,0.6221847563944004,0.6897760114139782
15,0.7285977894989664,0.8155031198553749,0.687871581450654,0.6382414227769948,0.6961077515346696
16,0.7197053338621334,0.8194044335135098,0.6860879904875149,0.6326594338750708,0.6930624213401861
17,0.7131865870494412,0.8132697876795294,0.6736028537455411,0.6204356072811636,0.6950828495627844
18,0.6954317017710676,0.8275656513028139,0.6822235434007135,0.6362680064003795,0.6964234739085299
19,0.6939136317897041,0.8106236208349856,0.6860879904875149,0.6422273849558826,0.7044907569052872
20,0.6879798953307382,0.8382838499531876,0.6929250891795482,0.6414097702990855,0.6985321402847843
21,0.6796163832979149,0.835100874747731,0.6923305588585018,0.6438818683762729,0.7019499389480366
22,0.6685324220798429,0.8226512643585023,0.6866825208085613,0.6490047243999127,0.7061216061625586
23,0.6582954647109304,0.8329286504443846,0.6890606420927468,0.6340438457993709,0.7027768148931655
24,0.6548740859784943,0.8305308806059902,0.6979785969084423,0.6508638512641411,0.7053996542285693
25,0.6498037211458209,0.8448027801853865,0.6881688466111772,0.6517094426887372,0.7037402164233142
26,0.6422524879464006,0.8419150522291022,0.6973840665873959,0.6502573068086741,0.7044912098669761
27,0.6327109440104238,0.8405032245781136,0.6881688466111772,0.6464546810687171,0.706099409326476
28,0.6329214498036573,0.8354639217487839,0.6958977407847801,0.6457590857177955,0.7083731046060893
29,0.6218450180275912,0.8551073822765373,0.6917360285374554,0.6455475327721923,0.7044780070483876
30,0.6206690208503457,0.835398318793062,0.6899524375743162,0.6445802415209012,0.7076692247436983
