class,precision,recall,f1,support
1,0.6403508771929824,0.6134453781512605,0.6266094420600858,119
2,0.5995370370370371,0.6166666666666667,0.607981220657277,420
3,0.6494505494505495,0.5904095904095904,0.6185243328100472,1001
4,0.7583423035522067,0.7929093978615644,0.7752407152682256,1777
5,0.5835294117647059,0.5876777251184834,0.5855962219598583,422
