view_index,view_name,mean_pooling_weight,std_pooling_weight
0,drug_view_1,0.10190050303936005,0.010339589789509773
1,drug_view_2,0.09826499968767166,0.009435323998332024
2,drug_view_3,0.10336722433567047,0.009096045047044754
3,drug_view_4,0.09969708323478699,0.008100124076008797
4,drug_view_5,0.08938830345869064,0.008116643875837326
5,drug_view_6,0.06581296771764755,0.0027354469057172537
6,drug_view_7,0.0972260981798172,0.01235632412135601
7,drug_view_8,0.0711478441953659,0.0032158144749701023
8,drug_view_9,0.0920131579041481,0.004819616209715605
9,drug_view_10,0.10974924266338348,0.010469003580510616
10,drug_view_11,0.07143260538578033,0.00636046240106225
