class,precision,recall,f1,support
1,0.6634615384615384,0.5798319327731093,0.6188340807174888,119
2,0.5981308411214953,0.6095238095238096,0.6037735849056604,420
3,0.592433361994841,0.6883116883116883,0.6367837338262478,1001
4,0.7789855072463768,0.7259425998874508,0.7515292746868628,1777
5,0.5902061855670103,0.542654028436019,0.5654320987654321,422
