epoch,train_total_loss,train_frequency_loss,train_alignment_loss,val_frequency_loss,val_macro_f1,val_accuracy,val_aupr,mean_train_drug_kg_cosine,mean_val_drug_kg_cosine,alignment_drug_count,learning_rate,cuda_peak_allocated_mib,cuda_peak_reserved_mib
1,1.3893194944079779,1.3873220135459905,0.19898965542865776,1.0592922250099046,0.36093794157677384,0.6016646848989299,0.5577290646561213,0.8796285342614183,0.9507389401856322,729,0.0001,1195.13427734375,5460.0
2,1.071708016517754,1.0711936221823732,0.051442234168865175,0.9998207046926092,0.47160374493321183,0.611474435196195,0.5947075995258511,0.9604659385478382,0.9652656833775127,729,0.0001,1196.10498046875,5460.0
3,0.9887781365357685,0.9883931599839835,0.03849644091880954,0.9401850465078274,0.5593456811736692,0.6566587395957194,0.628607341630966,0.9677427368563062,0.9696830449203333,729,0.0001,1196.10498046875,5460.0
4,0.9421636452528117,0.9418349906501045,0.03286826016105459,0.9222291112654841,0.5954669791184939,0.652794292508918,0.6487139796224022,0.9706388689853527,0.9719611291116038,729,0.0001,1196.10498046875,5460.0
5,0.9065012109278058,0.9062044031316767,0.029675276673536196,0.8712941443594118,0.570119058888627,0.6623067776456599,0.665882012336361,0.9722914190449342,0.9731955641565232,729,0.0001,1196.10498046875,5460.0
6,0.8839978672305213,0.8837212483172151,0.027663964447108908,0.8666402197904735,0.5940170302304595,0.6658739595719382,0.6722877928184694,0.9733784596942907,0.9742059066844063,729,0.0001,1196.10498046875,5460.0
7,0.8613876411392389,0.8611254485102849,0.026221430268411748,0.8811234544772172,0.5937872074714573,0.6736028537455411,0.6790933649609696,0.9741892460605899,0.9749686270476149,729,0.0001,1196.10498046875,5460.0
8,0.8435560810315594,0.8433044236396927,0.025170121371978462,0.9168063576524805,0.5854122612493925,0.6623067776456599,0.673298457883073,0.9747958377064991,0.9756061627080266,729,0.0001,1196.10498046875,5460.0
9,0.8262393689820039,0.8259975582365158,0.024180797945416013,0.8612414506329368,0.6336835117268149,0.6747919143876338,0.6866456441342771,0.9753233254855225,0.9759907852917814,729,0.0001,1196.10498046875,5460.0
10,0.8077545644836718,0.8075207915477403,0.02337831445939031,0.8500095519384504,0.6219302581010437,0.6786563614744352,0.6879196035674293,0.9757834627958646,0.9765088995234273,729,0.0001,1196.10498046875,5460.0
11,0.8014140715767222,0.801186346107108,0.022769787006646048,0.8621508757651348,0.5920355979422786,0.6756837098692033,0.6863659832451346,0.9761621068207488,0.9771236407871063,729,0.0001,1196.10498046875,5460.0
12,0.7783454729109046,0.77812564660372,0.02198682604968568,0.8468009029358944,0.619150441373931,0.6697384066587396,0.6912546153502002,0.9768284358114863,0.9777274366004017,729,0.0001,1196.10498046875,5460.0
13,0.7711335618332817,0.7709207346119413,0.021291441541645285,0.837376638201556,0.6253679745980035,0.6652794292508918,0.6965377700044602,0.9772012782358502,0.9782099122056565,729,0.0001,1196.10498046875,5460.0
14,0.7632246596890985,0.7630182848535966,0.020646227847900864,0.8202922527061489,0.6427673124393184,0.6908442330558858,0.7030178811611643,0.9778942962078727,0.9787713811991695,729,0.0001,1196.10498046875,5460.0
15,0.7486869254840947,0.7484867857620779,0.020018644182637813,0.8535202564439082,0.604778152926566,0.6774673008323424,0.6933794856414313,0.9783661633689054,0.9791511334359836,729,0.0001,1196.10498046875,5460.0
16,0.7366571538106026,0.7364615180536174,0.019570949079152074,0.8345410913122678,0.6370627468826836,0.6851961950059453,0.6974233805421934,0.9786618912825041,0.9794974914564493,729,0.0001,1196.10498046875,5460.0
17,0.7274166900783151,0.7272238430015132,0.01928701506633323,0.9257599473991802,0.5864737674906998,0.6819262782401903,0.6924220836563317,0.9789316016460152,0.9794366274969265,729,0.0001,1196.10498046875,5460.0
18,0.714300021834267,0.7141068959831326,0.019318100950279988,0.9045864761797058,0.5990801143341986,0.6795481569560048,0.6981467292163603,0.9788357300686411,0.9798187469712462,729,0.0001,1196.10498046875,5460.0
19,0.7104678152968241,0.710276199889268,0.019173746142230212,0.8640251964791351,0.6265325309251824,0.6569560047562426,0.6985988380532949,0.9789554311578329,0.9797499656867676,729,0.0001,1196.10498046875,5460.0
20,0.703521569470184,0.7033310071619951,0.019061308042584435,0.8482550556963038,0.6438058198079428,0.6923305588585018,0.7053848622378387,0.9789529346307773,0.9796844311415578,729,0.0001,1196.10498046875,5460.0
21,0.6939113529807682,0.693721144442797,0.01903209412043826,0.9362909731485047,0.6132688042485561,0.6676575505350772,0.6876083899522559,0.9789016308117305,0.9796621790899637,729,0.0001,1196.10498046875,5460.0
22,0.680633478711987,0.6804445407819187,0.018900370355730497,0.8324543125705969,0.6516181105932132,0.6866825208085613,0.708471966058247,0.978946988474685,0.9797724995750208,729,0.0001,1196.10498046875,5460.0
23,0.6693664737790724,0.6691797681141995,0.018684693075866555,0.9282387476613774,0.6196767262513998,0.6756837098692033,0.6991510053479713,0.9791088770609988,0.9798492388412975,729,0.0001,1196.10498046875,5460.0
24,0.6654681204615834,0.6652811590108291,0.018704862098046976,0.8904708877613372,0.6335750765447973,0.6950059453032105,0.7098859561711803,0.9790806439187791,0.9798229864230171,729,0.0001,1196.10498046875,5460.0
25,0.6550570350313042,0.6548701914829617,0.01868589818315466,0.8656534439885234,0.6330401963128696,0.6932223543400713,0.7008455725796493,0.9791956614237918,0.9799435803303703,729,0.0001,1196.10498046875,5460.0
26,0.646871270567844,0.6466843987484303,0.018701880900722837,0.854993464405273,0.645718166649232,0.6961950059453033,0.70719223535669,0.9791491175548203,0.9797459966458452,729,0.0001,1196.10498046875,5460.0
27,0.6406558877000593,0.6404701467392356,0.018591014969141794,0.9639219866354599,0.6130938777478911,0.6825208085612366,0.6959874754485011,0.9792044370426235,0.9798618694082998,729,0.0001,1196.10498046875,5460.0
28,0.6338720944784006,0.6336871041456124,0.01850764131802245,0.8558907557044103,0.6387344319643711,0.6822235434007135,0.7108686888395688,0.9791167155214788,0.9799309973709118,729,0.0001,1196.10498046875,5460.0
29,0.6239840680141144,0.62379895674003,0.018518641907223982,0.8932251462471471,0.6342704666372476,0.6557669441141498,0.6959354017093531,0.9792514466290938,0.9798273446080022,729,0.0001,1196.10498046875,5460.0
