node_id,node_type,name,source
BIOKORF_DRUG_083,BIOKORF_DRUG,bleomycin,BioKORF
BIOKORF_DRUG_084,BIOKORF_DRUG,chlorambucil,BioKORF
BIOKORF_DRUG_085,BIOKORF_DRUG,raltitrexed,BioKORF
BIOKORF_DRUG_086,BIOKORF_DRUG,etonogestrel,BioKORF
BIOKORF_DRUG_087,BIOKORF_DRUG,morphine,BioKORF
BIOKORF_DRUG_088,BIOKORF_DRUG,ropivacaine,BioKORF
BIOKORF_DRUG_089,BIOKORF_DRUG,bupivacaine,BioKORF
BIOKORF_DRUG_090,BIOKORF_DRUG,penciclovir,BioKORF
BIOKORF_DRUG_091,BIOKORF_DRUG,tenofovir.disoproxil,BioKORF
BIOKORF_DRUG_092,BIOKORF_DRUG,flucloxacillin,BioKORF
BIOKORF_DRUG_093,BIOKORF_DRUG,tranexamic.acid,BioKORF
BIOKORF_DRUG_094,BIOKORF_DRUG,ertapenem,BioKORF
BIOKORF_DRUG_095,BIOKORF_DRUG,bexarotene,BioKORF
BIOKORF_DRUG_096,BIOKORF_DRUG,ibutilide,BioKORF
BIOKORF_DRUG_097,BIOKORF_DRUG,chlortalidone,BioKORF
BIOKORF_DRUG_098,BIOKORF_DRUG,valproic.acid,BioKORF
BIOKORF_DRUG_099,BIOKORF_DRUG,zolmitriptan,BioKORF
BIOKORF_DRUG_100,BIOKORF_DRUG,paracetamol,BioKORF
BIOKORF_DRUG_101,BIOKORF_DRUG,gefitinib,BioKORF
BIOKORF_DRUG_102,BIOKORF_DRUG,piperacillin,BioKORF
BIOKORF_DRUG_103,BIOKORF_DRUG,dihydroergotamine,BioKORF
BIOKORF_DRUG_104,BIOKORF_DRUG,tolcapone,BioKORF
BIOKORF_DRUG_105,BIOKORF_DRUG,hydromorphone,BioKORF
BIOKORF_DRUG_106,BIOKORF_DRUG,indometacin,BioKORF
BIOKORF_DRUG_107,BIOKORF_DRUG,metformin,BioKORF
BIOKORF_DRUG_108,BIOKORF_DRUG,ipratropium.bromide,BioKORF
BIOKORF_DRUG_109,BIOKORF_DRUG,olanzapine,BioKORF
BIOKORF_DRUG_110,BIOKORF_DRUG,atenolol,BioKORF
BIOKORF_DRUG_111,BIOKORF_DRUG,pimecrolimus,BioKORF
BIOKORF_DRUG_112,BIOKORF_DRUG,omeprazole,BioKORF
BIOKORF_DRUG_113,BIOKORF_DRUG,cetirizine,BioKORF
BIOKORF_DRUG_114,BIOKORF_DRUG,diltiazem,BioKORF
BIOKORF_DRUG_115,BIOKORF_DRUG,alfuzosin,BioKORF
BIOKORF_DRUG_116,BIOKORF_DRUG,nitisinone,BioKORF
BIOKORF_DRUG_117,BIOKORF_DRUG,clobazam,BioKORF
BIOKORF_DRUG_118,BIOKORF_DRUG,megestrol,BioKORF
BIOKORF_DRUG_119,BIOKORF_DRUG,aztreonam,BioKORF
BIOKORF_DRUG_120,BIOKORF_DRUG,sapropterin,BioKORF
