class,precision,recall,f1,support
1,0.6730769230769231,0.5882352941176471,0.6278026905829597,119
2,0.5724137931034483,0.5928571428571429,0.5824561403508771,420
3,0.6346749226006192,0.6143856143856143,0.6243654822335025,1001
4,0.7624398073836276,0.8019133370849747,0.7816785518376304,1777
5,0.6132596685082873,0.5260663507109005,0.5663265306122449,422
