source_drug_index,target_drug_index,edge_value,kg_structure_score,gene_jaccard,pathway_jaccard,task_similarity,normalized_task_similarity,combined_score,task_overlap_count,edge_origin
2,18,1.0,1.0,1.0,1.0,0.9258200997725516,0.9629100498862758,,6,STRUCTURE_ONLY
2,651,1.0,1.0,1.0,1.0,0.9561828874675149,0.9780914437337574,,4,STRUCTURE_ONLY
2,663,1.0,1.0,1.0,1.0,,,,2,STRUCTURE_ONLY
2,672,1.0,1.0,1.0,1.0,0.9476984899448786,0.9738492449724393,,16,STRUCTURE_ONLY
2,3,0.5833333333333333,0.5833333333333333,0.5,0.6666666666666666,0.9325048082403137,0.9662524041201568,,22,STRUCTURE_ONLY
2,81,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.7559289460184544,0.8779644730092272,,4,STRUCTURE_ONLY
2,373,0.1,0.1,0.0,0.2,,,,2,STRUCTURE_ONLY
2,322,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,,,,2,STRUCTURE_ONLY
2,552,0.07777777777777778,0.07777777777777778,0.1,0.05555555555555555,0.9428090415820635,0.9714045207910318,,3,STRUCTURE_ONLY
2,113,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,,,,0,STRUCTURE_ONLY
3,2,0.5833333333333333,0.5833333333333333,0.5,0.6666666666666666,0.9325048082403137,0.9662524041201568,,22,STRUCTURE_ONLY
3,18,0.5833333333333333,0.5833333333333333,0.5,0.6666666666666666,0.9636241116594315,0.9818120558297158,,10,STRUCTURE_ONLY
3,651,0.5833333333333333,0.5833333333333333,0.5,0.6666666666666666,0.9166666666666669,0.9583333333333335,,6,STRUCTURE_ONLY
3,663,0.5833333333333333,0.5833333333333333,0.5,0.6666666666666666,-0.4999999999999999,0.25000000000000006,,5,STRUCTURE_ONLY
3,672,0.5833333333333333,0.5833333333333333,0.5,0.6666666666666666,0.8864052604279183,0.9432026302139591,,27,STRUCTURE_ONLY
3,373,0.2,0.2,0.0,0.4,0.9045340337332909,0.9522670168666454,,5,STRUCTURE_ONLY
3,629,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.8528028654224419,0.9264014327112209,,9,STRUCTURE_ONLY
3,81,0.125,0.125,0.0,0.25,0.4472135954999579,0.7236067977499789,,12,STRUCTURE_ONLY
3,552,0.07248157248157248,0.07248157248157248,0.09090909090909091,0.05405405405405406,0.9486832980505138,0.9743416490252569,,6,STRUCTURE_ONLY
3,322,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,0.9438798074485389,0.9719399037242695,,5,STRUCTURE_ONLY
6,564,0.4647058823529412,0.4647058823529412,0.4,0.5294117647058824,0.8451542547285165,0.9225771273642582,,5,STRUCTURE_ONLY
6,675,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,,,,0,STRUCTURE_ONLY
6,167,0.305,0.305,0.25,0.36,0.9428090415820632,0.9714045207910316,,6,STRUCTURE_ONLY
6,344,0.2967032967032967,0.2967032967032967,0.2857142857142857,0.3076923076923077,0.8485281374238569,0.9242640687119285,,5,STRUCTURE_ONLY
6,350,0.293859649122807,0.293859649122807,0.16666666666666666,0.42105263157894735,0.5345224838248488,0.7672612419124244,,13,STRUCTURE_ONLY
6,419,0.2612781954887218,0.2612781954887218,0.2857142857142857,0.23684210526315788,0.6537204504606136,0.8268602252303068,,9,STRUCTURE_ONLY
6,202,0.21253071253071254,0.21253071253071254,0.18181818181818182,0.24324324324324326,0.6666666666666667,0.8333333333333334,,6,STRUCTURE_ONLY
6,213,0.20495495495495497,0.20495495495495497,0.16666666666666666,0.24324324324324326,0.8660254037844387,0.9330127018922194,,6,STRUCTURE_ONLY
