source_drug_index,target_drug_index,edge_value,kg_structure_score,gene_jaccard,pathway_jaccard,task_similarity,normalized_task_similarity,combined_score,task_overlap_count,edge_origin
2,651,0.9890457218668787,1.0,1.0,1.0,0.9561828874675149,0.9780914437337574,0.9890457218668787,4,KG_TASK_EXPLICIT
2,672,0.9869246224862196,1.0,1.0,1.0,0.9476984899448786,0.9738492449724393,0.9869246224862196,16,KG_TASK_EXPLICIT
2,18,0.981455024943138,1.0,1.0,1.0,0.9258200997725516,0.9629100498862758,0.981455024943138,6,KG_TASK_EXPLICIT
2,3,0.774792868726745,0.5833333333333333,0.5,0.6666666666666666,0.9325048082403137,0.9662524041201568,0.774792868726745,22,KG_TASK_EXPLICIT
2,552,0.5245911492844048,0.07777777777777778,0.1,0.05555555555555555,0.9428090415820635,0.9714045207910318,0.5245911492844048,3,KG_TASK_EXPLICIT
2,81,0.5223155698379469,0.16666666666666666,0.0,0.3333333333333333,0.7559289460184544,0.8779644730092272,0.5223155698379469,4,KG_TASK_EXPLICIT
2,629,0.5219420813450527,0.07142857142857142,0.0,0.14285714285714285,0.944911182523068,0.972455591261534,0.5219420813450527,4,KG_TASK_EXPLICIT
2,274,0.5183403899401219,0.05555555555555555,0.0,0.1111111111111111,0.9622504486493763,0.9811252243246882,0.5183403899401219,3,KG_TASK_EXPLICIT
2,452,0.5166666666666667,0.03333333333333333,0.0,0.06666666666666667,1.0000000000000002,1.0,0.5166666666666667,3,KG_TASK_EXPLICIT
2,716,0.515625,0.03125,0.0,0.0625,1.0000000000000002,1.0,0.515625,3,KG_TASK_EXPLICIT
3,18,0.7825726945815246,0.5833333333333333,0.5,0.6666666666666666,0.9636241116594315,0.9818120558297158,0.7825726945815246,10,KG_TASK_EXPLICIT
3,2,0.774792868726745,0.5833333333333333,0.5,0.6666666666666666,0.9325048082403137,0.9662524041201568,0.774792868726745,22,KG_TASK_EXPLICIT
3,651,0.7708333333333334,0.5833333333333333,0.5,0.6666666666666666,0.9166666666666669,0.9583333333333335,0.7708333333333334,6,KG_TASK_EXPLICIT
3,672,0.7632679817736462,0.5833333333333333,0.5,0.6666666666666666,0.8864052604279183,0.9432026302139591,0.7632679817736462,27,KG_TASK_EXPLICIT
3,373,0.5761335084333227,0.2,0.0,0.4,0.9045340337332909,0.9522670168666454,0.5761335084333227,5,KG_TASK_EXPLICIT
3,629,0.5346292877841818,0.14285714285714285,0.0,0.2857142857142857,0.8528028654224419,0.9264014327112209,0.5346292877841818,9,KG_TASK_EXPLICIT
3,113,0.53125,0.0625,0.0,0.125,1.0,1.0,0.53125,4,KG_TASK_EXPLICIT
3,552,0.5234116107534147,0.07248157248157248,0.09090909090909091,0.05405405405405406,0.9486832980505138,0.9743416490252569,0.5234116107534147,6,KG_TASK_EXPLICIT
3,322,0.5216842375764205,0.07142857142857142,0.0,0.14285714285714285,0.9438798074485389,0.9719399037242695,0.5216842375764205,5,KG_TASK_EXPLICIT
3,229,0.5208333333333334,0.041666666666666664,0.0,0.08333333333333333,1.0000000000000002,1.0,0.5208333333333334,9,KG_TASK_EXPLICIT
6,564,0.6936415048585998,0.4647058823529412,0.4,0.5294117647058824,0.8451542547285165,0.9225771273642582,0.6936415048585998,5,KG_TASK_EXPLICIT
6,167,0.6382022603955158,0.305,0.25,0.36,0.9428090415820632,0.9714045207910316,0.6382022603955158,6,KG_TASK_EXPLICIT
6,344,0.6104836827076126,0.2967032967032967,0.2857142857142857,0.3076923076923077,0.8485281374238569,0.9242640687119285,0.6104836827076126,5,KG_TASK_EXPLICIT
6,225,0.5838235294117646,0.16764705882352943,0.1,0.23529411764705882,0.9999999999999998,0.9999999999999999,0.5838235294117646,5,KG_TASK_EXPLICIT
6,120,0.5804387429139559,0.18458781362007168,0.1111111111111111,0.25806451612903225,0.9525793444156805,0.9762896722078402,0.5804387429139559,3,KG_TASK_EXPLICIT
6,327,0.572632771775953,0.19805194805194803,0.18181818181818182,0.21428571428571427,0.8944271909999159,0.9472135954999579,0.572632771775953,6,KG_TASK_EXPLICIT
6,213,0.5689838284235872,0.20495495495495497,0.16666666666666666,0.24324324324324326,0.8660254037844387,0.9330127018922194,0.5689838284235872,6,KG_TASK_EXPLICIT
6,419,0.5440692103595143,0.2612781954887218,0.2857142857142857,0.23684210526315788,0.6537204504606136,0.8268602252303068,0.5440692103595143,9,KG_TASK_EXPLICIT
6,350,0.5305604455176157,0.293859649122807,0.16666666666666666,0.42105263157894735,0.5345224838248488,0.7672612419124244,0.5305604455176157,13,KG_TASK_EXPLICIT
6,726,0.53,0.06,0.0,0.12,1.0000000000000002,1.0,0.53,3,KG_TASK_EXPLICIT
14,679,0.7106918238993711,0.42138364779874216,0.3333333333333333,0.5094339622641509,0.9999999999999999,1.0,0.7106918238993711,7,KG_TASK_EXPLICIT
14,630,0.7074089197507236,0.44047619047619047,0.38095238095238093,0.5,0.9486832980505138,0.9743416490252569,0.7074089197507236,5,KG_TASK_EXPLICIT
14,568,0.7034097569545981,0.42872807017543857,0.3157894736842105,0.5416666666666666,0.9561828874675149,0.9780914437337574,0.7034097569545981,7,KG_TASK_EXPLICIT
14,50,0.701876280098522,0.4274628879892038,0.34615384615384615,0.5087719298245614,0.9525793444156805,0.9762896722078402,0.701876280098522,6,KG_TASK_EXPLICIT
14,721,0.6853413717452717,0.4358695652173913,0.35,0.5217391304347826,0.8696263565463043,0.9348131782731521,0.6853413717452717,13,KG_TASK_EXPLICIT
14,513,0.6810679779213609,0.41700404858299595,0.3076923076923077,0.5263157894736842,0.8902638145194514,0.9451319072597257,0.6810679779213609,14,KG_TASK_EXPLICIT
14,135,0.6704545454545454,0.34090909090909094,0.3,0.38181818181818183,1.0000000000000002,1.0,0.6704545454545454,3,KG_TASK_EXPLICIT
14,392,0.6650029112491708,0.37072649572649574,0.2222222222222222,0.5192307692307693,0.9185586535436917,0.9592793267718458,0.6650029112491708,9,KG_TASK_EXPLICIT
14,333,0.654684199989156,0.33672131147540985,0.28,0.39344262295081966,0.9452941770058044,0.9726470885029022,0.654684199989156,10,KG_TASK_EXPLICIT
14,375,0.6524302546695218,0.4041666666666667,0.35,0.4583333333333333,0.801387685344754,0.900693842672377,0.6524302546695218,20,KG_TASK_EXPLICIT
16,599,0.7864313358485377,0.5875,0.375,0.8,0.9707253433941511,0.9853626716970756,0.7864313358485377,4,KG_TASK_EXPLICIT
16,637,0.7815063509461098,0.63,0.5,0.76,0.8660254037844387,0.9330127018922194,0.7815063509461098,4,KG_TASK_EXPLICIT
16,41,0.7381448361039201,0.5,0.5,0.5,0.9525793444156805,0.9762896722078402,0.7381448361039201,6,KG_TASK_EXPLICIT
16,676,0.7379464873636893,0.49053030303030304,0.375,0.6060606060606061,0.9707253433941511,0.9853626716970756,0.7379464873636893,4,KG_TASK_EXPLICIT
16,531,0.7344534629273929,0.5446428571428572,0.375,0.7142857142857143,0.8485281374238569,0.9242640687119285,0.7344534629273929,8,KG_TASK_EXPLICIT
16,415,0.7315174725667284,0.4833333333333333,0.3333333333333333,0.6333333333333333,0.9594032236002469,0.9797016118001234,0.7315174725667284,9,KG_TASK_EXPLICIT
16,324,0.7217833511863225,0.4711111111111111,0.2222222222222222,0.72,0.944911182523068,0.972455591261534,0.7217833511863225,4,KG_TASK_EXPLICIT
16,678,0.7181818181818181,0.43636363636363634,0.2727272727272727,0.6,1.0000000000000002,1.0,0.7181818181818181,3,KG_TASK_EXPLICIT
16,335,0.712379055200212,0.44666666666666666,0.3333333333333333,0.56,0.9561828874675149,0.9780914437337574,0.712379055200212,5,KG_TASK_EXPLICIT
16,321,0.709871271668713,0.5114942528735632,0.3333333333333333,0.6896551724137931,0.8164965809277259,0.9082482904638629,0.709871271668713,3,KG_TASK_EXPLICIT
18,651,0.9905626121623441,1.0,1.0,1.0,0.9622504486493763,0.9811252243246882,0.9905626121623441,3,KG_TASK_EXPLICIT
18,672,0.9858640882624317,1.0,1.0,1.0,0.9434563530497265,0.9717281765248633,0.9858640882624317,10,KG_TASK_EXPLICIT
18,2,0.981455024943138,1.0,1.0,1.0,0.9258200997725516,0.9629100498862758,0.981455024943138,6,KG_TASK_EXPLICIT
18,3,0.7825726945815246,0.5833333333333333,0.5,0.6666666666666666,0.9636241116594315,0.9818120558297158,0.7825726945815246,10,KG_TASK_EXPLICIT
18,373,0.5405626121623441,0.1,0.0,0.2,0.9622504486493763,0.9811252243246882,0.5405626121623441,3,KG_TASK_EXPLICIT
18,81,0.5374574785652648,0.16666666666666666,0.0,0.3333333333333333,0.8164965809277259,0.9082482904638629,0.5374574785652648,3,KG_TASK_EXPLICIT
18,322,0.5298115027705868,0.08333333333333333,0.0,0.16666666666666666,0.9525793444156805,0.9762896722078402,0.5298115027705868,3,KG_TASK_EXPLICIT
18,274,0.5149486022904062,0.05555555555555555,0.0,0.1111111111111111,0.9486832980505138,0.9743416490252569,0.5149486022904062,4,KG_TASK_EXPLICIT
18,26,0.5140457218668787,0.05,0.0,0.1,0.9561828874675149,0.9780914437337574,0.5140457218668787,5,KG_TASK_EXPLICIT
18,344,0.5138888888888888,0.027777777777777776,0.0,0.05555555555555555,1.0000000000000002,1.0,0.5138888888888888,3,KG_TASK_EXPLICIT
21,515,0.5234073829870091,0.07345013477088949,0.07142857142857142,0.07547169811320754,0.9467292624062573,0.9733646312031287,0.5234073829870091,9,KG_TASK_EXPLICIT
21,218,0.5071180110235052,0.03614457831325301,0.0,0.07228915662650602,0.9561828874675149,0.9780914437337574,0.5071180110235052,7,KG_TASK_EXPLICIT
21,463,0.5050505050505051,0.010101010101010102,0.0,0.020202020202020204,1.0000000000000002,1.0,0.5050505050505051,3,KG_TASK_EXPLICIT
21,583,0.5043859649122807,0.008771929824561403,0.0,0.017543859649122806,1.0000000000000002,1.0,0.5043859649122807,3,KG_TASK_EXPLICIT
21,142,0.5042372881355932,0.00847457627118644,0.0,0.01694915254237288,1.0,1.0,0.5042372881355932,4,KG_TASK_EXPLICIT
21,713,0.5033126684688578,0.029411764705882353,0.0,0.058823529411764705,0.9544271444636668,0.9772135722318334,0.5033126684688578,11,KG_TASK_EXPLICIT
21,37,0.5024447791951303,0.02040816326530612,0.0,0.04081632653061224,0.968962790249909,0.9844813951249545,0.5024447791951303,6,KG_TASK_EXPLICIT
21,240,0.5023364485981308,0.004672897196261682,0.0,0.009345794392523364,0.9999999999999998,0.9999999999999999,0.5023364485981308,5,KG_TASK_EXPLICIT
21,712,0.5014532656730992,0.017543859649122806,0.0,0.03508771929824561,0.9707253433941511,0.9853626716970756,0.5014532656730992,4,KG_TASK_EXPLICIT
21,321,0.5005740308958105,0.016666666666666666,0.0,0.03333333333333333,0.968962790249909,0.9844813951249545,0.5005740308958105,6,KG_TASK_EXPLICIT
22,47,0.4870648400246792,0.18545454545454548,0.09090909090909091,0.28,0.5773502691896258,0.7886751345948129,0.4870648400246792,3,KG_TASK_EXPLICIT
22,214,0.4646875255136216,0.02112676056338028,0.0,0.04225352112676056,0.8164965809277259,0.9082482904638629,0.4646875255136216,3,KG_TASK_EXPLICIT
22,299,0.41777506729740643,0.046875,0.0,0.09375,0.5773502691896258,0.7886751345948129,0.41777506729740643,3,KG_TASK_EXPLICIT
23,53,0.7085954731051478,0.4762323943661972,0.375,0.5774647887323944,0.8819171036881969,0.9409585518440984,0.7085954731051478,9,KG_TASK_EXPLICIT
23,249,0.6993421767357422,0.4761072261072261,0.34615384615384615,0.6060606060606061,0.8451542547285165,0.9225771273642582,0.6993421767357422,7,KG_TASK_EXPLICIT
23,446,0.695613455094424,0.42351973684210525,0.28125,0.5657894736842105,0.9354143466934852,0.9677071733467426,0.695613455094424,8,KG_TASK_EXPLICIT
23,154,0.6610507246376811,0.32210144927536233,0.2608695652173913,0.38333333333333336,1.0000000000000002,1.0,0.6610507246376811,3,KG_TASK_EXPLICIT
23,380,0.6564655172413794,0.3129310344827586,0.35,0.27586206896551724,0.9999999999999999,1.0,0.6564655172413794,7,KG_TASK_EXPLICIT
23,718,0.6521226415094339,0.3042452830188679,0.25,0.3584905660377358,1.0000000000000002,1.0,0.6521226415094339,3,KG_TASK_EXPLICIT
23,455,0.6503734461974985,0.4054621848739496,0.42857142857142855,0.38235294117647056,0.7905694150420948,0.8952847075210474,0.6503734461974985,8,KG_TASK_EXPLICIT
23,218,0.6392628205128205,0.27852564102564104,0.28205128205128205,0.275,0.9999999999999998,0.9999999999999999,0.6392628205128205,5,KG_TASK_EXPLICIT
23,568,0.6374521072796935,0.27490421455938696,0.2222222222222222,0.3275862068965517,1.0000000000000002,1.0,0.6374521072796935,3,KG_TASK_EXPLICIT
23,513,0.6310090304268039,0.27963615023474175,0.2916666666666667,0.2676056338028169,0.9647638212377322,0.982381910618866,0.6310090304268039,10,KG_TASK_EXPLICIT
24,161,0.8101546954803704,0.6459677419354839,0.55,0.7419354838709677,0.9486832980505138,0.9743416490252569,0.8101546954803704,4,KG_TASK_EXPLICIT
24,479,0.7321428571428572,0.5,0.4,0.6,0.9285714285714286,0.9642857142857143,0.7321428571428572,11,KG_TASK_EXPLICIT
24,280,0.7028210675219916,0.4460227272727273,0.4375,0.45454545454545453,0.9192388155425116,0.9596194077712559,0.7028210675219916,9,KG_TASK_EXPLICIT
24,601,0.6934208245126284,0.4125,0.2,0.625,0.9486832980505138,0.9743416490252569,0.6934208245126284,4,KG_TASK_EXPLICIT
24,506,0.685217701593687,0.42500000000000004,0.26666666666666666,0.5833333333333334,0.8908708063747479,0.945435403187374,0.685217701593687,9,KG_TASK_EXPLICIT
24,47,0.6818752070008023,0.5461538461538462,0.4,0.6923076923076923,0.6351931356955168,0.8175965678477584,0.6818752070008023,136,KG_TASK_EXPLICIT
24,635,0.6794652050273827,0.45,0.4,0.5,0.8178608201095309,0.9089304100547655,0.6794652050273827,20,KG_TASK_EXPLICIT
24,154,0.6790063509461097,0.42500000000000004,0.4,0.45,0.8660254037844387,0.9330127018922194,0.6790063509461097,4,KG_TASK_EXPLICIT
24,391,0.6779761904761905,0.4392857142857143,0.42857142857142855,0.45,0.8333333333333334,0.9166666666666667,0.6779761904761905,9,KG_TASK_EXPLICIT
24,132,0.6668525384522703,0.3525798525798526,0.2727272727272727,0.43243243243243246,0.9622504486493763,0.9811252243246882,0.6668525384522703,3,KG_TASK_EXPLICIT
25,345,0.7315789473684211,0.4631578947368421,0.4,0.5263157894736842,1.0,1.0,0.7315789473684211,4,KG_TASK_EXPLICIT
25,633,0.6653174588055717,0.3677248677248677,0.14285714285714285,0.5925925925925926,0.9258200997725514,0.9629100498862757,0.6653174588055717,7,KG_TASK_EXPLICIT
25,394,0.6592128583560395,0.3712121212121212,0.3333333333333333,0.4090909090909091,0.8944271909999159,0.9472135954999579,0.6592128583560395,5,KG_TASK_EXPLICIT
25,46,0.6472222222222221,0.2944444444444444,0.2222222222222222,0.36666666666666664,1.0000000000000002,1.0,0.6472222222222221,3,KG_TASK_EXPLICIT
25,380,0.6369047619047619,0.2738095238095238,0.21428571428571427,0.3333333333333333,0.9999999999999998,0.9999999999999999,0.6369047619047619,8,KG_TASK_EXPLICIT
25,568,0.6357142857142857,0.27142857142857146,0.2,0.34285714285714286,1.0000000000000002,1.0,0.6357142857142857,3,KG_TASK_EXPLICIT
25,333,0.6204672195914427,0.25284090909090906,0.1875,0.3181818181818182,0.9761870601839528,0.9880935300919764,0.6204672195914427,5,KG_TASK_EXPLICIT
25,392,0.6198830409356725,0.23976608187134502,0.1111111111111111,0.3684210526315789,1.0000000000000002,1.0,0.6198830409356725,6,KG_TASK_EXPLICIT
25,751,0.6183333333333334,0.4866666666666667,0.3333333333333333,0.64,0.4999999999999999,0.75,0.6183333333333334,3,KG_TASK_EXPLICIT
25,264,0.6181633844677323,0.27989130434782605,0.125,0.43478260869565216,0.9128709291752769,0.9564354645876385,0.6181633844677323,6,KG_TASK_EXPLICIT
26,318,0.8015512235693256,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8728715609439696,0.9364357804719847,0.8015512235693256,6,KG_TASK_EXPLICIT
26,180,0.6791623533055344,0.4111111111111111,0.6,0.2222222222222222,0.8944271909999159,0.9472135954999579,0.6791623533055344,6,KG_TASK_EXPLICIT
26,545,0.6634615384615384,0.3269230769230769,0.5,0.15384615384615385,1.0,1.0,0.6634615384615384,4,KG_TASK_EXPLICIT
26,193,0.6236037773035763,0.38636363636363635,0.5,0.2727272727272727,0.7216878364870323,0.8608439182435161,0.6236037773035763,9,KG_TASK_EXPLICIT
26,555,0.6041666666666666,0.20833333333333331,0.3333333333333333,0.08333333333333333,1.0,1.0,0.6041666666666666,4,KG_TASK_EXPLICIT
26,401,0.602859460444038,0.3055555555555555,0.16666666666666666,0.4444444444444444,0.8003267306650412,0.9001633653325206,0.602859460444038,21,KG_TASK_EXPLICIT
26,343,0.6026785714285714,0.20535714285714285,0.125,0.2857142857142857,0.9999999999999998,0.9999999999999999,0.6026785714285714,5,KG_TASK_EXPLICIT
26,570,0.5945378151260503,0.18907563025210083,0.14285714285714285,0.23529411764705882,0.9999999999999998,0.9999999999999999,0.5945378151260503,5,KG_TASK_EXPLICIT
26,566,0.5940174725667283,0.20833333333333331,0.3333333333333333,0.08333333333333333,0.9594032236002469,0.9797016118001234,0.5940174725667283,8,KG_TASK_EXPLICIT
26,229,0.5895517768935808,0.20476190476190476,0.14285714285714285,0.26666666666666666,0.9486832980505138,0.9743416490252569,0.5895517768935808,5,KG_TASK_EXPLICIT
27,752,0.7619047619047619,0.5238095238095238,0.3333333333333333,0.7142857142857143,1.0000000000000002,1.0,0.7619047619047619,3,KG_TASK_EXPLICIT
27,554,0.6925382630921563,0.680952380952381,0.6,0.7619047619047619,0.4082482904638631,0.7041241452319316,0.6925382630921563,3,KG_TASK_EXPLICIT
27,362,0.6439393939393939,0.2878787878787879,0.16666666666666666,0.4090909090909091,1.0000000000000002,1.0,0.6439393939393939,3,KG_TASK_EXPLICIT
27,402,0.6408330587886617,0.3092105263157895,0.25,0.3684210526315789,0.944911182523068,0.972455591261534,0.6408330587886617,4,KG_TASK_EXPLICIT
27,462,0.6212121212121212,0.24242424242424243,0.16666666666666666,0.3181818181818182,1.0000000000000002,1.0,0.6212121212121212,3,KG_TASK_EXPLICIT
27,509,0.6162578159510714,0.2611111111111111,0.16666666666666666,0.35555555555555557,0.9428090415820635,0.9714045207910318,0.6162578159510714,3,KG_TASK_EXPLICIT
27,359,0.6152477149409704,0.2590909090909091,0.2,0.3181818181818182,0.9428090415820635,0.9714045207910318,0.6152477149409704,3,KG_TASK_EXPLICIT
27,341,0.6041666666666666,0.20833333333333334,0.125,0.2916666666666667,1.0000000000000002,1.0,0.6041666666666666,3,KG_TASK_EXPLICIT
27,183,0.5977777777777777,0.19555555555555557,0.1111111111111111,0.28,1.0000000000000002,1.0,0.5977777777777777,3,KG_TASK_EXPLICIT
27,111,0.5928451175383731,0.2142857142857143,0.2,0.22857142857142856,0.9428090415820635,0.9714045207910318,0.5928451175383731,3,KG_TASK_EXPLICIT
28,373,0.53125,0.0625,0.0,0.125,0.9999999999999998,0.9999999999999999,0.53125,5,KG_TASK_EXPLICIT
28,722,0.51,0.02,0.0,0.04,1.0000000000000002,1.0,0.51,3,KG_TASK_EXPLICIT
28,376,0.4913053036150422,0.013513513513513514,0.0,0.02702702702702703,0.9381941874331419,0.9690970937165709,0.4913053036150422,10,KG_TASK_EXPLICIT
28,281,0.4902734644166456,0.03333333333333333,0.0,0.06666666666666667,0.8944271909999159,0.9472135954999579,0.4902734644166456,8,KG_TASK_EXPLICIT
28,621,0.4902734644166456,0.03333333333333333,0.0,0.06666666666666667,0.8944271909999159,0.9472135954999579,0.4902734644166456,6,KG_TASK_EXPLICIT
28,563,0.4832221823653636,0.019230769230769232,0.0,0.038461538461538464,0.8944271909999159,0.9472135954999579,0.4832221823653636,9,KG_TASK_EXPLICIT
28,142,0.4776785714285714,0.017857142857142856,0.0,0.03571428571428571,0.8749999999999998,0.9374999999999999,0.4776785714285714,7,KG_TASK_EXPLICIT
28,624,0.477375916163501,0.021739130434782608,0.0,0.043478260869565216,0.8660254037844387,0.9330127018922194,0.477375916163501,3,KG_TASK_EXPLICIT
28,247,0.47471532052029747,0.020833333333333332,0.0,0.041666666666666664,0.8571946154145231,0.9285973077072616,0.47471532052029747,11,KG_TASK_EXPLICIT
28,546,0.4744464584189712,0.02631578947368421,0.0,0.05263157894736842,0.8451542547285165,0.9225771273642582,0.4744464584189712,7,KG_TASK_EXPLICIT
29,429,0.6977926881554121,0.46257267441860467,0.34375,0.5813953488372093,0.8660254037844387,0.9330127018922194,0.6977926881554121,8,KG_TASK_EXPLICIT
29,160,0.6592105263157895,0.31842105263157894,0.23684210526315788,0.4,1.0000000000000002,1.0,0.6592105263157895,3,KG_TASK_EXPLICIT
29,244,0.6412578159510715,0.3111111111111111,0.2222222222222222,0.4,0.9428090415820635,0.9714045207910318,0.6412578159510715,3,KG_TASK_EXPLICIT
29,130,0.6378787878787879,0.27575757575757576,0.15151515151515152,0.4,1.0,1.0,0.6378787878787879,4,KG_TASK_EXPLICIT
29,635,0.6287878787878788,0.25757575757575757,0.15151515151515152,0.36363636363636365,1.0000000000000002,1.0,0.6287878787878788,3,KG_TASK_EXPLICIT
29,231,0.6266447368421053,0.2532894736842105,0.13157894736842105,0.375,1.0000000000000002,1.0,0.6266447368421053,3,KG_TASK_EXPLICIT
29,505,0.6108500145326318,0.2502955082742317,0.1388888888888889,0.3617021276595745,0.9428090415820635,0.9714045207910318,0.6108500145326318,3,KG_TASK_EXPLICIT
29,315,0.6060267857142857,0.21205357142857142,0.14285714285714285,0.28125,1.0000000000000002,1.0,0.6060267857142857,3,KG_TASK_EXPLICIT
29,513,0.6026208933185677,0.20524178663713546,0.09302325581395349,0.31746031746031744,1.0,1.0,0.6026208933185677,4,KG_TASK_EXPLICIT
29,136,0.5992870007942013,0.21744877726371448,0.17647058823529413,0.25842696629213485,0.9622504486493763,0.9811252243246882,0.5992870007942013,3,KG_TASK_EXPLICIT
31,55,0.8625,0.725,0.85,0.6,1.0,1.0,0.8625,3,KG_TASK_EXPLICIT
31,503,0.8573232323232323,0.8813131313131313,0.9444444444444444,0.8181818181818182,0.6666666666666667,0.8333333333333334,0.8573232323232323,10,KG_TASK_EXPLICIT
31,561,0.8380832127764682,0.7047619047619047,0.8095238095238095,0.6,0.9428090415820635,0.9714045207910318,0.8380832127764682,3,KG_TASK_EXPLICIT
31,269,0.8214653399852816,0.7893772893772895,0.8095238095238095,0.7692307692307693,0.7071067811865475,0.8535533905932737,0.8214653399852816,4,KG_TASK_EXPLICIT
31,354,0.8135411695295565,0.7261904761904763,0.8095238095238095,0.6428571428571429,0.8017837257372731,0.9008918628686365,0.8135411695295565,4,KG_TASK_EXPLICIT
31,140,0.8010651629072683,0.768796992481203,0.8947368421052632,0.6428571428571429,0.6666666666666667,0.8333333333333334,0.8010651629072683,16,KG_TASK_EXPLICIT
31,559,0.7309173669467787,0.5868347338935573,0.7619047619047619,0.4117647058823529,0.7499999999999999,0.875,0.7309173669467787,5,KG_TASK_EXPLICIT
