graph,directed_nonself_edge_count,source_drug_coverage_count,source_drug_coverage_percentage,mean_degree,isolated_drug_count,mean_edge_value,median_edge_value,evaluable_task_edge_count,mean_task_similarity,median_task_similarity,random_task_baseline,task_enrichment,mean_gene_jaccard,mean_pathway_jaccard,fraction_with_shared_gene,fraction_with_shared_pathway
STRUCTURE_ONLY,6055,610,80.58124174372523,7.998678996036988,147,0.3899591322102423,0.39992150706436425,4227,0.7109594413935749,0.840168050416806,0.6761262868937492,0.034833154499825714,0.30570233337588176,0.47421593104460286,0.9454995871180842,0.9981833195706028
TASK_ONLY_EXPLICIT,7454,752,99.33949801849406,9.84676354029062,5,0.9897938262975331,1.0,7454,0.9795876525950661,1.0000000000000002,0.6761262868937492,0.3034613657013169,0.03593281219608079,0.09711108740554879,0.31771780170605507,0.5232834568591805
KG_TASK_EXPLICIT,5915,603,79.6565389696169,7.813738441215324,154,0.6388435011723933,0.644356106549362,5915,0.8920314220229854,0.944911182523068,0.6761262868937492,0.21590513512923615,0.25127773764542266,0.4120648450211653,0.8977176669484361,0.9991546914623838
